date,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
2026-06-18,637.0,756.0,851.0,586.3474787355913,722.223402540582,916.777031690483
2026-06-19,637.0,756.0,852.0,586.3307710846896,722.4591216939873,916.9908266248852
2026-06-20,637.0,756.0,851.0,585.7118242256186,721.6229869627143,914.9985529866632
2026-06-21,637.0,757.0,853.0,586.3627867240349,722.422105260117,915.9781044488052
2026-06-22,637.0,758.0,854.0,587.1133465340433,722.8424611229776,916.9019565899368
2026-06-23,639.0,761.0,857.0,588.2715686554048,724.707754901078,919.515018408296
2026-06-24,639.0,761.0,857.0,588.2676655330681,724.874207513899,920.600400317249
2026-06-25,641.0,765.0,862.0,590.6964425285771,727.1428058275637,924.3512737292982
2026-06-26,641.0,764.0,861.0,590.4480969848682,726.95226500464,924.9326552015348
2026-06-27,640.0,764.0,861.0,590.2887094195797,726.7345387316935,925.0464056144456
2026-06-28,640.0,764.0,861.0,590.0121671350682,726.3285917103503,924.5492728496858
2026-06-29,639.0,763.0,861.0,589.026344161146,725.4396391442177,923.4507606515892
2026-06-30,638.0,763.0,860.0,588.571312490695,725.1059001717426,922.2517648746756
2026-07-01,639.0,766.0,863.0,589.6388943180142,726.8171087062827,924.2929565477132
2026-07-02,639.0,765.0,863.0,589.3981880616803,726.6408131360939,924.4357562704188
2026-07-03,641.0,768.0,866.0,591.0984917585082,728.5890432776243,927.4303942691992
2026-07-04,641.0,769.0,868.0,591.2982133125395,728.9251937026255,928.1198330081754
2026-07-05,642.0,772.0,871.0,593.1951303808268,730.5274219952718,930.074945965196
2026-07-06,643.0,774.0,874.0,594.0669935121978,731.2495825386549,930.9852926147538
2026-07-07,642.0,773.0,872.0,592.9133835761693,729.9339501220128,929.222247711934
2026-07-08,642.0,773.0,871.0,592.5240939765677,729.6811787384023,928.8180500107236
2026-07-09,641.0,771.0,868.0,591.2513838937458,728.57064975215,928.0289746395232
2026-07-10,642.0,772.0,869.0,591.4511122358201,729.3650094520377,930.2596174486498
