时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,江苏省,674.90,8.00,1964.20,11.60,56,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,上海市,151.40,7.50,466.00,9.20,57,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,黑龙江省,105.10,3.30,325.50,4.10,58,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,吉林省,85.30,7.80,263.90,8.90,59,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,辽宁省,236.50,2.70,718.20,5.80,60,2024-03-31 00:00:00,1,0,2024-07-02 19:06:14,0,2024-07-02 19:06:14,,,
2024-03,内蒙古区,438.30,11.90,1304.30,14.40,61,2024-03-31 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-03,山西省,244.60,-1.30,760.30,3.40,62,2024-03-31 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-03,河北省,408.40,6.80,1254.00,9.30,63,2024-03-31 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-03,天津市,88.10,4.80,271.50,7.20,64,2024-03-31 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-03,北京市,107.40,4.80,368.70,6.00,65,2024-03-31 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,全国,,,15316.00,11.00,66,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,新疆区,,,680.10,17.50,67,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,宁夏区,,,234.60,5.20,68,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,青海省,,,181.20,10.40,69,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,甘肃省,,,290.60,9.70,70,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,陕西省,,,442.90,9.10,71,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,西藏区,,,25.40,22.20,72,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,云南省,,,412.00,2.50,73,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,贵州省,,,332.50,12.50,74,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,四川省,,,596.00,4.90,75,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,重庆市,,,235.40,6.30,76,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,海南省,,,73.90,19.30,77,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
2024-02,广西区,,,394.00,12.20,78,2024-02-29 00:00:00,1,0,2024-07-02 19:06:21,0,2024-07-02 19:06:21,,,
