日期,数据类目,当期值(美元/吨),环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-19,澳大利亚纽卡斯尔-中国舟山,16.35,0.00,49,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-19,澳大利亚海波因特-中国舟山,15.54,0.00,50,2024-06-19 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,印尼塔巴尼奥-中国南通,13.90,0.00,51,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,印尼塔巴尼奥-中国广州,11.60,0.00,52,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,澳大利亚海波因特-中国舟山,15.56,0.00,53,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,澳大利亚纽卡斯尔-中国舟山,16.36,-0.10,54,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-18,印尼萨马林达-中国广州,8.99,0.00,55,2024-06-18 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,印尼塔巴尼奥-中国广州,11.59,0.00,56,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,澳大利亚海波因特-中国舟山,15.54,0.00,57,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,印尼萨马林达-中国广州,8.96,0.00,58,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,印尼塔巴尼奥-中国南通,13.88,0.00,59,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-17,澳大利亚纽卡斯尔-中国舟山,16.49,-0.10,60,2024-06-17 00:00:00,1,0,2024-07-03 00:58:21,0,2024-07-03 00:58:21,,,
2024-06-14,澳大利亚纽卡斯尔-中国舟山,16.56,0.00,61,2024-06-14 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-14,印尼萨马林达-中国广州,8.94,0.00,62,2024-06-14 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-14,澳大利亚海波因特-中国舟山,15.54,0.00,63,2024-06-14 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-14,印尼塔巴尼奥-中国广州,11.61,0.00,64,2024-06-14 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-14,印尼塔巴尼奥-中国南通,13.89,0.00,65,2024-06-14 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-13,印尼塔巴尼奥-中国广州,11.61,0.00,66,2024-06-13 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-13,澳大利亚纽卡斯尔-中国舟山,16.59,0.20,67,2024-06-13 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-13,澳大利亚海波因特-中国舟山,15.51,0.00,68,2024-06-13 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-13,印尼萨马林达-中国广州,8.91,0.00,69,2024-06-13 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-13,印尼塔巴尼奥-中国南通,13.87,0.00,70,2024-06-13 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-12,印尼塔巴尼奥-中国广州,11.64,0.00,71,2024-06-12 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-12,澳大利亚海波因特-中国舟山,15.54,0.00,72,2024-06-12 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-12,印尼萨马林达-中国广州,8.91,-0.10,73,2024-06-12 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-12,印尼塔巴尼奥-中国南通,13.90,0.00,74,2024-06-12 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-12,澳大利亚纽卡斯尔-中国舟山,16.36,-0.20,75,2024-06-12 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-11,印尼塔巴尼奥-中国南通,13.92,0.00,76,2024-06-11 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-11,澳大利亚海波因特-中国舟山,15.58,0.00,77,2024-06-11 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-11,印尼塔巴尼奥-中国广州,11.67,0.00,78,2024-06-11 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-11,澳大利亚纽卡斯尔-中国舟山,16.59,-0.10,79,2024-06-11 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-11,印尼萨马林达-中国广州,8.96,0.00,80,2024-06-11 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-07,澳大利亚纽卡斯尔-中国舟山,16.68,0.00,81,2024-06-07 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-07,澳大利亚海波因特-中国舟山,15.54,0.10,82,2024-06-07 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-07,印尼萨马林达-中国广州,8.96,0.00,83,2024-06-07 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-07,印尼塔巴尼奥-中国广州,11.69,0.00,84,2024-06-07 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-07,印尼塔巴尼奥-中国南通,13.96,0.00,85,2024-06-07 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-06,印尼萨马林达-中国广州,8.93,0.00,86,2024-06-06 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-06,澳大利亚纽卡斯尔-中国舟山,16.68,0.10,87,2024-06-06 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-06,印尼塔巴尼奥-中国广州,11.71,0.00,88,2024-06-06 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-06,印尼塔巴尼奥-中国南通,13.97,0.00,89,2024-06-06 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-06,澳大利亚海波因特-中国舟山,15.48,0.00,90,2024-06-06 00:00:00,1,0,2024-07-03 00:58:26,0,2024-07-03 00:58:26,,,
2024-06-05,澳大利亚海波因特-中国舟山,15.46,0.00,91,2024-06-05 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-05,印尼萨马林达-中国广州,8.89,0.00,92,2024-06-05 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-05,印尼塔巴尼奥-中国南通,13.95,0.00,93,2024-06-05 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-05,澳大利亚纽卡斯尔-中国舟山,16.61,0.10,94,2024-06-05 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-05,印尼塔巴尼奥-中国广州,11.71,0.00,95,2024-06-05 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-04,澳大利亚海波因特-中国舟山,15.48,0.00,96,2024-06-04 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-04,印尼塔巴尼奥-中国南通,13.94,-0.10,97,2024-06-04 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-04,澳大利亚纽卡斯尔-中国舟山,16.54,0.00,98,2024-06-04 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-04,印尼萨马林达-中国广州,8.92,-0.10,99,2024-06-04 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-04,印尼塔巴尼奥-中国广州,11.73,-0.10,100,2024-06-04 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
2024-06-03,印尼萨马林达-中国广州,8.97,-0.10,101,2024-06-03 00:00:00,1,0,2024-07-03 00:58:29,0,2024-07-03 00:58:29,,,
