时间,项目名称,当季值(亿元),累计值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-12,第二产业增加值,109252.80,386165.30,66,2019-12-31 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-12,第一产业增加值,27461.60,70466.70,67,2019-12-31 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-12,国内生产总值,278019.70,990865.10,68,2019-12-31 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-09,第一产业增加值,19798.00,43005.00,69,2019-09-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-09,第三产业增加值,129182.10,376924.80,70,2019-09-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-09,国内生产总值,246865.10,697798.30,71,2019-09-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-09,第二产业增加值,97885.00,277868.50,72,2019-09-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-06,第三产业增加值,125425.70,247742.60,73,2019-06-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-06,第二产业增加值,97637.00,179983.50,74,2019-06-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-06,国内生产总值,237500.30,450933.20,75,2019-06-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-06,第一产业增加值,14437.60,23207.00,76,2019-06-30 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-03,国内生产总值,213433.00,213433.00,77,2019-03-31 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-03,第三产业增加值,122317.00,122317.00,78,2019-03-31 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
2019-03,第二产业增加值,82346.00,82346.00,79,2019-03-31 00:00:00,1,0,2024-07-02 19:27:59,0,2024-07-02 19:27:59,,,
