时间,地区,当月值(万千瓦时),同比增长(%),累计值(万千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,海南省,24506.00,25.20,69572.00,38.70,76,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,广西区,50852.00,50.10,133399.00,45.30,77,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,广东省,76612.00,4.60,235846.00,21.20,78,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,湖南省,33240.00,30.60,75797.00,10.50,79,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,湖北省,145014.00,54.60,327636.00,44.50,80,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,河南省,48134.00,-31.90,126574.00,-27.70,81,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,山东省,156595.00,5.20,356592.00,2.60,82,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,江西省,63798.00,7.00,158142.00,7.40,83,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,福建省,6279.00,25.80,16746.00,35.50,84,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,安徽省,99717.00,-1.90,235755.00,-3.00,85,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,浙江省,132750.00,12.80,306336.00,-15.60,86,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,江苏省,99239.00,3.40,225843.00,-2.20,87,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,上海市,6103.00,37.90,14616.00,43.00,88,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,黑龙江省,57631.00,-0.20,143673.00,-13.30,89,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,吉林省,43716.00,10.20,103443.00,-0.30,90,2024-03-31 00:00:00,1,0,2024-07-02 18:58:31,0,2024-07-02 18:58:31,,,
2024-03,辽宁省,55851.00,7.40,137154.00,6.60,91,2024-03-31 00:00:00,1,0,2024-07-02 18:58:35,0,2024-07-02 18:58:35,,,
