infer_date,data_type,market,horizon,actual_slope,old_slope,new_slope,old_correlation,new_correlation
2026-07-15,CCI5000infer,domestic,5,4.3,-5.0,-2.9,-0.999431306353277,-0.9868672752766127
2026-07-15,CCI5500infer,domestic,5,4.2,-6.3,-2.2,-0.9923535887241238,-0.962983009545872
2026-07-15,CCI5500outinfer,import,5,3.0710000000000037,-11.477552838764927,-2.277535820786966,-0.9473451338778907,-0.872442049368062
2026-07-16,CCI3800outinfer,import,5,-0.0830000000000041,-7.950961483867241,-1.7974562965906329,0.49634568598396717,0.5950389801435214
2026-07-16,CCI4500infer,domestic,5,1.2,-7.5,-1.5,-0.9650531289631484,-0.9846579518042201
2026-07-16,CCI4700outinfer,import,5,-0.10400000000000773,-6.50780780623478,-1.4009473787894422,0.48605788350014895,0.5703860503099306
2026-07-16,CCI5000infer,domestic,5,2.8,-8.5,-2.5,-0.9957994537150723,-0.9985596723140692
2026-07-16,CCI5500infer,domestic,5,2.8,-9.5,-1.8,-0.9965266678785427,-0.9724804996008355
2026-07-16,CCI5500outinfer,import,5,2.1759999999999877,-11.210079929314327,0.1189844364492842,-0.8736248019308805,0.2749410774241911
2026-07-17,CCI3800outinfer,import,5,-0.37700000000000955,-7.042667213845789,-1.8993111529954263,0.5029598101728018,0.39126866639407376
2026-07-17,CCI4500infer,domestic,5,0.4,-6.5,-1.7,-0.8586411094249567,-0.9097176522946842
2026-07-17,CCI4700outinfer,import,5,-0.3560000000000059,-5.94675220546776,-1.634292680601891,0.4987379598073143,0.4283261407704121
2026-07-17,CCI5000infer,domestic,5,1.4,-7.3,-3.0,-0.9606518182390391,-0.9776923610938038
2026-07-17,CCI5500infer,domestic,5,1.5,-8.5,-2.3,-0.9820927516479828,-0.9830815767285376
2026-07-17,CCI5500outinfer,import,5,2.0469999999999913,-8.574766020955394,-0.1295489911427808,-0.9882465185614334,-0.4061971543001368
2026-07-20,CCI3800outinfer,import,5,-0.44100000000000816,-9.107975933512126,-2.193698434349301,0.5295576616024197,0.38226433808130633
