date,永安_厂级_上网电量,永安_厂级_供热厂用电量,永安_厂级_供热用厂用电率,永安_厂级_利用小时,永安_厂级_发电厂用电率,永安_厂级_发电标煤量,永安_厂级_发电用厂用电量,永安_厂级_开机率,永安_厂级_日电网调度发电量,永安_厂级_综合供电煤耗,永安_厂级_综合厂用电率,永安_厂级_综合厂用电量,永安_厂级_耗煤量,永安_厂级_负荷率,永安_永安#8_上网电量,永安_永安#8_利用小时,永安_永安#8_发电厂用电率,永安_永安#8_发电标煤量,永安_永安#8_发电用厂用电量,永安_永安#8_开机率,永安_永安#8_综合供电煤耗,永安_永安#8_综合厂用电率,永安_永安#8_综合厂用电量,永安_永安#8_负荷率,永安_永安#8_运行小时,永安_永安#8_发电量
20220315.0,495.44,12.88,7.876828,9.009667,5.593992,1540.273416,30.24,50.0,543.9,310.89,8.35066,45.142,3595.0,75.080556,495.44,18.019333,5.593881,1540.273416,30.2394,100.0,310.89,8.35029,45.14,75.080556,24.0,540.58
20220316.0,488.73,12.0,7.60898,8.864167,5.431983,1528.845186,28.89,50.0,528.0,312.82,8.107549,43.12,3543.0,73.868056,488.73,17.728333,5.432584,1528.845186,28.8932,100.0,312.82,8.107549,43.12,73.868056,24.0,531.85
20220317.0,490.38,11.58,7.429459,8.881833,5.302959,1535.183628,28.26,50.0,528.0,313.06,7.98071,42.53,4037.0,74.015278,490.38,17.763667,5.303166,1535.183628,28.2611,100.0,313.06,7.98071,42.53,74.015278,24.0,532.91
20220318.0,491.37,10.85,7.057282,8.881167,5.108188,1540.297539,27.22,50.0,528.0,313.47,7.788016,41.5,3998.0,74.009722,491.37,17.762333,5.107925,1540.297539,27.2186,100.0,313.47,7.788016,41.5,74.009722,24.0,532.87
20220319.0,489.45,11.29,6.979148,8.855333,5.045923,1530.935016,26.81,50.0,528.0,312.786805,7.880373,41.87,4037.0,73.794444,489.445,17.710667,5.045246,1530.935016,26.8064,100.0,312.79,7.881314,41.875,73.794444,24.0,531.32
20220320.0,492.91,9.44,6.934344,8.885333,5.132053,1555.229632,27.36,50.0,528.0,315.52,7.542392,40.21,3865.0,74.044444,492.91,17.770667,5.132072,1555.229632,27.3601,100.0,315.52,7.542392,40.21,74.044444,24.0,533.12
20220321.0,487.96,11.04,7.347133,8.844167,5.397154,1526.778044,28.64,50.0,528.0,312.89,8.044851,42.69,4013.0,73.701389,487.96,17.688333,5.397626,1526.778044,28.6425,100.0,312.89,8.044851,42.69,73.701389,24.0,530.65
20220322.0,488.95,11.17,7.034311,8.853167,5.079162,1522.98146,26.98,50.0,528.0,311.48,7.951957,42.24,4093.0,73.776389,488.95,17.706333,5.078541,1522.98146,26.9767,100.0,311.48,7.951957,42.24,73.776389,24.0,531.19
20220323.0,491.26,10.92,6.751873,8.860833,4.913007,1526.639576,26.12,50.0,528.0,310.76,7.597103,40.39,4122.0,73.840278,491.26,17.721667,4.913176,1526.639576,26.1209,100.0,310.76,7.597103,40.39,73.840278,24.0,531.65
20220324.0,476.96,11.35,6.984946,8.742667,5.030883,1483.82256,26.39,50.0,528.0,311.1,9.074272,47.6,4031.0,72.855556,476.96,17.485333,5.031207,1483.82256,26.3917,100.0,311.1,9.074272,47.6,72.855556,24.0,524.56
