name,index,mape_5,mape_10,mape_20,mape_60,mape_120,dir5_3class,dir5_binary,dir10_3class,dir10_binary,dir20_3class,dir20_binary,slope20_3class,corr20,slope60_3class,corr60,slope120_3class,corr120
seq64_acc05_sync08,CCI4700out,1.6870665859601217,2.1156766562155433,2.97047067404754,5.644743555506951,8.60158904688574,0.4599406528189911,0.56973293768546,0.581039755351682,0.617737003058104,0.6938110749185668,0.758957654723127,0.5474006116207951,0.09156948862961932,0.7317073170731707,0.46028002864912776,0.6299559471365639,0.3718638663195567
seq64_acc05_sync08,CCI5500out,1.5246583916765457,1.8993497324651658,2.662681711452637,4.741128041026814,7.8666846830046255,0.47477744807121663,0.5905044510385756,0.599388379204893,0.6941896024464832,0.752442996742671,0.7980456026058632,0.4984709480122324,0.04817467871967742,0.6585365853658537,0.31786061792747805,0.6387665198237885,0.26948734675895697
seq96_acc05_sync08,CCI4500,2.4103215795977295,3.165216284700066,4.092122478098368,4.7295853219445165,7.737742951110074,0.4421364985163205,0.5311572700296736,0.5168195718654435,0.5626911314984709,0.6319218241042345,0.6807817589576547,0.6452599388379205,0.2633093860434627,0.9303135888501742,0.6791474083380369,0.8810572687224669,0.6357564304557856
seq96_acc05_sync08,CCI5000,2.3443249587720043,3.101530049102395,4.082850770087211,5.094591935742256,8.527701898504155,0.4094955489614243,0.4836795252225519,0.4923547400611621,0.5443425076452599,0.5960912052117264,0.6351791530944625,0.5535168195718655,0.14360585619864794,0.926829268292683,0.677012616233473,0.9030837004405287,0.6382798455084446
seq96_acc05_sync08,CCI5500,2.0411226233649424,2.7851878424123178,3.7220806868530194,4.992227401471472,8.48452606725163,0.36795252225519287,0.47181008902077154,0.44954128440366975,0.5076452599388379,0.6351791530944625,0.6710097719869706,0.48623853211009177,0.06895540593205222,0.9163763066202091,0.7160128056054064,0.9074889867841409,0.6590990945851201
seq96_acc05_sync08,CCI3800out,2.4827477419492534,3.2297945099713585,4.405198597179101,5.847218903949416,6.814040040243757,0.4035608308605341,0.4896142433234421,0.5198776758409785,0.5565749235474006,0.5895765472312704,0.6514657980456026,0.4923547400611621,0.0560057923104663,0.6585365853658537,0.320976465948708,0.7709251101321586,0.5310824938088035
seq96_acc05_sync08,CCI4700out,2.187973005582191,2.912636568615656,3.9697631457095333,5.748406149037224,8.158541807464806,0.32344213649851633,0.44807121661721067,0.43425076452599387,0.5045871559633027,0.5537459283387622,0.6058631921824105,0.40672782874617736,-0.0528195324723215,0.7491289198606271,0.46728602802521885,0.8193832599118943,0.589865246991284
seq96_acc05_sync08,CCI5500out,1.7639749959073072,2.2422588774075387,3.017895884023727,4.117616131604822,6.322437570142679,0.49258160237388726,0.5816023738872403,0.5840978593272171,0.636085626911315,0.6547231270358306,0.6742671009771987,0.5657492354740061,0.17874527365510262,0.8153310104529616,0.5911734224745678,0.8370044052863436,0.5804458425636551
seq96_shortfirst,CCI4500,2.4859407262099333,3.1223546450977233,4.168188465020775,5.83553309214531,9.649362254326078,0.4896142433234421,0.543026706231454,0.6055045871559633,0.6513761467889908,0.7100977198697068,0.7328990228013029,0.5076452599388379,0.10060406417198343,0.8013937282229965,0.5915189417263513,0.5859030837004405,0.3144356187854512
seq96_shortfirst,CCI5000,2.4202545424341144,3.0498482097502078,4.091767989198581,5.941329477604932,9.931418669944872,0.47181008902077154,0.5756676557863502,0.5474006116207951,0.6055045871559633,0.6677524429967426,0.6840390879478827,0.43730886850152906,0.0009842199063814908,0.8153310104529616,0.5778663321665213,0.5814977973568282,0.3022100174339498
seq96_shortfirst,CCI5500,2.2098598341891185,2.7983760441000407,3.8115883401369763,5.97022493625933,9.993583056109706,0.456973293768546,0.5845697329376854,0.5596330275229358,0.6116207951070336,0.6547231270358306,0.6938110749185668,0.36085626911314983,-0.1107878603077499,0.8013937282229965,0.5410277959729143,0.5814977973568282,0.27238877931014654
seq96_shortfirst,CCI3800out,2.430942489535444,2.8184648787397912,3.5602840775980127,4.929810498493037,6.484359626708265,0.712166172106825,0.7774480712166172,0.8103975535168195,0.8195718654434251,0.8208469055374593,0.8403908794788274,0.672782874617737,0.28982143620529344,0.7456445993031359,0.5450790885171288,0.5286343612334802,0.43345638806481374
seq96_shortfirst,CCI4700out,2.1759399595667346,2.640256565001384,3.613492483360941,5.734528084208664,7.993872124340275,0.7032640949554896,0.7566765578635015,0.7431192660550459,0.8134556574923547,0.7328990228013029,0.762214983713355,0.5565749235474006,0.15655182271331575,0.794425087108014,0.5650187844676792,0.6079295154185022,0.39545163481503864
seq96_shortfirst,CCI5500out,2.284439560269035,2.587426671055506,3.163035439916256,4.2483503020800155,7.5397538671314255,0.6023738872403561,0.6735905044510386,0.6605504587155964,0.7064220183486238,0.6872964169381107,0.7198697068403909,0.5565749235474006,0.16919539579704523,0.7874564459930313,0.5576046726180361,0.6079295154185022,0.35565960127075147
seq32_shortfirst,CCI4500,1.8893678467386756,2.353407246643969,3.2696040586084365,4.9309460545610095,8.482528720963574,0.7002967359050445,0.8041543026706232,0.7920489296636085,0.8348623853211009,0.7980456026058632,0.8175895765472313,0.7033639143730887,0.31581212361092226,0.7804878048780488,0.39985060160156205,0.5726872246696035,0.17352732948506225
