name,seq_len,short_first,index,mape_5,mape_10,acc_month_1,acc_month_2,acc_month_3,acc_month_avg,acc_week_avg
seq96_acc05_sync08,96,0,CCI5500out,1.5504934042794378,1.9412237056719086,0.748898678414097,0.7312775330396476,0.8414096916299559,0.7738619676945668,0.6547272047832585
seq96_shortfirst,96,1,CCI4500,2.3397277488098145,3.1189710334647383,0.6607929515418502,0.8370044052863436,0.788546255506608,0.762114537444934,0.6366031390134531
seq96_shortfirst,96,1,CCI5000,2.242735385844246,2.988492092328658,0.5903083700440529,0.801762114537445,0.8325991189427313,0.7415565345080765,0.6327167414050818
seq96_shortfirst,96,1,CCI5500,2.0998537089073563,2.78888188486754,0.6079295154185022,0.7577092511013216,0.8458149779735683,0.737151248164464,0.6399414549078226
seq96_shortfirst,96,1,CCI3800out,2.1966542221574916,2.5071126875716225,0.8722466960352423,0.73568281938326,0.8281938325991189,0.8120411160058737,0.7288241155954157
seq96_shortfirst,96,1,CCI4700out,1.5582597089837773,1.9430413876934314,0.762114537444934,0.7709251101321586,0.8061674008810573,0.7797356828193832,0.683277279521674
seq96_shortfirst,96,1,CCI5500out,2.1603733977098503,2.585239158176921,0.6255506607929515,0.788546255506608,0.8766519823788547,0.7635829662261381,0.6420839561534625
seq32_shortfirst,32,1,CCI4500,1.704093664748587,2.2130682056582276,0.788546255506608,0.801762114537445,0.7312775330396476,0.7738619676945668,0.647564773293473
seq32_shortfirst,32,1,CCI5000,1.4526160216547048,1.8435949249254828,0.8458149779735683,0.6607929515418502,0.7092511013215859,0.7386196769456682,0.6255293971101152
seq32_shortfirst,32,1,CCI5500,1.2456569531984791,1.5309977836896793,0.8325991189427313,0.5462555066079295,0.7929515418502202,0.723935389133627,0.6401718983557548
seq32_shortfirst,32,1,CCI3800out,1.6253422073796622,2.0199414152224815,0.7665198237885462,0.5991189427312775,0.8237885462555066,0.7298091042584435,0.6250311410064769
seq32_shortfirst,32,1,CCI4700out,1.38709606770348,1.6791490090959773,0.7136563876651982,0.6123348017621145,0.7444933920704846,0.6901615271659324,0.6004297458893874
seq32_shortfirst,32,1,CCI5500out,1.7489775396453566,2.0342562016273704,0.8370044052863436,0.5770925110132159,0.6828193832599119,0.6989720998531572,0.5909940209267567
seq16_shortfirst,16,1,CCI4500,2.056571928929284,2.5514996814258604,0.7268722466960352,0.5242290748898678,0.40969162995594716,0.55359765051395,0.5662867463876431
seq16_shortfirst,16,1,CCI5000,1.762670550344982,2.1822794297632413,0.6740088105726872,0.44493392070484583,0.3656387665198238,0.4948604992657856,0.533152715495765
seq16_shortfirst,16,1,CCI5500,1.4639438264030395,1.7978271338873746,0.6519823788546255,0.3876651982378855,0.3568281938325991,0.4654919236417034,0.5031888390632788
seq16_shortfirst,16,1,CCI3800out,2.0534907736892922,2.4352895634081757,0.5506607929515418,0.5594713656387665,0.7841409691629956,0.631424375917768,0.5444506726457399
seq16_shortfirst,16,1,CCI4700out,1.9579747873117115,2.417749240848393,0.47577092511013214,0.5859030837004405,0.7092511013215859,0.5903083700440529,0.5281888390632784
seq16_shortfirst,16,1,CCI5500out,1.9709739074413382,2.280853075275363,0.6123348017621145,0.4669603524229075,0.5198237885462555,0.5330396475770925,0.5256913303437968
