day,CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
111,645.0,740.0,829.0,603.198138382441,731.1411701398328,925.341343918313
112,644.0,739.0,827.0,601.5557084251866,729.3863913430458,923.8223960950148
113,643.0,738.0,827.0,600.7924074477137,728.0223164968154,922.4091294700096
114,643.0,738.0,826.0,600.2926915346261,727.2136084194675,922.3938388788469
115,636.0,730.0,818.0,592.8220078633474,717.5582588558714,909.2814757962306
116,636.0,729.0,817.0,591.3492444135393,715.9995066970434,910.0077079109044
117,635.0,729.0,816.0,590.683821581784,715.3713786832081,908.860847150669
118,636.0,730.0,817.0,591.4751488959305,716.6231985961762,909.5742724499462
119,639.0,733.0,819.0,593.7232263559797,719.7549664359478,912.1479838087372
120,642.0,737.0,823.0,597.4280539619317,724.7666822025232,916.581981227042
