date,forecast_day,yongan_7,yongan_8,kemen_1,kemen_2,kemen_3,kemen_4,kemen_5,kemen_6,shaowu_3,shaowu_4,zhangping_5,zhangping_6
2026-07-03,52,557.6139989154273,478.4768991796887,1107.1193826638469,1117.657227806176,1148.8512588298076,1158.13425718634,2022.322377369264,1815.2854634584376,1244.6490700142062,1273.216715427384,519.9624348691193,476.54754147822433
2026-07-04,53,557.736347447703,482.8062079944996,1123.0882258954096,1102.7234744087198,1163.6652801769972,1163.9482965873974,2045.874752790228,1835.0376751125889,1257.2517257268555,1261.075036894489,514.4121921886599,474.1011330241688
2026-07-05,54,559.2820096757372,477.2713325709232,1116.7897142346876,1098.7106125068194,1171.4101730654447,1158.371382369017,2033.571748902016,1878.0488158099,1251.0343420175882,1282.413121123766,513.9529104687214,472.2169935291495
2026-07-06,55,557.6240271589255,474.7766692575559,1116.570533582085,1108.7246727831096,1176.8871492054,1157.586996911792,2024.539032564192,1811.6458111016225,1220.2227292079722,1220.5935882712035,515.5872858564311,470.43044607549655
2026-07-07,56,556.1844060878537,476.5382015138951,1145.814145726852,1132.4600203728082,1169.422014860908,1158.3232306987072,1989.5522799340288,1827.987304041502,1237.6940651078096,1214.188138419686,517.3237957709182,475.7163370448406
2026-07-08,57,559.1889535544842,471.9601597439557,1142.356470974039,1143.3027799025976,1172.6875136877093,1152.2331841691168,1969.224610588373,1811.129289289032,1279.5758474603067,1234.888322153493,514.730745850718,471.4891794852051
2026-07-09,58,558.8779087377883,474.59214100027657,1123.2727726123865,1137.3009711445982,1179.5716393967953,1138.9082097505905,2025.0778192513228,1801.8320687258868,1241.4917711642274,1213.42215922863,519.1778124150296,475.13180063126623
2026-07-10,59,558.155408817863,477.4107446872987,1149.3975131325176,1127.4072648520491,1189.2713800531733,1145.7581571030707,2012.306309597068,1875.274821178725,1266.16389197034,1237.1713844721996,521.6159967414494,476.0672944227829
2026-07-11,60,558.3988399719855,472.98708172553216,1150.3312602725832,1123.3904694123426,1198.2185715128792,1147.7509150346816,2008.036010494684,1858.4835543098984,1249.3020047719176,1239.4829439219063,521.1865148470553,470.0308634809229
2026-07-12,61,557.0320060494937,478.76125385852026,1138.239558006295,1136.9874925231484,1189.5684312518067,1108.910588184242,1965.0494308980728,1794.2576305401064,1267.3922027940314,1219.8024175612504,528.2525089918186,474.1746147251754
2026-07-13,62,557.8897080844008,482.6968040536268,1155.2391015886544,1115.1004126861728,1193.74383833922,1129.4136538692774,1980.7818024431276,1840.4278503028984,1248.0532736540383,1231.058398651446,526.3058539680724,474.5115392018122
2026-07-14,63,558.5788639596401,483.281672618508,1153.7163655108156,1111.5489046536652,1195.789786876366,1134.809816582641,2011.302101414532,1850.395309090832,1255.3512725510036,1210.3169774066607,528.3265758228949,474.6860559942813
2026-07-15,64,559.1239293360031,479.6747663770438,1168.1594254597785,1109.265786853367,1200.6397361530967,1136.188666436955,1999.5308055595283,1887.524695616691,1246.079213686613,1203.8084475510816,524.2057430285362,483.3441852957425
2026-07-16,65,559.6138258676804,486.3385009975949,1155.3551255759023,1127.4485287477628,1171.0956069866083,1109.2551165528257,1990.154749225556,1826.766876917119,1266.3363731568525,1222.7835425156914,523.1006993287923,480.0929796136746
2026-07-17,66,559.3150674049778,488.7385650127528,1153.3150189592702,1113.351040169552,1204.4592666061633,1149.287393521185,2100.970444359841,1937.974777697985,1273.702060307666,1268.0477022360192,530.0213348152697,477.3712485127043
2026-07-18,67,561.0868936248244,483.06229133213486,1141.3744410865647,1117.7303069247823,1192.3803853259744,1132.7138517480978,1994.9451777058036,1902.4556886445655,1266.4752311573286,1271.3276132043702,528.7720244782003,480.74590956545046
2026-07-19,68,561.18026487314,484.0342703471271,1144.1854965658335,1120.3552460921585,1189.1613257858814,1145.6697265307669,2041.8600436562604,1860.3942363768977,1251.0589267127546,1222.638729158837,534.7345416316665,480.9700539246442
2026-07-20,69,560.1204115285983,493.6239807487412,1148.5559817993594,1131.9849193717562,1160.4785310586476,1110.097984658315,1933.474677941736,1845.2274908946115,1247.1623998228251,1223.996495556533,516.9878680673701,480.1412991809502
2026-07-21,70,563.1177704967471,481.8934101542074,1164.6554550036158,1100.1808858906106,1185.7440820136694,1130.995276238746,1966.8020803283805,1864.911858557043,1252.7634789679732,1225.4391610917278,518.8366631491295,483.768476044857
2026-07-22,71,560.1442567432515,494.2793780827975,1149.4322076487545,1093.5741448376964,1181.9416219897555,1144.5091970968465,2001.0836094210597,1889.2277161850832,1256.989167609851,1231.326277192198,524.9168584471458,481.77494104952575
2026-07-23,72,562.169792661643,493.3931105942892,1152.6219888792143,1115.5037224289422,1178.7156968505449,1128.0008168301508,1976.3370271620067,1858.2684239818448,1263.8988193776158,1243.972488545613,514.9382418202164,483.5480039727762
2026-07-24,73,562.7411360335833,492.3193564130326,1152.8875258157782,1119.621376805372,1177.080456172047,1122.937638646273,1960.670209008456,1829.658766893664,1228.003383517393,1227.8617477879252,523.6216832297474,484.18046890224446
2026-07-25,74,564.0006700915878,491.4616677435645,1163.7549302709265,1132.2037967157946,1179.2026456084268,1143.7823088382067,2008.1683307612211,1851.5701330210825,1232.1359823984887,1252.807287824755,516.8511508790098,478.5821233841008
2026-07-26,75,562.5588197216383,493.2596776754419,1175.828482585993,1123.889809024725,1187.1445823611673,1169.4686557404025,2023.94644810725,1821.452091020632,1240.1913264882153,1229.1261168703438,523.9032280497356,473.8410883502
2026-07-27,76,562.5510693966219,499.5351903550281,1181.187734270998,1118.1779341177307,1164.2171421803723,1147.098233302703,1957.0788286599616,1834.738335644334,1249.5415314751497,1238.3449318621035,523.6146372372073,475.1104681041695
2026-07-28,77,562.5117685500877,500.7065999149541,1177.2792913037335,1126.2797145012044,1171.425009543266,1140.9554895807937,2026.1043251937149,1858.047787622526,1248.8126541810398,1243.492954416618,512.8602254255086,478.8578460720841
2026-07-29,78,562.8440889453312,498.6157547329074,1178.5177770940995,1108.2791287492364,1187.3565504238834,1166.8503700885751,2003.1153095013556,1827.381181766431,1252.3621431926335,1205.8381209287518,525.2097693952842,480.6937379173232
2026-07-30,79,561.766559673661,507.0446739479681,1156.6207938866728,1111.2374191883457,1180.987689683011,1155.295117100659,2042.746872588217,1872.9586301054248,1265.322294652314,1227.0534980821094,527.4198040517177,479.6025787068401
2026-07-31,80,562.2238900743156,503.3382674607723,1176.474865595152,1113.8749374946158,1179.0556551196453,1169.23457895426,2005.4519731611767,1835.493158999884,1269.4706138123452,1255.9764056941387,521.3193889847038,480.8933718950887
2026-08-01,81,562.2783692409156,507.8430734099803,1173.1755849093083,1117.9390401186968,1167.1159513466182,1139.5173530162515,2012.410568056984,1818.5706777980215,1247.8462319565106,1214.3005430045528,513.6598173173053,476.5458019738024
2026-08-02,82,562.6312413228255,499.568998374964,1196.868443997887,1110.1978475345682,1172.895505083134,1117.4012713505413,1948.3604298372045,1818.8020713110157,1267.8515991566485,1212.0255381153456,521.7171243553764,481.3977562599506
2026-08-03,83,559.7110326625307,515.3500327760278,1169.9932248037635,1122.736773112655,1175.1430823480384,1151.099251047415,2095.0545351868204,1809.0377111531864,1250.0049583351768,1215.635183890916,525.4613537631543,480.45514713122486
2026-08-04,84,561.2904909174952,517.397477875947,1183.682880035196,1113.5668312307814,1178.987285682433,1129.7355439680346,2031.551602196158,1809.163190036988,1234.6880371191016,1211.102804043715,528.427687853647,481.032806434294
2026-08-05,85,559.9984015328242,520.5466721837703,1164.6985883990424,1107.6645820942608,1182.8501325687755,1127.270964100636,2103.160605164374,1871.912280238021,1218.6583338178436,1195.0894204491362,530.000192042826,482.1630438138835
2026-08-06,86,559.3469852746143,515.6450868527988,1197.757113104895,1130.2916628732116,1183.2645188446684,1112.7530243344377,2029.644157773109,1741.579543103849,1248.9072838328589,1224.644450622148,522.5721108384063,477.5547460024215
2026-08-07,87,559.9020320755977,521.8986335645376,1204.3095726311906,1105.268770788164,1190.0647193297837,1119.2578016931316,2035.4488562368256,1831.990328970912,1221.9459074495612,1206.483527918371,525.0690209594055,482.4916033868273
2026-08-08,88,560.0760866563216,518.998681212327,1192.5212883578708,1106.6047499593274,1202.9440686475068,1138.4529103406037,2029.563359994765,1812.0317431078709,1224.057526552849,1193.538682058267,521.1675705010013,479.8969909539613
2026-08-09,89,559.7968192526287,521.5086706341604,1200.2655866036353,1129.668322112289,1189.1528344316062,1127.833666696529,2028.1490955028603,1829.7089074654127,1225.5751628168769,1205.0253397796787,522.8353130626391,482.0798802200478
2026-08-10,90,561.4727514069319,522.3938203991556,1167.2633897504052,1114.01797999351,1183.919119217127,1132.994983756418,2069.630563668744,1835.7342772856905,1264.862978631838,1223.470104375986,532.1165478430129,483.314164236223
2026-08-11,91,559.303414906562,520.132422658847,1164.1291367084957,1111.926881022008,1187.638256365204,1143.4254461049582,2051.336996089536,1893.258398725244,1240.188943004697,1197.371160523002,523.0063060439043,482.10353658121727
2026-08-12,92,557.7482898630165,523.8807022267167,1175.091349820726,1121.730615461359,1175.0835843877098,1145.182670734143,1991.261269238179,1834.615839194134,1240.142049975028,1192.5181294151716,525.2602708695474,487.3589525118516
2026-08-13,93,558.731259407163,511.4804448886067,1155.8729747015277,1112.2335112375424,1187.969009819133,1138.0134295637902,2024.4607881574411,1847.56932579871,1237.3787088137676,1196.1337872727534,526.6898617602199,489.23334718623335
2026-08-14,94,558.6579158342265,517.322821008965,1181.6267377306851,1125.9013650297436,1167.5766219361558,1118.5436349401025,2041.2855350477275,1792.3089670537342,1235.4584914712134,1213.3072341145348,526.6623694432907,484.4517237158211
2026-08-15,95,560.670477521265,515.6851649276825,1172.1706494926054,1107.694485163674,1179.0657020525964,1144.4354183203209,2065.885753496479,1851.882345386507,1261.689115910443,1219.0397026621456,521.2750104995347,479.2429822397533
2026-08-16,96,559.0648114990402,521.0670555811478,1174.3142096195886,1104.2243684308594,1162.6625869116108,1126.2091231204322,2032.366886161684,1858.5016783294789,1257.8455211011194,1233.9142822273554,529.8599134996108,480.9518543034443
2026-08-17,97,558.9321231976556,509.3381553392244,1152.9939598922174,1092.520667728897,1175.0384492139517,1148.2856947514802,2075.1405878820287,1941.524689392449,1247.6479207716454,1252.0171501185832,525.1221547915487,485.9770173826126
2026-08-18,98,560.6729571210669,499.9262502333882,1168.2825010302115,1108.5621454648046,1156.8057250085365,1134.3237489429748,2063.343985839252,1888.3182268818507,1253.5160036322702,1232.9694694215573,525.7862413865229,481.4506605675631
2026-08-19,99,561.1331578790812,504.9667926966287,1155.9621978262244,1103.3169734658736,1157.3913243554478,1116.2706221586768,2055.0163792748317,1876.776017661287,1243.518642699047,1228.22930430695,526.6715958816341,479.5173564746963
2026-08-20,100,561.0868396030421,495.70314177272735,1167.3779598029762,1099.7329314142253,1152.7459307505628,1132.6212519656128,2090.0446937158817,1927.5903262598388,1239.2999036523713,1254.2928849971297,527.918770125014,477.3586180025607
2026-08-21,101,560.1442081236476,504.47871317081655,1177.042917873572,1118.7272417288289,1123.7133099175062,1116.541871243773,1988.3474171936969,1824.6610621217292,1252.9532872762422,1229.5083007229218,529.6013982149548,480.68966558914167
2026-08-22,102,561.2018771874632,505.9668103668815,1171.1257551045214,1099.5085700270986,1145.7374581640963,1134.645176096965,2061.624479677846,1960.8427275395704,1218.0988110619228,1235.284733911495,517.3854739778192,479.19635273362144
2026-08-23,103,561.8276547078517,504.5002989464654,1138.1420353378153,1130.0770369410177,1144.635962260637,1104.9987590500484,1996.7113018594705,1823.0692073049388,1223.542881577892,1206.1605696159618,535.0212972256548,479.18452680045846
2026-08-24,104,560.286047714933,510.0069985962834,1132.9288616814508,1113.0412598509383,1164.4774267506805,1114.038104861593,2082.1925198859853,1924.3241791025976,1271.2512634655104,1263.545541192788,527.3335571712706,481.9223539358859
2026-08-25,105,561.232336468981,506.2363437826256,1136.335981913922,1105.5508465638516,1158.677887337005,1138.4866890649068,2098.2656906960483,1994.2842966804888,1251.098883537578,1232.2248389753297,532.7328708077118,476.59426537606896
2026-08-26,106,561.1214261487183,510.7716357445257,1160.2209663539834,1132.7881285638834,1140.304859876702,1136.3126571233663,2012.7810344662,1865.2275504283368,1257.6916525106208,1257.1896066558882,527.6850248964741,481.8120954256281
2026-08-27,107,562.2275257402562,508.8099042486436,1135.423898400548,1119.5157493489744,1143.0962887920075,1117.8476922379382,2031.6293157038644,1871.579190837384,1260.0038055980096,1203.0720260415749,520.9359230075661,480.9149471437327
2026-08-28,108,560.7265377253567,514.4383640857899,1153.704122169221,1107.385804517408,1144.2207777272658,1122.174367260607,2028.436994470252,1921.4425109711328,1270.0575131528342,1246.4776191306853,519.419519447321,473.6272416773903
2026-08-29,109,560.0798285651005,518.5977321816966,1166.9072605673236,1112.2573931099269,1143.9973650500062,1139.708928224063,2069.129344409216,1934.0588933606075,1253.8034544226484,1230.3477746897222,519.925831189601,481.75323095557775
2026-08-30,110,559.7604679954014,516.5233931582188,1147.1452653303454,1117.902620017848,1151.8530198186018,1136.4037056347906,2114.997504972695,1914.9435587348655,1249.6821168316587,1277.1995372625531,524.6798227712561,476.6119885438613
