[2025-10-10 10:42:14] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000005-易煤长江口指数_处理后, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:42:15] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000010-API指数_处理后, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:42:15] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000011-ICI指数_处理后, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:42:15] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000268-CCTD-煤炭价格_鄂尔多斯市_伊金霍洛旗, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:3, 是否有空值:False
[2025-10-10 10:42:15] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000269-CCTD-煤炭价格_榆林市_神木县, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:2, 是否有空值:False
[2025-10-10 10:42:15] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000270-CCTD-煤炭价格_朔州_朔州市, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:4, 是否有空值:False
[2025-10-10 10:42:16] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000271-CCTD-煤炭价格_朔州_右玉县, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:2, 是否有空值:False
[2025-10-10 10:42:16] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000273-CCTD-煤炭价格_到岸价格_印尼, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:7, 是否有空值:True
[2025-10-10 10:42:16] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:10, 是否有空值:True
[2025-10-10 10:42:16] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:5, 是否有空值:False
[2025-10-10 10:42:17] 来源:/tmp/coal_direct_q9f4q1e6/60+, 表:输入00000279-CCTD-煤炭运费_水运价格_沿海煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:14, 是否有空值:False
[2025-10-10 10:42:17] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000351--煤炭运费_水运价格_进口煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:5, 是否有空值:False
[2025-10-10 10:42:17] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000347--煤炭运费_水运价格_沿海煤炭运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:14, 是否有空值:False
[2025-10-10 10:42:17] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000349--煤炭运费_水运价格_国际煤炭海运费, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:42:18] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000352--煤炭运费_水运指数_中国沿海煤炭运价综合指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:42:19] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000353--煤炭运费_水运指数_中国沿海散货运价指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:42:19] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000354--煤炭运费_水运指数_国际航运指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:42:19] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000355--煤炭运费_水运指数_海运煤炭价格指数, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:0, 是否有空值:False
[2025-10-10 10:42:20] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000357--港口煤炭数据_港口库存及调度_港口库存及调度(日)_秦皇岛港, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:42:20] 来源:/tmp/coal_direct_q9f4q1e6/500+, 表:输入00000362--港口煤炭数据_港口库存及调度_港口库存及调度(日)_广州港, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:45:22] 来源:/tmp/coal_direct_kgb562aw/60+, 表:输入00000019-CCI指数_处理后, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:1, 是否有空值:False
[2025-10-10 10:45:22] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:131, 是否有空值:False
[2025-10-10 10:45:22] 来源:/tmp/coal_direct_kgb562aw/500+, 表:输入00000232--煤炭价格_国内煤价_地区价格_浙江省_金华市, 请求时间范围:2025-10-09 到 2025-10-09, 记录数:4, 是否有空值:False
