date,真实值,预测值
2025-12-31,426.17,425.3499037124168
2026-01-01,,632.14
2026-01-02,,632.746725047344
2026-01-05,432.68,442.3618981008816
2026-01-06,435.05,442.2845629512896
2026-01-07,439.63,441.4272759613427
2026-01-08,439.01,440.170864099279
2026-01-09,439.01,439.3404041742756
2026-01-12,438.38,437.6345740512335
2026-01-13,438.38,442.2845629512896
2026-01-14,438.38,437.3469629328998
2026-01-15,438.38,442.8615578708394
2026-01-16,438.38,442.404833117728
2026-01-19,437.75,441.06903512665656
2026-01-20,437.75,436.73469127308175
2026-01-21,435.38,438.1961915647822
2026-01-22,435.38,434.549050340528
2026-01-23,435.38,432.95208965351
2026-01-26,437.12,433.4895875661604
2026-01-27,437.12,435.4721395596584
2026-01-28,436.5,436.3695594107221
2026-01-29,440.43,436.0336414683943
2026-01-30,448.94,439.1244112141922
2026-02-02,448.94,439.5114839680985
2026-02-03,450.01,440.1846386718744
2026-02-04,455.5,441.4339499786503
2026-02-05,456.16,460.67077536268295
2026-02-06,460.09,460.503580154192
2026-02-09,463.36,460.0130137124487
2026-02-10,465.94,462.7754650223655
2026-02-11,473.77,464.98271014302776
2026-02-12,480.91,471.778020826565
2026-02-13,489.43,477.8539425388022
2026-02-16,,632.1892494363705
2026-02-17,,630.4675731670795
2026-02-18,,627.5816962394703
2026-02-19,,620.0033768735286
2026-02-20,,614.6579141676858
2026-02-23,,609.0905401832607
2026-02-24,502.91,498.5422222859776
2026-02-25,517.0,513.9645372979173
2026-02-26,519.37,523.187698193897
2026-02-27,524.01,521.6657908296846
2026-03-02,534.09,543.1655735066211
2026-03-03,539.55,559.9643587967012
2026-03-04,541.9,562.37214013213
2026-03-05,541.12,553.5368498960393
2026-03-06,540.33,546.5662814140051
2026-03-09,548.16,550.9341340583167
2026-03-10,545.0,549.9798020655705
2026-03-11,545.0,543.5318667209988
2026-03-12,545.0,597.3598854934389
2026-03-13,547.37,609.8257576759183
2026-03-16,547.37,629.3040897084986
2026-03-17,545.79,599.2143993907345
2026-03-18,545.0,553.3365068041182
2026-03-19,547.37,565.46600733334
2026-03-20,545.79,566.3341875701149
2026-03-23,547.37,557.5337869069176
2026-03-24,546.58,533.9103234541666
2026-03-25,546.58,537.609734164757
2026-03-26,547.37,569.2680382884782
2026-03-27,548.16,559.6285908327928
2026-03-30,548.16,547.1538115474988
2026-03-31,548.16,542.9736398817654
2026-04-01,545.0,542.5037259784713
2026-04-02,546.58,539.8732629344921
2026-04-03,545.79,547.7232482252793
2026-04-06,,606.8798452248042
2026-04-07,548.1,552.9329974373167
2026-04-08,546.45,556.2672376450143
2026-04-09,550.38,563.6889622687453
2026-04-10,553.45,568.2810920311641
2026-04-13,553.45,574.8880080711896
2026-04-14,551.83,582.3742945809427
2026-04-15,555.69,596.9030894509415
2026-04-16,560.37,600.9156970916144
2026-04-17,564.23,602.8958534851254
2026-04-20,564.23,605.7596550571387
2026-04-21,563.41,610.6356619080775
2026-04-22,566.55,612.8630443047846
2026-04-23,568.93,619.7452967102352
2026-04-24,571.25,621.4860884882507
2026-04-27,578.14,622.6539877961493
2026-04-28,582.86,619.5806632271665
2026-04-29,584.41,620.960861269203
2026-04-30,592.15,623.5308897111533
2026-05-01,,607.3879983226681
2026-05-04,,604.4081196660655
2026-05-05,,601.9990516696724
2026-05-06,602.0,631.174068654451
2026-05-07,601.11,627.1645495350431
2026-05-08,601.11,626.0720376827762
2026-05-11,600.23,629.2349764742213
2026-05-12,600.23,627.3532398827219
2026-05-13,604.08,625.580840084388
2026-05-14,603.19,619.2834636600094
2026-05-15,604.97,617.5707823956188
2026-05-18,604.97,616.4240999367541
2026-05-19,604.97,614.8851599646152
2026-05-20,604.97,617.6210114727396
2026-05-21,600.23,622.9267741125573
2026-05-22,596.39,624.1430144599275
2026-05-25,603.19,622.5955526675634
2026-05-26,607.04,615.8758088377062
2026-05-27,614.72,584.8156762552018
2026-05-28,622.4,588.2953484970292
2026-05-29,621.49,683.006555441951
2026-06-01,620.57,671.2006379433886
2026-06-02,620.57,653.0513143371688
2026-06-03,621.49,629.3742306192387
2026-06-04,617.65,620.7966282696924
2026-06-05,613.82,615.6685497931159
2026-06-08,614.72,611.9108884967161
2026-06-09,609.98,611.832578119145
2026-06-10,609.98,607.6493444314547
2026-06-11,609.98,603.5558856578637
2026-06-12,609.08,606.1785122411593
2026-06-15,608.18,604.2809648682678
2026-06-16,608.18,603.6011026292008
2026-06-17,608.18,603.5296084012568
2026-06-18,601.42,603.2842680162647
2026-06-19,,599.8971943502635
2026-06-22,594.63,582.540226074277
2026-06-23,580.14,555.5187395497583
2026-06-24,578.0,502.3310943690419
2026-06-25,574.14,488.0322071797388
2026-06-26,574.14,492.4816563444162
2026-06-29,573.3,506.2480589251888
2026-06-30,572.46,537.7994423852589
2026-07-01,573.3,536.1383416297374
2026-07-02,570.92,546.6483137549681
2026-07-03,568.62,580.5848964686925
2026-07-06,567.91,546.5186932867127
2026-07-07,564.07,542.5198988993232
2026-07-08,562.58,527.1783053606807
2026-07-09,554.06,513.616553861651
2026-07-10,553.25,494.538096563306
,,599.1047991607205
,,597.5234260306394
,,594.0625145065279
,,592.332387179976
,,590.0170235169713
,,586.9217159709234
,,585.2439472445648
,,584.4988195313671
,,583.1835722663462
,,579.6622112773742
,,576.9876569974795
,,577.2412930069712
,,577.8877181990596
,,579.4444631274517
,,581.1057188073975
,,581.4618605045904
,,580.922666398834
,,578.3841621560485
,,578.2409458769511
,,578.090446342579
,,578.2951027933335
,,579.0231245814185
,,578.5447824218289
,,576.7613514238955
,,575.5585275016614
,,575.5170974130293
,,576.8711589797103
,,576.0436424295225
,,576.5326221683333
,,575.710484600654
,,574.4765219531204
,,573.8855199481521
,,571.8906748434524
,,572.6451915387934
,,572.7428664689477
,,571.8467837190934
,,572.3147924230117
,,571.3877605768317
,,571.2196501800441
,,571.76271592715
,,570.6915444172037
,,571.310078397563
,,571.2546664806027
,,569.8825825199197
,,569.3987000523168
,,569.3974003553107
,,568.1846350423519
,,568.2625544072529
,,567.4791449501266
,,568.8056645519572
,,570.1554840561713
,,570.1934681227398
,,570.5724341557326
,,571.7717099841165
,,573.576593730886
,,574.3424999043926
,,575.5135203326699
,,576.8914161951369
,,578.4490342193795
,,578.040361369019
,,576.3255962518988
,,575.1722879467139
,,575.1005191860455
,,574.2484625463256
,,574.1370883102537
,,574.2763629790942
,,576.2869671821422
,,578.1381612954891
,,578.1949212345338
,,576.4992715034487
,,575.4363150860651
,,574.8889483216043
,,574.5586136250305
,,574.966876224505
,,576.9683882689698
,,579.3882599940581
,,579.9230648849226
,,579.4802397795746
,,580.6799622734134
,,582.503838843232
,,583.3781892247595
,,582.8803344913882
,,583.7520289573454
,,584.0613135998394
,,584.4981163844008
,,584.8399504005066
,,586.3417736211919
,,588.7187768181469
,,589.4094251347129
,,588.3690387488078
,,589.5633789303182
,,589.8816382912095
,,590.2951318669673
,,590.8638915288861
,,590.8761492362426
,,592.0016770248649
,,591.1611324262966
,,590.4521455535993
,,590.4896187916448
,,590.0508255005208
,,591.2571541008767
,,590.3695284958771
,,589.1148778908316
,,588.9614109789295
,,588.9888725841269
,,589.1972627064242
,,589.5865813458217
