时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-12,螺纹钢,收盘价,3608.00,0.31%,55,2024-06-12 00:00:00,1,0,2024-07-20 12:16:14,0,2024-07-20 12:16:14,,,
2024-06-12,螺纹钢,结算价,3604.00,-0.22%,56,2024-06-12 00:00:00,1,0,2024-07-20 12:16:14,0,2024-07-20 12:16:14,,,
2024-06-11,螺纹钢,收盘价,3597.00,-1.59%,57,2024-06-11 00:00:00,1,0,2024-07-20 12:16:14,0,2024-07-20 12:16:14,,,
2024-06-11,螺纹钢,结算价,3612.00,-1.37%,58,2024-06-11 00:00:00,1,0,2024-07-20 12:16:14,0,2024-07-20 12:16:14,,,
2024-06-07,螺纹钢,收盘价,3655.00,-0.27%,59,2024-06-07 00:00:00,1,0,2024-07-20 12:16:14,0,2024-07-20 12:16:14,,,
2024-06-07,螺纹钢,结算价,3662.00,0.55%,60,2024-06-07 00:00:00,1,0,2024-07-20 12:16:14,0,2024-07-20 12:16:14,,,
2024-06-06,螺纹钢,收盘价,3665.00,0.91%,61,2024-06-06 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-06,螺纹钢,结算价,3642.00,0.%,62,2024-06-06 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-05,螺纹钢,收盘价,3632.00,-0.38%,63,2024-06-05 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-05,螺纹钢,结算价,3642.00,-0.41%,64,2024-06-05 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-04,螺纹钢,收盘价,3646.00,-0.52%,65,2024-06-04 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-04,螺纹钢,结算价,3657.00,-0.6%,66,2024-06-04 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-03,螺纹钢,收盘价,3665.00,-1.11%,67,2024-06-03 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-06-03,螺纹钢,结算价,3679.00,-0.97%,68,2024-06-03 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-31,螺纹钢,收盘价,3706.00,-0.83%,69,2024-05-31 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-31,螺纹钢,结算价,3715.00,-1.54%,70,2024-05-31 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-30,螺纹钢,收盘价,3737.00,-0.43%,71,2024-05-30 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-30,螺纹钢,结算价,3773.00,0.88%,72,2024-05-30 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-29,螺纹钢,收盘价,3753.00,0.21%,73,2024-05-29 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-29,螺纹钢,结算价,3740.00,-0.74%,74,2024-05-29 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-28,螺纹钢,收盘价,3745.00,-0.48%,75,2024-05-28 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-28,螺纹钢,结算价,3768.00,0.05%,76,2024-05-28 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-27,螺纹钢,收盘价,3763.00,-0.66%,77,2024-05-27 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-27,螺纹钢,结算价,3766.00,-0.53%,78,2024-05-27 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-24,螺纹钢,收盘价,3788.00,0.34%,79,2024-05-24 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-24,螺纹钢,结算价,3786.00,0.13%,80,2024-05-24 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-23,螺纹钢,收盘价,3775.00,-0.66%,81,2024-05-23 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-23,螺纹钢,结算价,3781.00,-0.13%,82,2024-05-23 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-22,螺纹钢,收盘价,3800.00,1.44%,83,2024-05-22 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-22,螺纹钢,结算价,3786.00,1.34%,84,2024-05-22 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-21,螺纹钢,收盘价,3746.00,0.29%,85,2024-05-21 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-21,螺纹钢,结算价,3736.00,0.16%,86,2024-05-21 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-20,螺纹钢,收盘价,3735.00,0.51%,87,2024-05-20 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-20,螺纹钢,结算价,3730.00,0.54%,88,2024-05-20 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-17,螺纹钢,收盘价,3716.00,0.35%,89,2024-05-17 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-17,螺纹钢,结算价,3710.00,1.17%,90,2024-05-17 00:00:00,1,0,2024-07-20 12:16:18,0,2024-07-20 12:16:18,,,
2024-05-16,螺纹钢,收盘价,3703.00,2.26%,91,2024-05-16 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-16,螺纹钢,结算价,3667.00,1.38%,92,2024-05-16 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-15,螺纹钢,收盘价,3621.00,-1.76%,93,2024-05-15 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-15,螺纹钢,结算价,3617.00,-1.04%,94,2024-05-15 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-14,螺纹钢,收盘价,3686.00,0.%,95,2024-05-14 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-14,螺纹钢,结算价,3655.00,0.%,96,2024-05-14 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-13,螺纹钢,收盘价,3686.00,0.66%,97,2024-05-13 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-13,螺纹钢,结算价,3655.00,0.08%,98,2024-05-13 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-10,螺纹钢,收盘价,3662.00,-0.19%,99,2024-05-10 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-10,螺纹钢,结算价,3652.00,-0.6%,100,2024-05-10 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-09,螺纹钢,收盘价,3669.00,-0.14%,101,2024-05-09 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-09,螺纹钢,结算价,3674.00,-0.76%,102,2024-05-09 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-08,螺纹钢,收盘价,3674.00,-1.32%,103,2024-05-08 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-08,螺纹钢,结算价,3702.00,-0.72%,104,2024-05-08 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-07,螺纹钢,收盘价,3723.00,-0.32%,105,2024-05-07 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-07,螺纹钢,结算价,3729.00,0.46%,106,2024-05-07 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-06,螺纹钢,收盘价,3735.00,2.16%,107,2024-05-06 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-05-06,螺纹钢,结算价,3712.00,1.14%,108,2024-05-06 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-30,螺纹钢,收盘价,3656.00,-0.52%,109,2024-04-30 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-30,螺纹钢,结算价,3670.00,0.%,110,2024-04-30 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-29,螺纹钢,收盘价,3675.00,-0.27%,111,2024-04-29 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-29,螺纹钢,结算价,3670.00,0.%,112,2024-04-29 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-26,螺纹钢,收盘价,3685.00,0.44%,113,2024-04-26 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-26,螺纹钢,结算价,3670.00,-0.33%,114,2024-04-26 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-25,螺纹钢,收盘价,3669.00,-0.33%,115,2024-04-25 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
2024-04-25,螺纹钢,结算价,3682.00,0.38%,116,2024-04-25 00:00:00,1,0,2024-07-20 12:16:21,0,2024-07-20 12:16:21,,,
