时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-08,动力煤,绥芬河口岸,,,0.70,,5500.00,745.00,0.00,车板价,71,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,褐煤,满洲里口岸,,,0.30,,4000.00,405.00,0.00,车板价,72,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,瘦煤,连云港,11.00,20.00,0.25,80.00,,1850.00,0.00,平仓价,73,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,瘦焦煤,日照港,10.00,15.50,0.30,82.50,,1870.00,0.00,车板价,74,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,1/3焦煤,大连港,8.50,33.00,0.75,80.00,,1730.00,0.00,平仓价,75,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,气肥煤,天津港,9.50,39.00,0.70,90.00,,1645.00,0.00,场地价,76,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,主焦煤,天津港,11.00,17.50,0.30,83.00,,1860.00,0.00,场地价,77,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,喷吹煤,京唐港,11.00,12.00,0.30,,,1165.00,0.00,场地价,78,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,1/3焦煤,京唐港,9.00,33.00,0.50,80.00,,1665.00,0.00,场地价,79,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-08,主焦煤,京唐港,11.00,17.50,0.30,83.00,,1750.00,0.00,场地价,80,2024-07-08 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-05,动力煤,绥芬河口岸,,,0.70,,5500.00,745.00,0.00,车板价,81,2024-07-05 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-05,褐煤,满洲里口岸,,,0.30,,4000.00,405.00,0.00,车板价,82,2024-07-05 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-05,瘦煤,连云港,11.00,20.00,0.25,80.00,,1850.00,10.00,平仓价,83,2024-07-05 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-05,瘦焦煤,日照港,10.00,15.50,0.30,82.50,,1870.00,10.00,车板价,84,2024-07-05 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-05,1/3焦煤,大连港,8.50,33.00,0.75,80.00,,1730.00,10.00,平仓价,85,2024-07-05 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
2024-07-05,气肥煤,天津港,9.50,39.00,0.70,90.00,,1645.00,20.00,场地价,86,2024-07-05 00:00:00,1,0,2024-07-17 11:19:11,0,2024-07-17 11:19:11,,,
