时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-09,波罗的海超灵便运价指数(BSI),1347.00,1335.00,12.00,0.9%,39,2024-07-09 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-09,波罗的海灵便型船指数(BHSI),737.00,742.00,-5.00,-0.67%,40,2024-07-09 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-05,波罗的海干散货指数(BDI),1966.00,2021.00,-55.00,-2.72%,41,2024-07-05 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-05,波罗的海海岬型指数(BCI),3339.00,3486.00,-147.00,-4.22%,42,2024-07-05 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-05,波罗的海巴拿马指数(BPI),1546.00,1568.00,-22.00,-1.4%,43,2024-07-05 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-05,波罗的海超灵便运价指数(BSI),1335.00,1337.00,-2.00,-0.15%,44,2024-07-05 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-05,波罗的海灵便型船指数(BHSI),742.00,745.00,-3.00,-0.4%,45,2024-07-05 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-04,波罗的海干散货指数(BDI),2021.00,2064.00,-43.00,-2.08%,46,2024-07-04 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-04,波罗的海海岬型指数(BCI),3486.00,3580.00,-94.00,-2.63%,47,2024-07-04 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-04,波罗的海巴拿马指数(BPI),1568.00,1607.00,-39.00,-2.43%,48,2024-07-04 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-04,波罗的海超灵便运价指数(BSI),1337.00,1340.00,-3.00,-0.22%,49,2024-07-04 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-04,波罗的海灵便型船指数(BHSI),745.00,749.00,-4.00,-0.53%,50,2024-07-04 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-03,波罗的海干散货指数(BDI),2064.00,2179.00,-115.00,-5.28%,51,2024-07-03 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-03,波罗的海海岬型指数(BCI),3580.00,3888.00,-308.00,-7.92%,52,2024-07-03 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-03,波罗的海巴拿马指数(BPI),1607.00,1640.00,-33.00,-2.01%,53,2024-07-03 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-03,波罗的海超灵便运价指数(BSI),1340.00,1351.00,-11.00,-0.81%,54,2024-07-03 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-03,波罗的海灵便型船指数(BHSI),749.00,755.00,-6.00,-0.79%,55,2024-07-03 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-02,波罗的海干散货指数(BDI),2179.00,2158.00,21.00,0.97%,56,2024-07-02 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-02,波罗的海海岬型指数(BCI),3888.00,3791.00,97.00,2.56%,57,2024-07-02 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-02,波罗的海巴拿马指数(BPI),1640.00,1662.00,-22.00,-1.32%,58,2024-07-02 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-02,波罗的海超灵便运价指数(BSI),1351.00,1369.00,-18.00,-1.31%,59,2024-07-02 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-02,波罗的海灵便型船指数(BHSI),755.00,762.00,-7.00,-0.92%,60,2024-07-02 00:00:00,1,0,2024-07-20 09:22:25,0,2024-07-20 09:22:25,,,
2024-07-01,波罗的海干散货指数(BDI),2158.00,2050.00,108.00,5.27%,61,2024-07-01 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-07-01,波罗的海海岬型指数(BCI),3791.00,3443.00,348.00,10.11%,62,2024-07-01 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-07-01,波罗的海巴拿马指数(BPI),1662.00,1667.00,-5.00,-0.3%,63,2024-07-01 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-07-01,波罗的海超灵便运价指数(BSI),1369.00,1385.00,-16.00,-1.16%,64,2024-07-01 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-07-01,波罗的海灵便型船指数(BHSI),762.00,763.00,-1.00,-0.13%,65,2024-07-01 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-28,波罗的海干散货指数(BDI),2050.00,2031.00,19.00,0.94%,66,2024-06-28 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-28,波罗的海海岬型指数(BCI),3443.00,3371.00,72.00,2.14%,67,2024-06-28 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-28,波罗的海巴拿马指数(BPI),1667.00,1672.00,-5.00,-0.3%,68,2024-06-28 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-28,波罗的海超灵便运价指数(BSI),1385.00,1399.00,-14.00,-1.%,69,2024-06-28 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-28,波罗的海灵便型船指数(BHSI),763.00,763.00,0.00,0.%,70,2024-06-28 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-27,波罗的海干散货指数(BDI),2031.00,1964.00,67.00,3.41%,71,2024-06-27 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-27,波罗的海海岬型指数(BCI),3371.00,3145.00,226.00,7.19%,72,2024-06-27 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-27,波罗的海巴拿马指数(BPI),1672.00,1683.00,-11.00,-0.65%,73,2024-06-27 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-27,波罗的海超灵便运价指数(BSI),1399.00,1412.00,-13.00,-0.92%,74,2024-06-27 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-27,波罗的海灵便型船指数(BHSI),763.00,763.00,0.00,0.%,75,2024-06-27 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-26,波罗的海干散货指数(BDI),1964.00,1926.00,38.00,1.97%,76,2024-06-26 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-26,波罗的海海岬型指数(BCI),3145.00,2990.00,155.00,5.18%,77,2024-06-26 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-26,波罗的海巴拿马指数(BPI),1683.00,1735.00,-52.00,-3.%,78,2024-06-26 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-26,波罗的海超灵便运价指数(BSI),1412.00,1412.00,0.00,0.%,79,2024-06-26 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
2024-06-26,波罗的海灵便型船指数(BHSI),763.00,760.00,3.00,0.39%,80,2024-06-26 00:00:00,1,0,2024-07-20 09:22:28,0,2024-07-20 09:22:28,,,
