时间,产品名称,报价地,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-12,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,69,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,70,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1520.00,出厂价,71,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,72,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,73,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1390.00,出厂价,74,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,75,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,大武口区,9.00,7.50,0.45,,,1400.00,出厂价,76,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,77,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-12,喷吹煤,织金县,13.00,7.50,0.75,,6300.00,1450.00,出厂价,78,2024-07-12 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,79,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,80,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,81,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,82,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,83,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,大武口区,9.00,7.50,0.45,,,1400.00,出厂价,84,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,85,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1390.00,出厂价,86,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1520.00,出厂价,87,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,88,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,89,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,90,2024-07-11 00:00:00,1,0,2024-07-20 03:51:16,0,2024-07-20 03:51:16,,,
2024-07-11,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,91,2024-07-11 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,92,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,无烟喷吹煤,徐州港,10.00,9.50,0.55,,6800.00,1260.00,平仓价,93,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤2#,阳泉市,11.50,7.00,0.95,,6500.00,1155.00,车板价,94,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤1#,阳泉市,10.50,8.00,0.80,,7000.00,1240.00,车板价,95,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,本溪市,11.00,10.00,0.80,,7000.00,1205.00,车板价,96,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,纳雍县,13.00,7.50,0.75,,6700.00,1520.00,出厂价,97,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,焦作市,11.00,8.00,0.40,,,1295.00,车板价,98,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,日照港,12.00,9.00,0.60,,,1185.00,场地价,99,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,织金县,13.00,7.50,0.75,,6300.00,1450.00,出厂价,100,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,大武口区,9.00,7.50,0.45,,,1400.00,出厂价,101,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,日照港,11.00,7.50,0.60,,6800.00,1355.00,平仓价,102,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,石家庄市,10.00,7.50,0.75,,6000.00,1255.00,出厂价,103,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-10,喷吹煤,石嘴山市,11.00,9.50,0.45,,7000.00,1390.00,出厂价,104,2024-07-10 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
2024-07-09,贫煤,和顺县,11.50,12.50,1.00,,5800.00,740.00,坑口价,105,2024-07-09 00:00:00,1,0,2024-07-20 03:51:20,0,2024-07-20 03:51:20,,,
