时间,地区,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,上海市,1.80,-25.30,10.50,-2.90,55,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,黑龙江省,22.40,4.60,114.50,8.50,56,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,吉林省,25.20,-4.70,119.30,-8.30,57,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,辽宁省,31.80,3.80,145.80,3.00,58,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,内蒙古区,135.70,14.40,665.90,15.50,59,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,山西省,36.00,-17.60,211.90,-11.30,60,2024-05-31 00:00:00,1,0,2024-07-20 15:34:05,0,2024-07-20 15:34:05,,,
2024-05,河北省,58.80,1.60,288.00,-3.60,61,2024-05-31 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-05,天津市,3.20,14.80,14.10,3.10,62,2024-05-31 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-05,北京市,0.10,22.70,0.70,-3.40,63,2024-05-31 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-05,全国,771.50,-3.30,4048.30,5.00,64,2024-05-31 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,全国,807.60,-8.40,3250.40,6.30,65,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,新疆区,65.30,6.20,219.20,18.50,66,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,宁夏区,21.70,-16.40,83.30,-10.00,67,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,青海省,10.80,-25.90,42.30,-6.00,68,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,甘肃省,36.90,-15.10,123.00,-6.50,69,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,陕西省,16.60,-16.30,59.40,-14.10,70,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,西藏区,,,,,71,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,云南省,52.60,57.30,199.30,62.20,72,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,贵州省,10.70,-16.80,47.50,16.20,73,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,四川省,20.40,13.10,92.40,35.70,74,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
2024-04,重庆市,3.70,-12.00,12.30,6.70,75,2024-04-30 00:00:00,1,0,2024-07-20 15:34:08,0,2024-07-20 15:34:08,,,
