时间,报价地区,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-28,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,50,2024-06-28 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-28,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,51,2024-06-28 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-28,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,52,2024-06-28 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-27,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,53,2024-06-27 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-27,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,54,2024-06-27 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-27,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,55,2024-06-27 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-27,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,56,2024-06-27 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-26,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,57,2024-06-26 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-26,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,58,2024-06-26 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-26,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,59,2024-06-26 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-26,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,60,2024-06-26 00:00:00,1,0,2024-07-16 22:47:02,0,2024-07-16 22:47:02,,,
2024-06-25,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,61,2024-06-25 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-25,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,62,2024-06-25 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-25,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,63,2024-06-25 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-25,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,64,2024-06-25 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-24,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,65,2024-06-24 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-24,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,66,2024-06-24 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-24,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,67,2024-06-24 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-24,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,68,2024-06-24 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-21,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,69,2024-06-21 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-21,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,70,2024-06-21 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-21,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,71,2024-06-21 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-21,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,72,2024-06-21 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-20,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,73,2024-06-20 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-20,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,74,2024-06-20 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-20,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,75,2024-06-20 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-20,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,76,2024-06-20 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-19,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,77,2024-06-19 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-19,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,78,2024-06-19 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-19,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,79,2024-06-19 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-19,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,80,2024-06-19 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-18,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,81,2024-06-18 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-18,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,82,2024-06-18 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-18,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,83,2024-06-18 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-18,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,84,2024-06-18 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-17,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,85,2024-06-17 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-17,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,86,2024-06-17 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-17,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,87,2024-06-17 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-17,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,88,2024-06-17 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-14,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,89,2024-06-14 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-14,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,90,2024-06-14 00:00:00,1,0,2024-07-16 22:47:05,0,2024-07-16 22:47:05,,,
2024-06-14,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,91,2024-06-14 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
2024-06-14,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,92,2024-06-14 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
2024-06-13,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,93,2024-06-13 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
2024-06-13,阜康市,大块,4.00,32.00,0.30,,4800.00,460.00,0.00,坑口价,94,2024-06-13 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
2024-06-13,阜康市,喷吹煤,10.00,17.00,0.50,,,1330.00,0.00,出厂价,95,2024-06-13 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
2024-06-13,阜康市,三八块,7.00,29.00,0.50,,6500.00,470.00,0.00,坑口价,96,2024-06-13 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
2024-06-12,阜康市,气煤,8.00,40.00,0.50,96.00,,1310.00,0.00,出厂价,97,2024-06-12 00:00:00,1,0,2024-07-16 22:47:09,0,2024-07-16 22:47:09,,,
