时间,省份,当月数量(吨),数量环比(%),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03,安徽省,373980.00,13.25,981541.00,22847.70,61364.20,47,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,北京市,1081806.00,0.92,3020467.30,62363.30,185901.70,48,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,福建省,4911317.70,49.42,11715235.50,316541.80,752802.20,49,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,广东省,4134648.10,65.64,9645988.60,276762.90,639159.90,50,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,广西区,202200.00,-39.83,538230.00,13751.00,35105.10,51,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,海南省,567544.00,-3.33,1679532.00,37103.70,108763.90,52,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,河南省,142450.00,-38.37,646172.50,8480.10,38829.50,53,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,黑龙江省,124076.10,58.99,221246.30,4440.40,7884.90,54,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,湖北省,303622.90,-25.88,1202943.00,20101.90,77725.70,55,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,湖南省,471613.00,53.46,947959.00,30435.40,63426.70,56,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,吉林省,1952.30,-97.33,131015.40,68.70,8653.30,57,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,江苏省,572770.00,-31.09,2392955.00,38104.70,145997.30,58,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,辽宁省,118957.90,321.23,289367.70,6194.40,14873.80,59,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,内蒙古区,220724.40,29.27,477705.50,8491.80,20211.00,60,2024-03-31 00:00:00,1,0,2024-07-20 14:42:49,0,2024-07-20 14:42:49,,,
2024-03,山东省,469946.10,-32.69,1512931.10,27553.60,98572.70,61,2024-03-31 00:00:00,1,0,2024-07-20 14:42:51,0,2024-07-20 14:42:51,,,
