时间,气精煤,环比增加,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-05-04,1291.00,-62.00,94,2023-05-04 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-04-26,1353.00,-57.00,95,2023-04-26 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-04-19,1410.00,-72.00,96,2023-04-19 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-04-12,1482.00,-94.00,97,2023-04-12 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-04-04,1576.00,-84.00,98,2023-04-04 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-03-29,1660.00,-111.00,99,2023-03-29 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-03-22,1771.00,-117.00,100,2023-03-22 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-03-15,1888.00,-48.00,101,2023-03-15 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-03-08,1936.00,-5.00,102,2023-03-08 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-03-01,1941.00,91.00,103,2023-03-01 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-02-22,1850.00,4.00,104,2023-02-22 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-02-15,1846.00,-17.00,105,2023-02-15 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-02-08,1863.00,-50.00,106,2023-02-08 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-02-01,1913.00,-26.00,107,2023-02-01 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
2023-01-18,1939.00,-33.00,108,2023-01-18 00:00:00,1,0,2025-03-07 23:20:17,0,2025-03-07 23:20:17,,,
