时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-04,理查兹港,动力煤,,5500(NAR),87.75,-3.95,FOB,71,2024-04-04 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-03,理查兹港,动力煤,,5500(NAR),91.70,1.70,FOB,72,2024-04-03 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-04-02,理查兹港,动力煤,,5500(NAR),90.00,-3.25,FOB,73,2024-04-02 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-28,理查兹港,动力煤,,5500(NAR),93.25,0.90,FOB,74,2024-03-28 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-27,理查兹港,动力煤,,5500(NAR),92.35,0.90,FOB,75,2024-03-27 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-26,理查兹港,动力煤,,5500(NAR),91.45,0.70,FOB,76,2024-03-26 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-25,理查兹港,动力煤,,5500(NAR),90.75,1.60,FOB,77,2024-03-25 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-22,理查兹港,动力煤,,5500(NAR),89.15,0.45,FOB,78,2024-03-22 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-21,理查兹港,动力煤,,5500(NAR),88.70,-1.70,FOB,79,2024-03-21 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-20,理查兹港,动力煤,,5500(NAR),90.40,-0.10,FOB,80,2024-03-20 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-19,理查兹港,动力煤,,5500(NAR),90.50,0.90,FOB,81,2024-03-19 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
2024-03-18,理查兹港,动力煤,,5500(NAR),89.60,-0.25,FOB,82,2024-03-18 00:00:00,1,0,2024-07-17 13:19:58,0,2024-07-17 13:19:58,,,
