时间,航线,船型(吨),当期值,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-08-05,江阴—九江(元/吨),10000-12000,10.07,-0.01,148,2025-08-05 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-05,江阴—城陵矶(元/吨),10000-15000,15.59,-0.16,149,2025-08-05 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-05,江阴—铜陵(元/吨),10000-15000,9.65,0.03,150,2025-08-05 00:00:00,1,0,2025-08-27 23:15:08,0,2025-08-27 23:15:08,,,
2025-08-05,南京—合肥(元/吨),单机1000-1500,27.25,-0.07,151,2025-08-05 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-05,镇江—蚌埠(元/吨),单机1000-2000,29.67,-0.04,152,2025-08-05 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-05,镇江—宿迁(元/吨)  ,拖队10000,13.76,0.07,153,2025-08-05 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,综合指数(点),,857.59,-14.09,154,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,江阴—武汉(元/吨),10000-15000,11.82,-0.77,155,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,江阴—荆州(元/吨),5000-6000,23.50,-0.72,156,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,江阴—九江(元/吨),10000-12000,10.08,-0.06,157,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,江阴—城陵矶(元/吨),10000-15000,15.75,-0.28,158,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,江阴—铜陵(元/吨),10000-15000,9.62,0.01,159,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,南京—合肥(元/吨),单机1000-1500,27.32,0.00,160,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
2025-08-04,镇江—蚌埠(元/吨),单机1000-2000,29.71,0.05,161,2025-08-04 00:00:00,1,0,2025-08-27 23:15:11,0,2025-08-27 23:15:11,,,
