时间,地区名称,当月数量(吨),当月金额(美元),累计数量(吨),累计金额(美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2025-03,宁夏区,0.17,706.00,0.23,1731.00,4131,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,青海省,120.84,93040.00,169.84,233119.00,4132,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,甘肃省,1605.93,1492018.00,5349.32,4238043.00,4133,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,陕西省,341592.80,199766429.00,614222.77,369045839.00,4134,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,云南省,195768.51,105769930.00,272125.12,145647231.00,4135,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,贵州省,1665.00,1530823.00,4959.65,3871398.00,4136,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,四川省,67340.69,50271464.00,175761.58,129723087.00,4137,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,重庆市,3943.15,4095276.00,64599.62,42742290.00,4138,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,海南省,451444.34,233398267.00,574130.75,311663848.00,4139,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,广西区,46522.42,25941277.00,75996.24,44493881.00,4140,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-03,广东省,1417357.20,970309490.00,3270139.30,2249282335.00,4141,2025-03-31 00:00:00,1,0,2025-04-28 23:19:29,0,2025-04-28 23:19:29,,,
2025-04,湖南省,237733.08,180876153.00,1876452.16,1161582122.00,4142,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,湖北省,182643.01,179068197.00,622573.12,580601556.00,4143,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,河南省,33356.40,28001166.00,493569.85,317569673.00,4144,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,山东省,1119408.99,714242986.00,3727652.95,2499384710.00,4145,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,江西省,36462.52,24172830.00,153619.52,99287926.00,4146,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,福建省,85365.83,81052799.00,516709.73,428589232.00,4147,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,安徽省,160790.94,113741126.00,569817.73,405948603.00,4148,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,浙江省,295745.02,362932239.00,1254104.98,1468789297.00,4149,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,江苏省,2317106.21,1584822506.00,7670027.76,5464768897.00,4150,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,上海市,724288.20,618777444.00,3675326.71,2825108112.00,4151,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,黑龙江省,35764.09,23922412.00,112488.77,81002311.00,4152,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,吉林省,5658.84,3781618.00,14251.45,9444714.00,4153,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
2025-04,辽宁省,635879.37,357703893.00,3264281.56,1831213283.00,4154,2025-04-30 00:00:00,1,0,2025-06-04 23:20:09,0,2025-06-04 23:20:09,,,
