时间,数据名称,价格类型,本期价格(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-28,焦炭,结算价,2358.00,0.17%,76,2024-05-28 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-27,焦炭,收盘价,2340.50,-1.43%,77,2024-05-27 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-27,焦炭,结算价,2354.00,-0.19%,78,2024-05-27 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-24,焦炭,收盘价,2374.50,1.52%,79,2024-05-24 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-24,焦炭,结算价,2358.50,0.7%,80,2024-05-24 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-23,焦炭,收盘价,2339.00,-0.64%,81,2024-05-23 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-23,焦炭,结算价,2342.00,0.97%,82,2024-05-23 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-22,焦炭,收盘价,2354.00,3.72%,83,2024-05-22 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-22,焦炭,结算价,2319.50,3.09%,84,2024-05-22 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-21,焦炭,收盘价,2269.50,-0.37%,85,2024-05-21 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-21,焦炭,结算价,2250.00,-0.92%,86,2024-05-21 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-20,焦炭,收盘价,2278.00,0.62%,87,2024-05-20 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-20,焦炭,结算价,2271.00,0.66%,88,2024-05-20 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-17,焦炭,收盘价,2264.00,1.41%,89,2024-05-17 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-17,焦炭,结算价,2256.00,2.59%,90,2024-05-17 00:00:00,1,0,2024-07-20 12:04:34,0,2024-07-20 12:04:34,,,
2024-05-16,焦炭,收盘价,2232.50,2.15%,91,2024-05-16 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-16,焦炭,结算价,2199.00,0.78%,92,2024-05-16 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-15,焦炭,收盘价,2185.50,-0.21%,93,2024-05-15 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-15,焦炭,结算价,2182.00,-1.42%,94,2024-05-15 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-14,焦炭,收盘价,2190.00,-3.01%,95,2024-05-14 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-14,焦炭,结算价,2213.50,-1.53%,96,2024-05-14 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-13,焦炭,收盘价,2258.00,-0.48%,97,2024-05-13 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-13,焦炭,结算价,2248.00,-1.23%,98,2024-05-13 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
2024-05-10,焦炭,收盘价,2269.00,-1.22%,99,2024-05-10 00:00:00,1,0,2024-07-20 12:04:37,0,2024-07-20 12:04:37,,,
