时间,数据项目,航线名称,载重,本期(点),上期(点),环比增减(点),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-21,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),956.76,956.34,0.42,0.04%,44,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,天津-上海,(2-3万DWT),987.87,986.31,1.56,0.16%,45,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1181.17,1181.27,-0.10,-0.01%,46,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),661.95,661.70,0.25,0.04%,47,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-21,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),939.80,938.97,0.83,0.09%,48,2024-06-21 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,散货运价综合指数,,,969.19,978.71,-9.52,-0.97%,49,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭货种运价指数,,,949.19,961.40,-12.21,-1.27%,50,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),886.78,897.86,-11.08,-1.23%,51,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),702.51,712.21,-9.70,-1.36%,52,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),976.44,987.62,-11.18,-1.13%,53,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),936.08,952.55,-16.47,-1.73%,54,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),984.52,993.75,-9.23,-0.93%,55,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),956.34,965.08,-8.74,-0.91%,56,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,天津-上海,(2-3万DWT),986.31,996.30,-9.99,-1.%,57,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1181.27,1189.65,-8.38,-0.7%,58,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),661.70,673.99,-12.29,-1.82%,59,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-14,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),938.97,955.38,-16.41,-1.72%,60,2024-06-14 00:00:00,1,0,2024-07-20 09:07:46,0,2024-07-20 09:07:46,,,
2024-06-07,散货运价综合指数,,,978.71,1019.71,-41.00,-4.02%,61,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭货种运价指数,,,961.40,1022.08,-60.68,-5.94%,62,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),897.86,971.29,-73.43,-7.56%,63,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),712.21,746.91,-34.70,-4.65%,64,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),987.62,1026.96,-39.34,-3.83%,65,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),952.55,1023.09,-70.54,-6.89%,66,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),993.75,1039.11,-45.36,-4.37%,67,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),965.08,1026.87,-61.79,-6.02%,68,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,天津-上海,(2-3万DWT),996.30,1029.76,-33.46,-3.25%,69,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1189.65,1228.94,-39.29,-3.2%,70,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),673.99,724.34,-50.35,-6.95%,71,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-06-07,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),955.38,1020.82,-65.44,-6.41%,72,2024-06-07 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,散货运价综合指数,,,1019.71,1034.80,-15.09,-1.46%,73,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭货种运价指数,,,1022.08,1042.74,-20.66,-1.98%,74,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),971.29,990.50,-19.21,-1.94%,75,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),746.91,754.34,-7.43,-0.98%,76,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),1026.96,1033.98,-7.02,-0.68%,77,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),1023.09,1043.00,-19.91,-1.91%,78,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),1039.11,1060.49,-21.38,-2.02%,79,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),1026.87,1048.41,-21.54,-2.05%,80,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,天津-上海,(2-3万DWT),1029.76,1050.02,-20.26,-1.93%,81,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1228.94,1234.86,-5.92,-0.48%,82,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),724.34,739.32,-14.98,-2.03%,83,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-31,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),1020.82,1041.20,-20.38,-1.96%,84,2024-05-31 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,散货运价综合指数,,,1034.80,994.20,40.60,4.08%,85,2024-05-24 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,煤炭货种运价指数,,,1042.74,988.91,53.83,5.44%,86,2024-05-24 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),990.50,925.63,64.87,7.01%,87,2024-05-24 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),754.34,718.58,35.76,4.98%,88,2024-05-24 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),1033.98,1011.63,22.35,2.21%,89,2024-05-24 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),1043.00,980.58,62.42,6.37%,90,2024-05-24 00:00:00,1,0,2024-07-20 09:07:48,0,2024-07-20 09:07:48,,,
2024-05-24,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),1060.49,1028.60,31.89,3.1%,91,2024-05-24 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-24,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),1048.41,993.04,55.37,5.58%,92,2024-05-24 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-24,煤炭运价分航线指数,天津-上海,(2-3万DWT),1050.02,1010.62,39.40,3.9%,93,2024-05-24 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-24,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1234.86,1215.50,19.36,1.59%,94,2024-05-24 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-24,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),739.32,691.32,48.00,6.94%,95,2024-05-24 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-24,煤炭运价分航线指数,曹妃甸-宁波,(4-5万DWT),1041.20,980.56,60.64,6.18%,96,2024-05-24 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,散货运价综合指数,,,994.20,991.48,2.72,0.27%,97,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭货种运价指数,,,988.91,984.01,4.90,0.5%,98,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,秦皇岛-广州,(5-6万DWT),925.63,912.32,13.31,1.46%,99,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,秦皇岛-福州,(3-4万DWT),718.58,710.35,8.23,1.16%,100,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,秦皇岛-宁波,(1.5-2万DWT),1011.63,1009.61,2.02,0.2%,101,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,秦皇岛-上海,(4-5万DWT),980.58,976.92,3.66,0.37%,102,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,秦皇岛-张家港,(2-3万DWT),1028.60,1029.05,-0.45,-0.04%,103,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,秦皇岛-南京,(3-4万DWT),993.04,992.20,0.84,0.08%,104,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,天津-上海,(2-3万DWT),1010.62,1009.01,1.61,0.16%,105,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,天津-镇江,(1-1.5万DWT),1215.50,1211.60,3.90,0.32%,106,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
2024-05-17,煤炭运价分航线指数,黄骅-上海,(3-4万DWT),691.32,688.24,3.08,0.45%,107,2024-05-17 00:00:00,1,0,2024-07-20 09:07:51,0,2024-07-20 09:07:51,,,
