时间,项目名称,当月值(亿千瓦时),同比增长(%),累计值(亿千瓦时),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04,浙江省,508.70,8.80,1955.50,11.30,54,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,江苏省,620.20,7.10,2584.40,10.50,55,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,上海市,132.20,4.30,598.20,8.10,56,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,黑龙江省,94.70,-0.50,420.20,3.00,57,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,吉林省,71.20,-1.30,335.20,6.60,58,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,辽宁省,205.40,0.30,923.70,4.50,59,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,内蒙古区,406.70,8.20,1710.90,12.90,60,2024-04-30 00:00:00,1,0,2024-07-20 15:48:01,0,2024-07-20 15:48:01,,,
2024-04,山西省,222.50,-0.50,982.80,2.50,61,2024-04-30 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-04,河北省,372.10,6.90,1626.10,8.70,62,2024-04-30 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-04,天津市,77.30,4.40,348.80,6.60,63,2024-04-30 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-04,北京市,87.50,3.20,456.20,5.50,64,2024-04-30 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,全国,7942.00,7.40,23373.00,9.80,65,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,新疆区,358.40,17.20,1081.80,17.70,66,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,宁夏区,115.20,-3.80,349.80,2.00,67,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,青海省,94.80,9.10,276.00,9.90,68,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,甘肃省,148.00,5.60,438.50,8.30,69,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,陕西省,207.50,3.90,650.40,7.40,70,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,西藏区,12.90,7.50,38.40,16.80,71,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,云南省,216.90,16.10,628.90,6.80,72,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,贵州省,159.40,8.00,491.90,11.00,73,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,四川省,305.80,14.10,901.80,7.90,74,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,重庆市,116.40,5.40,351.80,6.00,75,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,海南省,39.70,6.70,113.60,14.60,76,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,广西区,204.00,3.80,598.00,9.20,77,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,广东省,719.50,9.80,1831.00,12.70,78,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,湖南省,189.20,5.40,587.50,8.90,79,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,湖北省,220.60,3.90,673.70,9.40,80,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,河南省,331.50,6.10,1052.00,8.30,81,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,山东省,675.40,3.50,2004.40,5.70,82,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,江西省,170.40,6.50,496.10,8.90,83,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,福建省,260.60,7.20,708.10,11.70,84,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,安徽省,274.50,10.20,843.20,15.20,85,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,浙江省,540.40,6.70,1446.80,12.20,86,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,江苏省,674.90,8.00,1964.20,11.60,87,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,上海市,151.40,7.50,466.00,9.20,88,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,黑龙江省,105.10,3.30,325.50,4.10,89,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,吉林省,85.30,7.80,263.90,8.90,90,2024-03-31 00:00:00,1,0,2024-07-20 15:48:05,0,2024-07-20 15:48:05,,,
2024-03,辽宁省,236.50,2.70,718.20,5.80,91,2024-03-31 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-03,内蒙古区,438.30,11.90,1304.30,14.40,92,2024-03-31 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-03,山西省,244.60,-1.30,760.30,3.40,93,2024-03-31 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-03,河北省,408.40,6.80,1254.00,9.30,94,2024-03-31 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-03,天津市,88.10,4.80,271.50,7.20,95,2024-03-31 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-03,北京市,107.40,4.80,368.70,6.00,96,2024-03-31 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,全国,,,15316.00,11.00,97,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,新疆区,,,680.10,17.50,98,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,宁夏区,,,234.60,5.20,99,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,青海省,,,181.20,10.40,100,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,甘肃省,,,290.60,9.70,101,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,陕西省,,,442.90,9.10,102,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,西藏区,,,25.40,22.20,103,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,云南省,,,412.00,2.50,104,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,贵州省,,,332.50,12.50,105,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,四川省,,,596.00,4.90,106,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,重庆市,,,235.40,6.30,107,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,海南省,,,73.90,19.30,108,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,广西区,,,394.00,12.20,109,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,广东省,,,1111.60,14.70,110,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,湖南省,,,398.30,10.60,111,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,湖北省,,,453.10,12.40,112,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,河南省,,,720.50,9.40,113,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,山东省,,,1329.00,6.90,114,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,江西省,,,325.60,10.30,115,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,福建省,,,447.50,14.50,116,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,安徽省,,,568.70,17.80,117,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,浙江省,,,906.40,15.70,118,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,江苏省,,,1289.30,13.50,119,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,上海市,,,314.60,10.00,120,2024-02-29 00:00:00,1,0,2024-07-20 15:48:09,0,2024-07-20 15:48:09,,,
2024-02,黑龙江省,,,220.40,4.40,121,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
2024-02,吉林省,,,178.60,9.40,122,2024-02-29 00:00:00,1,0,2024-07-20 15:48:13,0,2024-07-20 15:48:13,,,
