时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-10,SHEA,32001.00,2339273.01,73.10,68,2024-04-10 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-09,SHEA,32000.00,2342400.00,73.20,69,2024-04-09 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-08,SHEA,32714.00,2391352.00,73.10,70,2024-04-08 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-03,SHEA,114.00,8322.00,73.00,71,2024-04-03 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-02,SHEA,2061.00,150453.00,73.00,72,2024-04-02 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-04-01,SHEA,32000.00,2329600.00,72.80,73,2024-04-01 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-29,SHEA,250.00,18250.00,73.00,74,2024-03-29 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-28,SHEA,32161.00,2331680.68,72.50,75,2024-03-28 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-27,SHEA,32019.00,2330978.21,72.80,76,2024-03-27 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-26,SHEA,7000.00,507400.01,72.49,77,2024-03-26 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-25,SHEA,32001.00,2316872.50,72.40,78,2024-03-25 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-22,SHEA,32000.00,2320000.00,72.50,79,2024-03-22 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
2024-03-21,SHEA,3000.00,218086.20,72.70,80,2024-03-21 00:00:00,1,0,2024-07-21 05:10:39,0,2024-07-21 05:10:39,,,
