时间,铁水日均产量,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-11-23,233.39,0.00,79,2023-11-23 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-11-16,233.41,0.60,80,2023-11-16 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-11-09,232.81,-3.30,81,2023-11-09 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-11-02,236.14,-0.50,82,2023-11-02 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-10-26,236.60,-0.10,83,2023-10-26 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-10-19,236.71,-1.30,84,2023-10-19 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-10-12,238.05,-0.90,85,2023-10-12 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-10-05,238.98,-1.80,86,2023-10-05 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-09-28,240.81,0.30,87,2023-09-28 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-09-21,240.48,-0.40,88,2023-09-21 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-09-14,240.91,-0.70,89,2023-09-14 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-09-07,241.57,0.90,90,2023-09-07 00:00:00,1,0,2025-06-06 23:21:52,0,2025-06-06 23:21:52,,,
2023-08-31,240.63,1.20,91,2023-08-31 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-08-24,239.48,-4.50,92,2023-08-24 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-08-17,243.99,1.70,93,2023-08-17 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-08-10,242.29,0.50,94,2023-08-10 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-08-03,241.80,0.10,95,2023-08-03 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-07-27,241.74,-2.70,96,2023-07-27 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-07-20,244.41,-1.10,97,2023-07-20 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-07-13,245.49,-1.80,98,2023-07-13 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-07-06,247.25,-1.70,99,2023-07-06 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-06-29,248.97,0.90,100,2023-06-29 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-06-22,248.06,3.60,101,2023-06-22 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-06-15,244.46,1.80,102,2023-06-15 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-06-08,242.67,0.80,103,2023-06-08 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-06-01,241.87,-1.00,104,2023-06-01 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-05-25,242.88,1.80,105,2023-05-25 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-05-18,241.13,-0.30,106,2023-05-18 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-05-11,241.45,-2.40,107,2023-05-11 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-05-04,243.83,-2.20,108,2023-05-04 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-04-27,246.05,-2.90,109,2023-04-27 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-04-20,248.96,-0.60,110,2023-04-20 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-04-13,249.54,1.70,111,2023-04-13 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-04-06,247.83,4.20,112,2023-04-06 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-03-30,243.64,3.00,113,2023-03-30 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-03-23,240.60,2.40,114,2023-03-23 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-03-16,238.25,0.80,115,2023-03-16 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-03-09,237.46,1.70,116,2023-03-09 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-03-02,235.78,0.40,117,2023-03-02 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-02-23,235.34,2.40,118,2023-02-23 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-02-16,232.94,2.00,119,2023-02-16 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-02-09,230.92,1.10,120,2023-02-09 00:00:00,1,0,2025-06-06 23:21:55,0,2025-06-06 23:21:55,,,
2023-02-02,229.83,0.40,121,2023-02-02 00:00:00,1,0,2025-06-06 23:21:59,0,2025-06-06 23:21:59,,,
2023-01-26,229.45,2.10,122,2023-01-26 00:00:00,1,0,2025-06-06 23:21:59,0,2025-06-06 23:21:59,,,
2023-01-19,227.34,1.30,123,2023-01-19 00:00:00,1,0,2025-06-06 23:21:59,0,2025-06-06 23:21:59,,,
2023-01-12,226.01,1.70,124,2023-01-12 00:00:00,1,0,2025-06-06 23:21:59,0,2025-06-06 23:21:59,,,
2023-01-05,224.36,,125,2023-01-05 00:00:00,1,0,2025-06-06 23:21:59,0,2025-06-06 23:21:59,,,
2025-06-12,241.57,-0.20,126,2025-06-12 00:00:00,1,0,2025-06-13 23:19:39,0,2025-06-13 23:19:39,,,
2025-06-05,241.72,-0.40,127,2025-06-05 00:00:00,1,0,2025-06-13 23:19:39,0,2025-06-13 23:19:39,,,
2025-05-29,242.10,-1.10,128,2025-05-29 00:00:00,1,0,2025-06-13 23:19:39,0,2025-06-13 23:19:39,,,
2025-06-19,241.17,-0.40,129,2025-06-19 00:00:00,1,0,2025-06-20 23:22:27,0,2025-06-20 23:22:27,,,
2025-06-26,241.88,0.70,130,2025-06-26 00:00:00,1,0,2025-06-30 23:19:27,0,2025-06-30 23:19:27,,,
2025-07-03,240.95,-0.90,131,2025-07-03 00:00:00,1,0,2025-07-04 23:19:06,0,2025-07-04 23:19:06,,,
2025-07-10,240.52,-0.40,132,2025-07-10 00:00:00,1,0,2025-07-18 23:19:04,0,2025-07-18 23:19:04,,,
2025-07-17,241.85,1.30,133,2025-07-17 00:00:00,1,0,2025-07-21 23:20:25,0,2025-07-21 23:20:25,,,
2025-07-24,241.86,0.00,134,2025-07-24 00:00:00,1,0,2025-07-28 23:18:56,0,2025-07-28 23:18:56,,,
2025-07-31,241.38,-0.50,135,2025-07-31 00:00:00,1,0,2025-08-08 23:19:13,0,2025-08-08 23:19:13,,,
2025-08-07,241.01,-0.40,136,2025-08-07 00:00:00,1,0,2025-08-15 23:20:32,0,2025-08-15 23:20:32,,,
2025-08-14,240.92,-0.10,137,2025-08-14 00:00:00,1,0,2025-08-18 23:18:25,0,2025-08-18 23:18:25,,,
2025-08-21,240.94,0.00,138,2025-08-21 00:00:00,1,0,2025-08-25 23:20:24,0,2025-08-25 23:20:24,,,
2025-08-28,240.63,-0.30,139,2025-08-28 00:00:00,1,0,2025-09-01 23:19:32,0,2025-09-01 23:19:32,,,
2025-09-04,230.46,-10.20,140,2025-09-04 00:00:00,1,0,2025-09-08 23:20:08,0,2025-09-08 23:20:08,,,
