时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),77,2018-03-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-02-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),78,2018-02-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2018-01-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),79,2018-01-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-12-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),80,2017-12-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),81,2017-11-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1310,车板价(不含税),82,2017-10-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1300 - 1350,车板价(不含税),83,2017-09-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1195 - 1205,车板价(不含税),84,2017-08-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1108 - 1125,车板价(不含税),85,2017-06-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1195 - 1205,车板价(不含税),86,2017-05-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1195 - 1205,车板价(不含税),87,2017-04-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1195 - 1205,车板价(不含税),88,2017-03-01 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-02-05,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1175 - 1185,车板价(不含税),89,2017-02-05 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2017-01-10,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1195 - 1205,车板价(不含税),90,2017-01-10 00:00:00,1,0,2024-07-17 09:14:36,0,2024-07-17 09:14:36,,,
2024-09-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1990,车板价(不含税),99,2024-09-01 00:00:00,1,0,2024-11-07 00:15:03,0,2024-11-07 00:15:03,,,
2024-08-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,2190,车板价(不含税),100,2024-08-01 00:00:00,1,0,2024-11-07 00:15:03,0,2024-11-07 00:15:03,,,
2024-11-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1990,车板价(不含税),101,2024-11-01 00:00:00,1,0,2024-11-12 23:11:34,0,2024-11-12 23:11:34,,,
2024-10-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1990,车板价(不含税),102,2024-10-01 00:00:00,1,0,2024-11-12 23:11:34,0,2024-11-12 23:11:34,,,
2024-12-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1990,车板价(不含税),103,2024-12-01 00:00:00,1,0,2024-12-16 23:11:35,0,2024-12-16 23:11:35,,,
2025-04-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1499,车板价(不含税),104,2025-04-01 00:00:00,1,0,2025-05-07 23:11:35,0,2025-05-07 23:11:35,,,
2025-03-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1579,车板价(不含税),105,2025-03-01 00:00:00,1,0,2025-05-07 23:11:35,0,2025-05-07 23:11:35,,,
2025-02-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1829,车板价(不含税),106,2025-02-01 00:00:00,1,0,2025-05-07 23:11:35,0,2025-05-07 23:11:35,,,
2025-01-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1990,车板价(不含税),107,2025-01-01 00:00:00,1,0,2025-05-07 23:11:35,0,2025-05-07 23:11:35,,,
2025-06-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1499,车板价(不含税),108,2025-06-01 00:00:00,1,0,2025-06-09 23:11:32,0,2025-06-09 23:11:32,,,
2025-05-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1499,车板价(不含税),109,2025-05-01 00:00:00,1,0,2025-06-09 23:11:32,0,2025-06-09 23:11:32,,,
2025-07-01,淮北矿业,主焦煤,11.00,20 - 22,0.50,75.00, - ,1499,车板价(不含税),110,2025-07-01 00:00:00,1,0,2025-07-07 23:11:11,0,2025-07-07 23:11:11,,,
