时间,项目名称,期末值(亿元),同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-06,流通中现金(M0)供应量,96011.17,13.80,75,2022-06-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-05,货币和准货币(M2)供应量,2527000.00,11.10,76,2022-05-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-05,流通中现金(M0)供应量,95500.00,13.50,77,2022-05-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-05,货币(M1)供应量,645100.00,4.60,78,2022-05-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-04,货币(M1)供应量,636100.00,5.10,79,2022-04-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-04,流通中现金(M0)供应量,95600.00,11.40,80,2022-04-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-04,货币和准货币(M2)供应量,2499700.00,10.50,81,2022-04-30 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-03,货币和准货币(M2)供应量,2497688.34,9.70,82,2022-03-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-03,货币(M1)供应量,645063.80,4.70,83,2022-03-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-03,流通中现金(M0)供应量,95141.92,9.90,84,2022-03-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-02,货币和准货币(M2)供应量,2441500.00,9.20,85,2022-02-28 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-02,流通中现金(M0)供应量,97200.00,5.80,86,2022-02-28 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-02,货币(M1)供应量,621600.00,4.70,87,2022-02-28 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-01,货币(M1)供应量,613900.00,-1.90,88,2022-01-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-01,货币和准货币(M2)供应量,2431000.00,9.80,89,2022-01-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2022-01,流通中现金(M0)供应量,106200.00,18.50,90,2022-01-31 00:00:00,1,0,2024-07-21 05:01:31,0,2024-07-21 05:01:31,,,
2021-12,货币(M1)供应量,647400.00,3.50,91,2021-12-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-12,流通中现金(M0)供应量,90800.00,7.70,92,2021-12-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-12,货币和准货币(M2)供应量,2382900.00,9.00,93,2021-12-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-11,货币(M1)供应量,637500.00,3.00,94,2021-11-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-11,流通中现金(M0)供应量,87400.00,7.20,95,2021-11-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-11,货币和准货币(M2)供应量,2356000.00,8.50,96,2021-11-30 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
2021-10,流通中现金(M0)供应量,86100.00,6.20,97,2021-10-31 00:00:00,1,0,2024-07-21 05:01:35,0,2024-07-21 05:01:35,,,
