时间,国别(地区),当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12,德国,60.00,60.00,19.70,19.70,91,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,俄罗斯,24.10,24.10,1.80,1.80,92,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,菲律宾,4.40,206.80,1.40,72.30,93,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,韩国,2988.60,362916.40,705.30,86964.20,94,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,荷兰,20275.10,25075.10,4963.90,6307.90,95,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,捷克,4.00,4.00,2.20,2.20,96,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,科威特,1.40,6.60,0.70,1.80,97,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,肯尼亚,40.00,80.00,16.00,32.00,98,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,马来西亚,2033.40,145231.00,657.40,34324.00,99,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,蒙古,64.70,133.60,5.90,16.90,100,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,孟加拉国,200.00,903.40,46.10,188.00,101,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,缅甸,2753.00,10013.70,283.50,1168.40,102,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,日本,268448.20,1600219.30,60891.10,426293.80,103,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,沙特阿拉伯,300.00,1218.50,98.90,642.90,104,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,台湾省,40.00,20228.00,13.60,5234.50,105,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,泰国,27.00,138185.20,7.90,17290.80,106,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,以色列,400.00,2505.00,124.80,885.00,107,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,印尼,137805.00,1839138.90,31057.10,490476.10,108,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,越南,111.30,486.50,42.40,165.20,109,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,乍得,7.00,19.60,32.60,61.60,110,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-12,智利,20.10,272.10,5.40,112.20,111,2023-12-31 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,阿尔及利亚,160.00,300.00,72.60,149.80,112,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,埃及,48.00,48.00,9.60,9.60,113,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,保加利亚,196.00,220.00,40.20,49.80,114,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,菲律宾,25.00,202.40,5.80,70.90,115,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,刚果(布),40.00,65.00,25.10,40.40,116,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,韩国,138270.40,359927.80,35558.00,86258.80,117,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,卡塔尔,140.00,301.90,79.80,171.00,118,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,马达加斯加,18.10,54.20,11.90,35.00,119,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,马来西亚,85.10,143197.70,51.00,33666.60,120,2023-11-30 00:00:00,1,0,2024-07-20 14:49:07,0,2024-07-20 14:49:07,,,
2023-11,蒙古,47.00,69.00,6.90,11.00,121,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,缅甸,1480.00,7260.70,169.90,885.00,122,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,日本,95434.70,1331771.10,16607.70,365402.70,123,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,沙特阿拉伯,78.00,918.50,27.70,544.00,124,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,台湾省,40.00,20188.00,13.70,5220.90,125,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,泰国,137688.10,138158.20,17098.20,17282.80,126,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
2023-11,西班牙,24.00,96.00,8.90,31.50,127,2023-11-30 00:00:00,1,0,2024-07-20 14:49:11,0,2024-07-20 14:49:11,,,
