时间,项目名称,累计值(亿元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-02,核电,60.00,101,2022-02-28 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-02,火电,70.00,102,2022-02-28 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-02,合计,471.00,103,2022-02-28 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2022-02,水电,123.00,104,2022-02-28 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-12,合计,5530.00,105,2021-12-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-12,核电,538.00,106,2021-12-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-12,水电,988.00,107,2021-12-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-12,火电,672.00,108,2021-12-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-11,核电,431.00,109,2021-11-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-11,合计,4306.00,110,2021-11-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-11,火电,532.00,111,2021-11-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-11,水电,848.00,112,2021-11-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-10,火电,448.00,113,2021-10-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-10,核电,395.00,114,2021-10-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-10,合计,3628.00,115,2021-10-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-10,水电,772.00,116,2021-10-31 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-09,火电,371.00,117,2021-09-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-09,合计,3138.00,118,2021-09-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-09,水电,701.00,119,2021-09-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-09,核电,356.00,120,2021-09-30 00:00:00,1,0,2024-07-20 16:08:53,0,2024-07-20 16:08:53,,,
2021-08,水电,623.00,121,2021-08-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-08,合计,2704.00,122,2021-08-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-08,核电,305.00,123,2021-08-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-08,火电,300.00,124,2021-08-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-07,水电,537.00,125,2021-07-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-07,合计,2227.00,126,2021-07-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-07,火电,238.00,127,2021-07-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-07,核电,268.00,128,2021-07-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-06,火电,202.00,129,2021-06-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-06,水电,475.00,130,2021-06-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-06,合计,1893.00,131,2021-06-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-06,核电,226.00,132,2021-06-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-05,合计,1392.00,133,2021-05-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-05,核电,171.00,134,2021-05-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-05,火电,149.00,135,2021-05-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-05,水电,341.00,136,2021-05-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-04,核电,133.00,137,2021-04-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-04,合计,1116.00,138,2021-04-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-04,水电,304.00,139,2021-04-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-04,火电,115.00,140,2021-04-30 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-03,合计,795.00,141,2021-03-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-03,核电,77.00,142,2021-03-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-03,水电,245.00,143,2021-03-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-03,火电,80.00,144,2021-03-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-02,合计,480.00,145,2021-02-28 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-02,火电,53.00,146,2021-02-28 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-02,水电,153.00,147,2021-02-28 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2021-02,核电,66.00,148,2021-02-28 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2020-12,合计,5244.00,149,2020-12-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2020-12,水电,1077.00,150,2020-12-31 00:00:00,1,0,2024-07-20 16:08:57,0,2024-07-20 16:08:57,,,
2020-12,火电,553.00,151,2020-12-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-12,水电,1077.00,152,2020-12-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-11,核电,285.00,153,2020-11-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-11,火电,448.00,154,2020-11-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-11,合计,4157.00,155,2020-11-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-11,水电,894.00,156,2020-11-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-10,水电,712.00,157,2020-10-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-10,核电,259.00,158,2020-10-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-10,合计,3471.00,159,2020-10-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-10,火电,377.00,160,2020-10-31 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-09,水电,666.00,161,2020-09-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-09,合计,3082.00,162,2020-09-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
2020-09,核电,235.00,163,2020-09-30 00:00:00,1,0,2024-07-20 16:08:59,0,2024-07-20 16:08:59,,,
