时间,项目名称,当期值,累计值,累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-06,出口数量(万吨),52.00,208.00,65.70,49,2022-06-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-06,出口金额(千美元),187439.00,673536.00,241.60,50,2022-06-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-05,出口数量(万吨),43.00,156.00,41.50,51,2022-05-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-05,出口金额(千美元),139881.00,486097.00,181.90,52,2022-05-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-04,出口数量(万吨),47.00,113.00,13.00,53,2022-04-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-04,出口金额(千美元),145449.00,346217.00,123.50,54,2022-04-30 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-03,出口数量(万吨),7.00,67.00,-13.20,55,2022-03-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-03,出口金额(千美元),23421.00,200768.00,82.90,56,2022-03-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-02,出口数量(万吨),29.00,60.00,-1.00,57,2022-02-28 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-02,出口金额(千美元),89183.00,177347.00,121.00,58,2022-02-28 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-01,出口数量(万吨),32.00,32.00,-9.00,59,2022-01-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2022-01,出口金额(千美元),88164.00,88164.00,84.00,60,2022-01-31 00:00:00,1,0,2024-07-20 14:44:58,0,2024-07-20 14:44:58,,,
2021-12,出口数量(万吨),21.00,260.00,-18.40,61,2021-12-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-12,出口金额(千美元),84537.00,504211.00,15.70,62,2021-12-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-11,出口数量(万吨),26.00,239.00,-22.90,63,2021-11-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-11,出口金额(千美元),68283.00,419541.00,-0.60,64,2021-11-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-10,出口数量(万吨),16.00,213.00,-27.50,65,2021-10-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-10,出口金额(千美元),34154.00,351400.00,-11.70,66,2021-10-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-09,出口数量(万吨),16.00,196.00,-28.40,67,2021-09-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-09,出口金额(千美元),27351.00,317391.00,-15.10,68,2021-09-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-08,出口数量(万吨),47.00,181.00,-24.90,69,2021-08-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-08,出口金额(千美元),71832.00,290040.00,-12.10,70,2021-08-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-07,出口数量(万吨),8.00,134.00,-40.10,71,2021-07-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-07,出口金额(千美元),20942.00,218208.00,-29.00,72,2021-07-31 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-06,出口数量(万吨),15.00,125.00,-27.70,73,2021-06-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
2021-06,出口金额(千美元),24703.00,197266.00,-22.60,74,2021-06-30 00:00:00,1,0,2024-07-20 14:45:01,0,2024-07-20 14:45:01,,,
