时间,港口名称,规格品,本期价格(元/吨),上期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-03,国投京唐港,5500K,710 - 720,710 - 720,0.00,0.00,69,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,国投京唐港,5000K,645 - 655,645 - 655,0.00,0.00,70,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,国投京唐港,4500K,575 - 585,580 - 590,-5.00,-0.86,71,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,京唐港,5800K,750 - 760,750 - 760,0.00,0.00,72,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,京唐港,5500K,710 - 720,710 - 720,0.00,0.00,73,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,京唐港,5000K,645 - 655,645 - 655,0.00,0.00,74,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-07-03,京唐港,4500K,575 - 585,580 - 590,-5.00,-0.86,75,2024-07-03 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,环渤海,5500K,717,718,-1.00,-0.14,76,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,秦皇岛港,5800K,750 - 760,750 - 760,0.00,0.00,77,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,秦皇岛港,5500K,710 - 720,715 - 725,-5.00,-0.70,78,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,秦皇岛港,5000K,645 - 655,645 - 655,0.00,0.00,79,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,秦皇岛港,4500K,580 - 590,580 - 590,0.00,0.00,80,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,黄骅港,5800K,750 - 760,750 - 760,0.00,0.00,81,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,黄骅港,5500K,710 - 720,715 - 725,-5.00,-0.70,82,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,黄骅港,5000K,645 - 655,645 - 655,0.00,0.00,83,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,黄骅港,4500K,580 - 590,580 - 590,0.00,0.00,84,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,天津港,5800K,750 - 760,750 - 760,0.00,0.00,85,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,天津港,5500K,710 - 720,715 - 725,-5.00,-0.70,86,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,天津港,5000K,645 - 655,645 - 655,0.00,0.00,87,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,天津港,4500K,575 - 585,580 - 590,-5.00,-0.86,88,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,曹妃甸港,5800K,750 - 760,750 - 760,0.00,0.00,89,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,曹妃甸港,5500K,710 - 720,715 - 725,-5.00,-0.70,90,2024-06-26 00:00:00,1,0,2024-07-20 05:48:52,0,2024-07-20 05:48:52,,,
2024-06-26,曹妃甸港,5000K,645 - 655,645 - 655,0.00,0.00,91,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,曹妃甸港,4500K,575 - 585,580 - 590,-5.00,-0.86,92,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,国投京唐港,5800K,750 - 760,750 - 760,0.00,0.00,93,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,国投京唐港,5500K,710 - 720,715 - 725,-5.00,-0.70,94,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,国投京唐港,5000K,645 - 655,645 - 655,0.00,0.00,95,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,国投京唐港,4500K,580 - 590,580 - 590,0.00,0.00,96,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,京唐港,5800K,750 - 760,750 - 760,0.00,0.00,97,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,京唐港,5500K,710 - 720,715 - 725,-5.00,-0.70,98,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
2024-06-26,京唐港,5000K,645 - 655,645 - 655,0.00,0.00,99,2024-06-26 00:00:00,1,0,2024-07-20 05:48:55,0,2024-07-20 05:48:55,,,
