时间,同比增长(%),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2017-12,6.20,6.60,72,2017-12-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-11,6.10,6.60,73,2017-11-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-10,6.20,6.70,74,2017-10-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-09,6.60,6.70,75,2017-09-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-08,6.00,6.70,76,2017-08-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-07,6.40,6.80,77,2017-07-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-06,7.60,6.90,78,2017-06-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-05,6.50,6.70,79,2017-05-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-04,6.50,6.70,80,2017-04-30 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-03,7.60,6.80,81,2017-03-31 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2017-02,,6.30,82,2017-02-28 00:00:00,1,0,2024-07-21 05:00:10,0,2024-07-21 05:00:10,,,
2024-09,5.40,5.80,287,2024-09-30 00:00:00,1,0,2024-11-07 02:28:04,0,2024-11-07 02:28:04,,,
2024-08,4.50,5.80,288,2024-08-31 00:00:00,1,0,2024-11-07 02:28:04,0,2024-11-07 02:28:04,,,
2024-07,5.10,5.90,289,2024-07-31 00:00:00,1,0,2024-11-07 02:28:04,0,2024-11-07 02:28:04,,,
2024-10,5.30,5.80,290,2024-10-31 00:00:00,1,0,2024-11-18 23:19:41,0,2024-11-18 23:19:41,,,
2024-11,5.40,5.80,291,2024-11-30 00:00:00,1,0,2024-12-16 23:20:46,0,2024-12-16 23:20:46,,,
2024-12,6.20,5.80,292,2024-12-31 00:00:00,1,0,2025-01-20 23:19:19,0,2025-01-20 23:19:19,,,
2025-02,0.00,5.90,293,2025-02-28 00:00:00,1,0,2025-03-17 23:19:12,0,2025-03-17 23:19:12,,,
2025-03,4.50,6.10,294,2025-03-31 00:00:00,1,0,2025-04-18 23:22:26,0,2025-04-18 23:22:26,,,
2025-04,6.10,6.40,295,2025-04-30 00:00:00,1,0,2025-05-19 23:23:26,0,2025-05-19 23:23:26,,,
2025-05,5.80,6.30,296,2025-05-31 00:00:00,1,0,2025-06-16 23:20:47,0,2025-06-16 23:20:47,,,
2025-06,6.80,6.40,297,2025-06-30 00:00:00,1,0,2025-07-16 23:19:50,0,2025-07-16 23:19:50,,,
2025-07,5.70,6.30,298,2025-07-31 00:00:00,1,0,2025-08-15 23:21:23,0,2025-08-15 23:21:23,,,
2025-08,5.20,6.20,299,2025-08-31 00:00:00,1,0,2025-09-16 23:18:05,0,2025-09-16 23:18:05,,,
