时间,同比增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-06,10.30,53,2019-06-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-05,3.00,54,2019-05-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-04,0.10,55,2019-04-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2019-03,3.60,56,2019-03-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2018-12,0.40,57,2018-12-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2018-11,1.90,58,2018-11-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2018-10,4.40,59,2018-10-31 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2018-09,0.90,60,2018-09-30 00:00:00,1,0,2024-07-20 14:13:22,0,2024-07-20 14:13:22,,,
2018-08,1.00,61,2018-08-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2018-07,-0.80,62,2018-07-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2018-06,2.80,63,2018-06-30 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2018-05,3.20,64,2018-05-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2018-04,2.10,65,2018-04-30 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2018-03,1.20,66,2018-03-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-12,-0.30,67,2017-12-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-11,-3.30,68,2017-11-30 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-10,-3.30,69,2017-10-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-09,-3.90,70,2017-09-30 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-08,-3.90,71,2017-08-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-07,0.90,72,2017-07-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-06,-0.70,73,2017-06-30 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-05,1.60,74,2017-05-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-04,1.30,75,2017-04-30 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2017-03,-0.20,76,2017-03-31 00:00:00,1,0,2024-07-20 14:13:26,0,2024-07-20 14:13:26,,,
2024-09,3.20,194,2024-09-30 00:00:00,1,0,2024-11-07 01:47:12,0,2024-11-07 01:47:12,,,
2024-08,3.30,195,2024-08-31 00:00:00,1,0,2024-11-07 01:47:12,0,2024-11-07 01:47:12,,,
2024-07,4.70,196,2024-07-31 00:00:00,1,0,2024-11-07 01:47:12,0,2024-11-07 01:47:12,,,
2024-10,4.50,197,2024-10-31 00:00:00,1,0,2024-11-20 23:16:43,0,2024-11-20 23:16:43,,,
2024-11,3.70,198,2024-11-30 00:00:00,1,0,2024-12-20 23:17:23,0,2024-12-20 23:17:23,,,
2024-12,2.70,199,2024-12-31 00:00:00,1,0,2025-01-21 23:16:14,0,2025-01-21 23:16:14,,,
2025-02,,200,2025-02-28 00:00:00,1,0,2025-03-20 23:16:25,0,2025-03-20 23:16:25,,,
2025-03,10.60,201,2025-03-31 00:00:00,1,0,2025-04-20 23:02:12,0,2025-04-20 23:02:12,,,
2025-04,6.30,202,2025-04-30 00:00:00,1,0,2025-05-20 23:16:32,0,2025-05-20 23:16:32,,,
2025-05,5.50,203,2025-05-31 00:00:00,1,0,2025-06-20 23:17:26,0,2025-06-20 23:17:26,,,
2025-06,6.50,204,2025-06-30 00:00:00,1,0,2025-07-18 23:16:59,0,2025-07-18 23:16:59,,,
2025-07,4.20,205,2025-07-31 00:00:00,1,0,2025-08-19 23:16:22,0,2025-08-19 23:16:22,,,
