时间,数据类目,本期(美元/吨),上期(美元/吨),环比增减(美元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-12,HBA,159.79,215.01,-55.22,-25.68%,63,2021-12-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-11,HBA,215.01,161.63,53.38,33.03%,64,2021-11-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-10,HBA,161.63,150.03,11.60,7.73%,65,2021-10-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-09,HBA,150.03,130.99,19.04,14.54%,66,2021-09-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-08,HBA,130.99,115.35,15.64,13.56%,67,2021-08-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-07,HBA,115.35,100.33,15.02,14.97%,68,2021-07-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-06,HBA,100.33,89.74,10.59,11.8%,69,2021-06-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-05,HBA,89.74,86.68,3.06,3.53%,70,2021-05-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-04,HBA,86.68,84.49,2.19,2.59%,71,2021-04-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-03,HBA,84.49,87.79,-3.30,-3.76%,72,2021-03-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-02,HBA,87.79,75.84,11.95,15.76%,73,2021-02-28 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2021-01,HBA,75.84,59.65,16.19,27.14%,74,2021-01-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-12,HBA,59.65,55.71,3.94,7.07%,75,2020-12-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-11,HBA,55.71,51.00,4.71,9.24%,76,2020-11-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-10,HBA,51.00,49.42,1.58,3.2%,77,2020-10-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-09,HBA,49.42,50.34,-0.92,-1.83%,78,2020-09-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-08,HBA,50.34,52.16,-1.82,-3.49%,79,2020-08-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-07,HBA,52.16,52.98,-0.82,-1.55%,80,2020-07-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-06,HBA,52.98,61.11,-8.13,-13.3%,81,2020-06-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-05,HBA,61.11,65.77,-4.66,-7.09%,82,2020-05-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-04,HBA,65.77,67.08,-1.31,-1.95%,83,2020-04-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-03,HBA,67.08,66.89,0.19,0.28%,84,2020-03-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-02,HBA,66.89,65.93,0.96,1.46%,85,2020-02-29 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2020-01,HBA,65.93,66.30,-0.37,-0.56%,86,2020-01-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2019-12,HBA,66.30,66.27,0.03,0.05%,87,2019-12-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2019-11,HBA,66.27,64.80,1.47,2.27%,88,2019-11-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2019-10,HBA,64.80,65.79,-0.99,-1.5%,89,2019-10-31 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2019-09,HBA,65.79,72.67,-6.88,-9.47%,90,2019-09-30 00:00:00,1,0,2024-07-20 06:32:01,0,2024-07-20 06:32:01,,,
2019-08,HBA,72.67,71.92,0.75,1.04%,91,2019-08-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-07,HBA,71.92,81.48,-9.56,-11.73%,92,2019-07-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-06,HBA,81.48,81.86,-0.38,-0.46%,93,2019-06-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-05,HBA,81.86,88.85,-6.99,-7.87%,94,2019-05-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-04,HBA,88.85,90.57,-1.72,-1.9%,95,2019-04-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-03,HBA,90.57,91.80,-1.23,-1.34%,96,2019-03-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-02,HBA,91.80,92.41,-0.61,-0.66%,97,2019-02-28 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2019-01,HBA,92.41,92.51,-0.10,-0.11%,98,2019-01-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-12,HBA,92.51,97.90,-5.39,-5.51%,99,2018-12-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-11,HBA,97.90,100.89,-2.99,-2.96%,100,2018-11-30 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
2018-10,HBA,100.89,104.81,-3.92,-3.74%,101,2018-10-31 00:00:00,1,0,2024-07-20 06:32:03,0,2024-07-20 06:32:03,,,
