时间,项目名称,当期值(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2021-03,制造业采购经理指数(%),51.90,79,2021-03-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-03,非制造业采购经理指数(%),56.30,80,2021-03-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-02,制造业采购经理指数(%),50.60,81,2021-02-28 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-02,非制造业采购经理指数(%),51.40,82,2021-02-28 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-01,制造业采购经理指数(%),51.30,83,2021-01-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2021-01,非制造业采购经理指数(%),52.40,84,2021-01-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-12,非制造业采购经理指数(%),55.70,85,2020-12-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-12,制造业采购经理指数(%),51.90,86,2020-12-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-11,制造业采购经理指数(%),52.10,87,2020-11-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-11,非制造业采购经理指数(%),56.40,88,2020-11-30 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-10,非制造业采购经理指数(%),56.20,89,2020-10-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-10,制造业采购经理指数(%),51.40,90,2020-10-31 00:00:00,1,0,2024-07-21 04:55:24,0,2024-07-21 04:55:24,,,
2020-09,制造业采购经理指数(%),51.50,91,2020-09-30 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-09,非制造业采购经理指数(%),55.90,92,2020-09-30 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-08,制造业采购经理指数(%),51.00,93,2020-08-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-08,非制造业采购经理指数(%),55.20,94,2020-08-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-07,制造业采购经理指数(%),51.10,95,2020-07-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-07,非制造业采购经理指数(%),54.20,96,2020-07-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-06,非制造业采购经理指数(%),54.40,97,2020-06-30 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-06,制造业采购经理指数(%),50.90,98,2020-06-30 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-05,非制造业采购经理指数(%),53.60,99,2020-05-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-05,制造业采购经理指数(%),50.60,100,2020-05-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-04,制造业采购经理指数(%),50.80,101,2020-04-30 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-04,非制造业采购经理指数(%),53.20,102,2020-04-30 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-03,非制造业采购经理指数(%),52.30,103,2020-03-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-03,制造业采购经理指数(%),52.00,104,2020-03-31 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-02,非制造业采购经理指数(%),29.60,105,2020-02-29 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
2020-02,制造业采购经理指数(%),35.70,106,2020-02-29 00:00:00,1,0,2024-07-21 04:55:27,0,2024-07-21 04:55:27,,,
