时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-05,无烟煤,200425.20,1017737.50,55922.80,337525.10,75,2023-05-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-05,其他烟煤,125237.00,479226.90,34677.70,140000.30,76,2023-05-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-05,褐煤,1399.30,3125.50,141.80,1347.20,77,2023-05-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-05,型煤,1714.60,7480.90,1164.70,5162.90,78,2023-05-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-04,其他烟煤,163994.30,353989.90,43882.80,105322.60,79,2023-04-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-04,煤炭,353700.30,1234860.50,103460.50,413068.70,80,2023-04-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-04,型煤,1623.90,5766.40,1156.90,3998.30,81,2023-04-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-04,无烟煤,184469.80,817312.30,56521.70,281602.30,82,2023-04-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-04,炼焦煤,2560.70,56065.80,1192.50,20940.20,83,2023-04-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-04,褐煤,1051.60,1726.20,706.60,1205.30,84,2023-04-30 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-03,褐煤,176.50,674.50,247.90,498.70,85,2023-03-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-03,煤炭,266137.00,881160.20,91798.80,309608.20,86,2023-03-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-03,无烟煤,202340.20,632842.60,70058.30,225080.50,87,2023-03-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-03,炼焦煤,52454.50,53505.10,19279.20,19747.70,88,2023-03-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-03,型煤,165.80,4142.40,61.60,2841.30,89,2023-03-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-03,其他烟煤,11000.00,189995.60,2151.80,61439.80,90,2023-03-31 00:00:00,1,0,2024-07-20 14:46:47,0,2024-07-20 14:46:47,,,
2023-02,褐煤,191.00,498.00,89.70,250.80,91,2023-02-28 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-02,型煤,1637.40,3976.60,1180.20,2779.70,92,2023-02-28 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-02,煤炭,248505.10,615023.20,89928.20,217809.40,93,2023-02-28 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-02,其他烟煤,126948.00,178995.60,45319.20,59288.00,94,2023-02-28 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-02,无烟煤,119728.70,430502.30,43339.10,155022.30,95,2023-02-28 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-01,型煤,2339.30,2339.30,1599.50,1599.50,96,2023-01-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-01,其他烟煤,52047.60,52047.60,13968.80,13968.80,97,2023-01-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-01,煤炭,366518.10,366518.10,127881.20,127881.20,98,2023-01-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-01,无烟煤,310773.60,310773.60,111683.20,111683.20,99,2023-01-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-01,褐煤,307.00,307.00,161.10,161.10,100,2023-01-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2023-01,炼焦煤,1050.60,1050.60,468.60,468.60,101,2023-01-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-12,炼焦煤,1138.60,253098.80,2996.30,105126.10,102,2022-12-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-12,煤炭,97596.20,3774741.50,324902.60,1459073.60,103,2022-12-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-12,褐煤,115.30,4690.20,1011.70,1617.50,104,2022-12-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-12,其他烟煤,43809.80,1489863.60,156861.00,506059.40,105,2022-12-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-12,无烟煤,52532.50,1999870.30,164033.60,825435.80,106,2022-12-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-11,型煤,2831.40,27218.70,1828.00,20834.80,107,2022-11-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-11,煤炭,228551.40,3677145.30,73445.90,1134171.00,108,2022-11-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-11,褐煤,1355.90,4574.90,195.40,605.80,109,2022-11-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-11,其他烟煤,111562.00,1446053.80,32461.80,349198.40,110,2022-11-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-11,无烟煤,112802.10,1947337.80,38960.70,661402.20,111,2022-11-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-10,型煤,747.80,24387.30,353.20,19006.80,112,2022-10-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-10,煤炭,254613.60,3448593.90,76417.90,1060725.10,113,2022-10-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-10,褐煤,232.90,3219.00,26.90,410.40,114,2022-10-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-10,其他烟煤,63288.00,1334491.80,16301.10,316736.60,115,2022-10-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-10,无烟煤,190344.90,1834535.70,59736.70,622441.50,116,2022-10-31 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-09,煤炭,423010.30,3193980.30,111343.80,984307.20,117,2022-09-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-09,无烟煤,209718.10,1644190.80,66133.00,562704.70,118,2022-09-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-09,型煤,2236.70,23639.40,1772.00,18653.60,119,2022-09-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-09,褐煤,988.50,2986.10,117.60,383.50,120,2022-09-30 00:00:00,1,0,2024-07-20 14:46:50,0,2024-07-20 14:46:50,,,
2022-09,其他烟煤,210067.00,1271203.80,43321.20,300435.50,121,2022-09-30 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
2022-08,炼焦煤,1570.10,251960.20,659.40,102129.80,122,2022-08-31 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
2022-08,煤炭,462965.20,2770970.00,137750.70,872963.40,123,2022-08-31 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
2022-08,型煤,3475.40,21402.70,2858.60,16881.60,124,2022-08-31 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
2022-08,褐煤,465.50,1997.60,54.60,265.90,125,2022-08-31 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
2022-08,其他烟煤,278367.50,1061136.80,74382.80,257114.40,126,2022-08-31 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
2022-08,无烟煤,179086.70,1434472.70,59795.30,496571.80,127,2022-08-31 00:00:00,1,0,2024-07-20 14:46:54,0,2024-07-20 14:46:54,,,
