时间,地区,当月值(万重量箱),同比增长(%),累计值(万重量箱),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05,天津市,236.51,,1158.96,,58,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,北京市,5.39,,24.06,,59,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-05,全国,8430.40,6.10,41425.70,6.90,60,2024-05-31 00:00:00,1,0,2024-07-21 04:09:02,0,2024-07-21 04:09:02,,,
2024-04,全国,8143.00,3.70,32891.00,6.50,61,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,新疆区,83.03,,322.79,,62,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,宁夏区,33.45,,140.60,,63,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,青海省,0.00,,0.00,,64,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,甘肃省,84.28,,269.30,,65,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,陕西省,164.34,,560.21,,66,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,云南省,91.43,,357.28,,67,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,贵州省,166.14,,614.58,,68,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,四川省,496.61,,2124.46,,69,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,重庆市,159.69,,686.58,,70,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,海南省,57.34,,338.27,,71,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,广西区,279.99,,1109.30,,72,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,广东省,765.55,,3263.08,,73,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,湖南省,371.89,,1459.80,,74,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,湖北省,957.84,,3814.73,,75,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,河南省,144.57,,562.71,,76,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,山东省,759.05,,2951.16,,77,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,江西省,3.13,,12.23,,78,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,福建省,442.94,,1763.90,,79,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,安徽省,379.85,,1495.19,,80,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,浙江省,285.56,,1310.03,,81,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,江苏省,126.71,,517.58,,82,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,黑龙江省,42.25,,157.65,,83,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,吉林省,93.90,,391.59,,84,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,辽宁省,445.43,,1725.59,,85,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,内蒙古区,88.11,,355.34,,86,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
2024-04,山西省,194.25,,795.62,,87,2024-04-30 00:00:00,1,0,2024-07-21 04:09:05,0,2024-07-21 04:09:05,,,
