时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-06-20,印度西海岸,动力煤2#,,5000(GAR),84.65,-0.35,CFR,47,2024-06-20 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-20,印度西海岸,动力煤1#,,5500(NAR),108.40,-0.55,CFR,48,2024-06-20 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-19,印度西海岸,动力煤3#,,4200(GAR),66.45,-0.50,CFR,49,2024-06-19 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-19,印度西海岸,动力煤2#,,5000(GAR),85.00,-0.15,CFR,50,2024-06-19 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-19,印度西海岸,动力煤1#,,5500(NAR),108.95,-0.05,CFR,51,2024-06-19 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-18,印度西海岸,动力煤3#,,4200(GAR),66.95,-0.15,CFR,52,2024-06-18 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-18,印度西海岸,动力煤2#,,5000(GAR),85.15,0.30,CFR,53,2024-06-18 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-18,印度西海岸,动力煤1#,,5500(NAR),109.00,-0.50,CFR,54,2024-06-18 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-14,印度西海岸,动力煤3#,,4200(GAR),67.10,-0.05,CFR,55,2024-06-14 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-14,印度西海岸,动力煤2#,,5000(GAR),84.85,-0.30,CFR,56,2024-06-14 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-14,印度西海岸,动力煤1#,,5500(NAR),109.50,-0.45,CFR,57,2024-06-14 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-13,印度西海岸,动力煤3#,,4200(GAR),67.15,-0.40,CFR,58,2024-06-13 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-13,印度西海岸,动力煤2#,,5000(GAR),85.15,-0.15,CFR,59,2024-06-13 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-13,印度西海岸,动力煤1#,,5500(NAR),109.95,-0.50,CFR,60,2024-06-13 00:00:00,1,0,2024-07-17 13:41:32,0,2024-07-17 13:41:32,,,
2024-06-12,印度西海岸,动力煤3#,,4200(GAR),67.55,0.05,CFR,61,2024-06-12 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-12,印度西海岸,动力煤2#,,5000(GAR),85.30,-0.20,CFR,62,2024-06-12 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-12,印度西海岸,动力煤1#,,5500(NAR),110.45,0.10,CFR,63,2024-06-12 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-11,印度西海岸,动力煤3#,,4200(GAR),67.50,-0.05,CFR,64,2024-06-11 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-11,印度西海岸,动力煤2#,,5000(GAR),85.50,-0.35,CFR,65,2024-06-11 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-11,印度西海岸,动力煤1#,,5500(NAR),110.35,-0.30,CFR,66,2024-06-11 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-10,印度西海岸,动力煤3#,,4200(GAR),67.55,0.25,CFR,67,2024-06-10 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-10,印度西海岸,动力煤2#,,5000(GAR),85.85,0.25,CFR,68,2024-06-10 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-10,印度西海岸,动力煤1#,,5500(NAR),110.65,0.05,CFR,69,2024-06-10 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-07,印度西海岸,动力煤3#,,4200(GAR),67.30,-0.40,CFR,70,2024-06-07 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
2024-06-07,印度西海岸,动力煤2#,,5000(GAR),85.60,0.05,CFR,71,2024-06-07 00:00:00,1,0,2024-07-17 13:41:36,0,2024-07-17 13:41:36,,,
