时间,港口名称,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-07-05,南京港,5.00,59,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,厦门港,30.00,60,2024-07-05 00:00:00,1,0,2024-07-20 23:59:27,0,2024-07-20 23:59:27,,,
2024-07-05,青岛港,2285.00,61,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,舟山武港,125.00,62,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,福州港,20.00,63,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,岚山港,740.00,64,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,锦州港,48.00,65,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,京唐港,1732.00,66,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,马迹山港,147.00,67,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,可门港,150.00,68,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,防城港,250.00,69,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,莱州港,0.00,70,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,太仓武港,310.00,71,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,黄骅港,462.00,72,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
2024-07-05,美锦港,5.00,73,2024-07-05 00:00:00,1,0,2024-07-20 23:59:29,0,2024-07-20 23:59:29,,,
