时间,钢材类型,库存量(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-03-15,冷轧,153.24,94,2024-03-15 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-15,线材,156.97,95,2024-03-15 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-08,冷轧,153.08,96,2024-03-08 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-08,中厚板,160.64,97,2024-03-08 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-08,热卷,348.61,98,2024-03-08 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-08,螺纹钢,946.03,99,2024-03-08 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-08,线材,154.24,100,2024-03-08 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-01,冷轧,153.12,101,2024-03-01 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-01,中厚板,156.93,102,2024-03-01 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-01,螺纹钢,924.76,103,2024-03-01 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-01,线材,148.74,104,2024-03-01 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-03-01,热卷,339.34,105,2024-03-01 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-23,线材,137.70,106,2024-02-23 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-23,热卷,329.16,107,2024-02-23 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-23,中厚板,153.23,108,2024-02-23 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-23,螺纹钢,845.15,109,2024-02-23 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-23,冷轧,153.61,110,2024-02-23 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-16,热卷,290.92,111,2024-02-16 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-16,中厚板,134.88,112,2024-02-16 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-16,线材,123.25,113,2024-02-16 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-16,螺纹钢,749.14,114,2024-02-16 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-16,冷轧,148.26,115,2024-02-16 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-09,螺纹钢,659.25,116,2024-02-09 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-09,冷轧,125.26,117,2024-02-09 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-09,热卷,254.46,118,2024-02-09 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-09,中厚板,123.57,119,2024-02-09 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-09,线材,102.05,120,2024-02-09 00:00:00,1,0,2024-07-20 23:50:06,0,2024-07-20 23:50:06,,,
2024-02-02,中厚板,120.84,121,2024-02-02 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-02-02,冷轧,120.92,122,2024-02-02 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-02-02,热卷,237.51,123,2024-02-02 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-02-02,螺纹钢,577.86,124,2024-02-02 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-02-02,线材,86.20,125,2024-02-02 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-26,热卷,228.76,126,2024-01-26 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-26,中厚板,117.56,127,2024-01-26 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-26,冷轧,117.36,128,2024-01-26 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-26,螺纹钢,504.17,129,2024-01-26 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-26,线材,75.51,130,2024-01-26 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-19,线材,68.44,131,2024-01-19 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-19,中厚板,115.25,132,2024-01-19 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-19,热卷,222.92,133,2024-01-19 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-19,冷轧,115.33,134,2024-01-19 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-19,螺纹钢,470.22,135,2024-01-19 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-12,中厚板,112.81,136,2024-01-12 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-12,冷轧,113.49,137,2024-01-12 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-12,螺纹钢,448.45,138,2024-01-12 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-12,线材,63.63,139,2024-01-12 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-12,热卷,221.01,140,2024-01-12 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-05,线材,59.20,141,2024-01-05 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-05,冷轧,110.06,142,2024-01-05 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-05,螺纹钢,422.77,143,2024-01-05 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-05,热卷,216.84,144,2024-01-05 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2024-01-05,中厚板,113.38,145,2024-01-05 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2023-12-29,热卷,219.75,146,2023-12-29 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2023-12-29,中厚板,111.50,147,2023-12-29 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2023-12-29,螺纹钢,395.29,148,2023-12-29 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2023-12-29,冷轧,107.10,149,2023-12-29 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2023-12-29,线材,52.15,150,2023-12-29 00:00:00,1,0,2024-07-20 23:50:09,0,2024-07-20 23:50:09,,,
2023-12-22,中厚板,114.23,151,2023-12-22 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-22,螺纹钢,366.46,152,2023-12-22 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-22,线材,49.80,153,2023-12-22 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-22,冷轧,108.54,154,2023-12-22 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
2023-12-22,热卷,224.33,155,2023-12-22 00:00:00,1,0,2024-07-20 23:50:12,0,2024-07-20 23:50:12,,,
