时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-17,147.00,4.60,6.60,2.00,3.00,64,2024-05-17 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-16,149.00,4.70,5.70,3.00,1.00,65,2024-05-16 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-15,150.00,4.80,2.80,3.00,0.00,66,2024-05-15 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-14,148.00,3.90,3.90,3.00,1.00,67,2024-05-14 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-13,148.00,5.00,8.00,3.00,1.00,68,2024-05-13 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-12,151.00,4.90,1.90,3.00,2.00,69,2024-05-12 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-11,148.00,3.30,4.30,3.00,2.00,70,2024-05-11 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-10,149.00,4.00,4.00,3.00,2.00,71,2024-05-10 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-09,149.00,3.20,6.20,2.00,0.00,72,2024-05-09 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-08,152.00,3.50,2.50,2.00,1.00,73,2024-05-08 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-07,151.00,3.60,3.60,2.00,1.00,74,2024-05-07 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-06,151.00,4.00,2.00,1.00,2.00,75,2024-05-06 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-05,149.00,3.40,5.40,0.00,2.00,76,2024-05-05 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-04,151.00,3.90,2.90,1.00,2.00,77,2024-05-04 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-03,150.00,3.50,9.50,1.00,2.00,78,2024-05-03 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-02,156.00,2.80,5.80,5.00,1.00,79,2024-05-02 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-05-01,159.00,4.00,8.00,5.00,1.00,80,2024-05-01 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-30,163.00,3.80,5.80,8.00,2.00,81,2024-04-30 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-29,165.00,3.40,5.40,4.00,2.00,82,2024-04-29 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-28,167.00,3.20,5.20,4.00,2.00,83,2024-04-28 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-27,169.00,3.40,7.40,5.00,3.00,84,2024-04-27 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-26,173.00,2.50,3.50,4.00,3.00,85,2024-04-26 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-25,174.00,3.00,3.00,5.00,1.00,86,2024-04-25 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-24,174.00,3.50,3.50,2.00,2.00,87,2024-04-24 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-23,174.00,3.50,5.50,1.00,4.00,88,2024-04-23 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-22,176.00,3.10,4.10,2.00,4.00,89,2024-04-22 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-21,177.00,3.90,1.90,3.00,5.00,90,2024-04-21 00:00:00,1,0,2024-07-20 11:02:08,0,2024-07-20 11:02:08,,,
2024-04-20,175.00,4.20,9.20,1.00,2.00,91,2024-04-20 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-19,180.00,3.90,4.90,2.00,2.00,92,2024-04-19 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-18,181.00,3.00,1.00,3.00,2.00,93,2024-04-18 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-17,179.00,2.30,2.30,4.00,2.00,94,2024-04-17 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-16,179.00,3.60,4.60,3.00,3.00,95,2024-04-16 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-15,180.00,3.90,3.90,2.00,4.00,96,2024-04-15 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-14,180.00,4.00,5.00,2.00,3.00,97,2024-04-14 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-13,181.00,3.80,3.80,4.00,2.00,98,2024-04-13 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-12,181.00,3.40,1.40,3.00,1.00,99,2024-04-12 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-11,179.00,3.50,3.50,4.00,1.00,100,2024-04-11 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-10,179.00,3.00,2.00,3.00,0.00,101,2024-04-10 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-09,178.00,3.50,2.50,1.00,0.00,102,2024-04-09 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-08,177.00,4.70,5.70,1.00,0.00,103,2024-04-08 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-07,178.00,4.30,6.30,2.00,1.00,104,2024-04-07 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-06,180.00,5.00,4.00,2.00,1.00,105,2024-04-06 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-05,179.00,4.60,5.60,1.00,2.00,106,2024-04-05 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-04,180.00,4.40,4.10,1.00,1.00,107,2024-04-04 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
2024-04-03,180.00,6.50,7.50,4.00,1.00,108,2024-04-03 00:00:00,1,0,2024-07-20 11:02:10,0,2024-07-20 11:02:10,,,
