时间,数据项目,本期(元/吨),环比增减(元/吨),环比增幅(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-04-26,北方港5000K平仓价格指数,725.20,2.40,0.33,47,2024-04-26 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-26,北方港5500K平仓价格指数,826.40,1.00,0.12,48,2024-04-26 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-19,长江口5000K平仓价格指数,752.60,7.00,0.94,49,2024-04-19 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-19,长江口5500K平仓价格指数,863.80,5.20,0.61,50,2024-04-19 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-19,北方港5000K平仓价格指数,722.80,6.60,0.92,51,2024-04-19 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-19,北方港5500K平仓价格指数,825.40,4.40,0.54,52,2024-04-19 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-15,长江口5000K平仓价格指数,745.60,-3.20,-0.43,53,2024-04-15 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-15,长江口5500K平仓价格指数,858.60,-4.40,-0.51,54,2024-04-15 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-15,北方港5000K平仓价格指数,716.20,-6.80,-0.94,55,2024-04-15 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-15,北方港5500K平仓价格指数,821.00,-9.60,-1.16,56,2024-04-15 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-07,长江口5000K平仓价格指数,748.80,-4.20,-0.56,57,2024-04-07 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-07,长江口5500K平仓价格指数,863.00,-5.00,-0.58,58,2024-04-07 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-07,北方港5000K平仓价格指数,723.00,-9.40,-1.28,59,2024-04-07 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-04-07,北方港5500K平仓价格指数,830.60,-15.40,-1.82,60,2024-04-07 00:00:00,1,0,2024-07-20 06:28:00,0,2024-07-20 06:28:00,,,
2024-03-29,长江口5000K平仓价格指数,753.00,-8.60,-1.13,61,2024-03-29 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-29,长江口5500K平仓价格指数,868.00,-6.80,-0.78,62,2024-03-29 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-29,北方港5000K平仓价格指数,732.40,-6.40,-0.87,63,2024-03-29 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-29,北方港5500K平仓价格指数,846.00,-7.40,-0.87,64,2024-03-29 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-22,长江口5000K平仓价格指数,761.60,-57.00,-6.96,65,2024-03-22 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-22,长江口5500K平仓价格指数,874.80,-51.20,-5.53,66,2024-03-22 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-22,北方港5000K平仓价格指数,738.80,-42.60,-5.45,67,2024-03-22 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-22,北方港5500K平仓价格指数,853.40,-42.60,-4.75,68,2024-03-22 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-15,长江口5000K平仓价格指数,818.60,-31.20,-3.67,69,2024-03-15 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-15,长江口5500K平仓价格指数,926.00,-27.60,-2.89,70,2024-03-15 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
2024-03-15,北方港5000K平仓价格指数,781.40,-23.60,-2.93,71,2024-03-15 00:00:00,1,0,2024-07-20 06:28:03,0,2024-07-20 06:28:03,,,
