时间,当期值(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-06,110.21,74,2024-05-06 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-05,120.22,75,2024-05-05 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-04,125.15,76,2024-05-04 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-03,105.46,77,2024-05-03 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-02,110.12,78,2024-05-02 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-05-01,105.43,79,2024-05-01 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-30,105.16,80,2024-04-30 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-29,110.53,81,2024-04-29 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-28,115.07,82,2024-04-28 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-27,113.99,83,2024-04-27 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-26,100.04,84,2024-04-26 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-25,100.05,85,2024-04-25 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-24,100.06,86,2024-04-24 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-23,100.07,87,2024-04-23 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-22,100.08,88,2024-04-22 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-21,100.09,89,2024-04-21 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-20,100.08,90,2024-04-20 00:00:00,1,0,2024-07-20 13:27:48,0,2024-07-20 13:27:48,,,
2024-04-19,100.07,91,2024-04-19 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-18,100.03,92,2024-04-18 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-17,100.03,93,2024-04-17 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-16,100.02,94,2024-04-16 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-15,100.05,95,2024-04-15 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-14,100.06,96,2024-04-14 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-13,100.07,97,2024-04-13 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-12,100.04,98,2024-04-12 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-11,100.08,99,2024-04-11 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-10,100.03,100,2024-04-10 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-09,100.02,101,2024-04-09 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-08,100.09,102,2024-04-08 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-07,100.08,103,2024-04-07 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-06,100.01,104,2024-04-06 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-05,100.03,105,2024-04-05 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-04,100.11,106,2024-04-04 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-03,100.08,107,2024-04-03 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-02,85.31,108,2024-04-02 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-04-01,100.03,109,2024-04-01 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-31,115.06,110,2024-03-31 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
2024-03-30,115.13,111,2024-03-30 00:00:00,1,0,2024-07-20 13:27:51,0,2024-07-20 13:27:51,,,
