时间,焦企产能利用率,环比变化,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-30,74.71,-0.30,52,2024-05-30 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-05-23,75.00,0.50,53,2024-05-23 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-05-16,74.55,1.10,54,2024-05-16 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-05-09,73.44,4.60,55,2024-05-09 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-05-02,68.85,2.00,56,2024-05-02 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-04-25,66.88,1.00,57,2024-04-25 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-04-18,65.84,0.90,58,2024-04-18 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-04-11,64.90,-0.60,59,2024-04-11 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-04-04,65.52,-0.10,60,2024-04-04 00:00:00,1,0,2025-06-06 23:21:16,0,2025-06-06 23:21:16,,,
2024-03-28,65.61,-0.40,61,2024-03-28 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-03-21,65.96,-0.60,62,2024-03-21 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-03-14,66.51,-1.70,63,2024-03-14 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-03-07,68.23,-1.40,64,2024-03-07 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-02-29,69.64,-2.60,65,2024-02-29 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-02-22,72.25,-0.60,66,2024-02-22 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-02-15,72.86,0.30,67,2024-02-15 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-02-08,72.59,0.10,68,2024-02-08 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-02-01,72.48,0.20,69,2024-02-01 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-01-25,72.29,-0.30,70,2024-01-25 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-01-18,72.55,-3.30,71,2024-01-18 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-01-11,75.85,-0.90,72,2024-01-11 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2024-01-04,76.78,1.90,73,2024-01-04 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-12-28,74.88,-1.30,74,2023-12-28 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-12-21,76.22,1.20,75,2023-12-21 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-12-14,75.05,0.40,76,2023-12-14 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-12-07,74.62,0.20,77,2023-12-07 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-11-30,74.43,-0.40,78,2023-11-30 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-11-23,74.87,-1.30,79,2023-11-23 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-11-16,76.15,-0.60,80,2023-11-16 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-11-09,76.77,1.20,81,2023-11-09 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-11-02,75.58,0.30,82,2023-11-02 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-10-26,75.30,-0.70,83,2023-10-26 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-10-19,75.99,-1.20,84,2023-10-19 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-10-12,77.19,-0.30,85,2023-10-12 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-10-05,77.49,0.10,86,2023-10-05 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-09-28,77.43,-0.90,87,2023-09-28 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-09-21,78.33,-0.20,88,2023-09-21 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-09-14,78.57,-0.40,89,2023-09-14 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-09-07,79.01,-0.30,90,2023-09-07 00:00:00,1,0,2025-06-06 23:21:20,0,2025-06-06 23:21:20,,,
2023-08-31,79.27,0.80,91,2023-08-31 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-08-24,78.43,0.80,92,2023-08-24 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-08-17,77.59,0.90,93,2023-08-17 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-08-10,76.70,1.20,94,2023-08-10 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
2023-08-03,75.46,0.80,95,2023-08-03 00:00:00,1,0,2025-06-06 23:21:24,0,2025-06-06 23:21:24,,,
