时间,项目名称,累计值(万千瓦),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-07,火电发电设备容量,136353.00,4.00,46,2023-07-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-07,核电发电设备容量,5676.00,2.20,47,2023-07-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-07,发电设备容量,273974.00,11.50,48,2023-07-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-07,水电发电设备容量,41812.00,4.10,49,2023-07-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-07,风电发电设备容量,39291.00,14.30,50,2023-07-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-06,风电发电设备容量,38921.00,13.70,51,2023-06-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-06,发电设备容量,270772.00,10.80,52,2023-06-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-06,火电发电设备容量,135698.00,3.80,53,2023-06-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-06,核电发电设备容量,5676.00,2.20,54,2023-06-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-06,水电发电设备容量,41793.00,4.50,55,2023-06-30 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-05,核电发电设备容量,5676.00,4.30,56,2023-05-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
2023-05,火电发电设备容量,135095.00,3.70,57,2023-05-31 00:00:00,1,0,2024-07-20 16:02:09,0,2024-07-20 16:02:09,,,
