时间,地区,旬度值(万吨),旬度环比(万吨),旬度同比(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2017-09-20,河北省,202.00,-20.00,-55.00,1699,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,山西省,1225.00,29.00,52.00,1700,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,黑龙江省,190.00,9.00,-11.00,1701,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,江西省,14.00,4.00,3.00,1702,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,山东省,513.00,21.00,56.00,1703,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,河南省,490.00,-33.00,-3.00,1704,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,重庆市,48.00,-53.00,8.00,1705,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,陕西省,776.00,94.00,104.00,1706,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,甘肃省,175.00,-33.00,-29.00,1707,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-20,宁夏区,357.00,7.00,-47.00,1708,2017-09-20 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-10,地区合计,2265.00,72.00,145.00,1709,2017-09-10 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-10,河北省,110.00,-12.00,-22.00,1710,2017-09-10 00:00:00,1,0,2024-07-20 13:16:31,0,2024-07-20 13:16:31,,,
2017-09-10,山西省,614.00,15.00,18.00,1711,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,黑龙江省,80.00,-5.00,-31.00,1712,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,江西省,6.00,1.00,0.00,1713,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,山东省,261.00,18.00,-7.00,1714,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,河南省,228.00,-8.00,-32.00,1715,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,重庆市,19.00,-7.00,-1.00,1716,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,陕西省,398.00,71.00,-19.00,1717,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,甘肃省,100.00,2.00,-6.00,1718,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-09-10,宁夏区,174.00,-4.00,-29.00,1719,2017-09-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,地区合计,3917.00,270.00,36.00,1720,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,河北省,222.00,-26.00,-52.00,1721,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,山西省,1196.00,-107.00,23.00,1722,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,黑龙江省,181.00,5.00,-25.00,1723,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,江西省,10.00,0.00,-6.00,1724,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,山东省,492.00,-51.00,-20.00,1725,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,河南省,523.00,4.00,29.00,1726,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,重庆市,53.00,10.00,10.00,1727,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,陕西省,682.00,486.00,55.00,1728,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,甘肃省,208.00,3.00,8.00,1729,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-20,宁夏区,350.00,-54.00,15.00,1730,2017-08-20 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,地区合计,2193.00,-186.00,69.00,1731,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,河北省,122.00,22.00,-23.00,1732,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,山西省,599.00,-70.00,25.00,1733,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,黑龙江省,85.00,8.00,5.00,1734,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,江西省,5.00,0.00,-2.00,1735,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,山东省,243.00,-21.00,-7.00,1736,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,河南省,236.00,-15.00,-6.00,1737,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,重庆市,26.00,5.00,7.00,1738,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,陕西省,327.00,-92.00,0.00,1739,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,甘肃省,98.00,-3.00,2.00,1740,2017-08-10 00:00:00,1,0,2024-07-20 13:16:36,0,2024-07-20 13:16:36,,,
2017-08-10,宁夏区,178.00,-20.00,18.00,1741,2017-08-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,地区合计,3647.00,-41.00,131.00,1742,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,河北省,248.00,-45.00,-8.00,1743,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,山西省,1303.00,162.00,163.00,1744,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,黑龙江省,176.00,32.00,37.00,1745,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,江西省,10.00,-4.00,-7.00,1746,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,山东省,543.00,14.00,77.00,1747,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,河南省,519.00,162.00,40.00,1748,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,重庆市,43.00,-2.00,2.00,1749,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,陕西省,196.00,-506.00,-336.00,1750,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,甘肃省,205.00,16.00,16.00,1751,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-20,宁夏区,404.00,130.00,147.00,1752,2017-07-20 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,地区合计,2379.00,325.00,328.00,1753,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,河北省,100.00,-35.00,-40.00,1754,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,山西省,669.00,16.00,95.00,1755,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,黑龙江省,77.00,8.00,1.00,1756,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,江西省,5.00,-2.00,-2.00,1757,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,山东省,264.00,-17.00,36.00,1758,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,河南省,251.00,30.00,23.00,1759,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,重庆市,21.00,1.00,2.00,1760,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
2017-07-10,陕西省,419.00,68.00,151.00,1761,2017-07-10 00:00:00,1,0,2024-07-20 13:16:40,0,2024-07-20 13:16:40,,,
