时间,煤炭产地,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-02-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,36,2023-02-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2023-01-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,37,2023-01-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2023-01-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,38,2023-01-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-12-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,39,2022-12-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-12-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,40,2022-12-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-11-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,41,2022-11-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-11-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,42,2022-11-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-10-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,43,2022-10-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-10-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2210.00,出厂价,44,2022-10-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-09-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2289.00,出厂价,45,2022-09-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-09-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,46,2022-09-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-08-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2450.00,出厂价,47,2022-08-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-08-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2289.00,出厂价,48,2022-08-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-07-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2289.00,出厂价,49,2022-07-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-07-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2900.00,出厂价,50,2022-07-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-06-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2900.00,出厂价,51,2022-06-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-06-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2289.00,出厂价,52,2022-06-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-05-01,冀中能源,1/3焦精煤,10.5 - 11.5,36.00,0.60,90.00, - ,2396.00,出厂价,53,2022-05-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
2022-05-01,冀中能源,焦精煤,9.5 - 10,26.00,0.80,85.00, - ,2900.00,出厂价,54,2022-05-01 00:00:00,1,0,2024-07-17 09:15:00,0,2024-07-17 09:15:00,,,
