时间,数据项目,总体情况,年粗钢产量≤200,年粗钢产量200-600,年粗钢产量≥600,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-03-03,高炉开工率(%),81.07,,,,66,2023-03-03 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-02-24,高炉开工率(%),80.98,,,,67,2023-02-24 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-02-17,高炉开工率(%),79.54,,,,68,2023-02-17 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-02-10,高炉开工率(%),79.91,,,,69,2023-02-10 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-02-03,高炉开工率(%),77.41,,,,70,2023-02-03 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-01-20,高炉开工率(%),75.97,,,,71,2023-01-20 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-01-13,高炉开工率(%),75.68,,,,72,2023-01-13 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-01-06,高炉开工率(%),74.64,,,,73,2023-01-06 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2023-01-05,高炉开工率(%),75.63,,,,74,2023-01-05 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-12-30,高炉开工率(%),75.21,,,,75,2022-12-30 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-12-23,高炉开工率(%),75.93,,,,76,2022-12-23 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-12-16,高炉开工率(%),75.97,,,,77,2022-12-16 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-12-09,高炉开工率(%),75.89,,,,78,2022-12-09 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-12-02,高炉开工率(%),75.61,,,,79,2022-12-02 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-11-25,高炉开工率(%),77.03,,,,80,2022-11-25 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-11-18,高炉开工率(%),76.35,,,,81,2022-11-18 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-11-11,高炉开工率(%),77.21,,,,82,2022-11-11 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-11-04,高炉开工率(%),78.77,,,,83,2022-11-04 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
2022-10-28,高炉开工率(%),81.48,,,,84,2022-10-28 00:00:00,1,0,2024-07-20 23:48:28,0,2024-07-20 23:48:28,,,
