时间,煤种,当月数量(吨),累计数量(吨),当月金额(千美元),累计金额(千美元),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-01,褐煤,12023168.80,12023168.80,1069389.20,1069389.20,83,2023-01-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2023-01,无烟煤,1378661.10,1378661.10,303276.50,303276.50,84,2023-01-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2023-01,其他煤,4806569.90,4806569.90,603037.10,603037.10,85,2023-01-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2022-12,无烟煤,1037437.10,11060297.50,236443.00,2347248.80,86,2022-12-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2022-12,其他煤,4403262.40,36910816.00,575196.70,4761460.40,87,2022-12-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2022-12,褐煤,13261494.90,130484835.80,1212806.50,12304393.80,88,2022-12-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2022-12,其他烟煤,5741419.70,51029705.10,932559.60,8043213.10,89,2022-12-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2022-12,炼焦煤,6464858.60,63838416.50,1222962.00,14958389.60,90,2022-12-31 00:00:00,1,0,2024-07-20 14:19:19,0,2024-07-20 14:19:19,,,
2022-12,煤炭,30908472.60,293324070.90,4179967.70,42414705.60,91,2022-12-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-11,其他煤,4947295.40,32507553.60,643873.90,4186263.70,92,2022-11-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-11,其他烟煤,6579846.10,45288285.40,1041365.90,7110653.50,93,2022-11-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-11,褐煤,14293102.30,117223340.90,1318411.30,11091587.30,94,2022-11-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-11,炼焦煤,5732165.40,57373558.00,1171431.50,13735427.50,95,2022-11-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-11,无烟煤,760765.60,10022860.50,165880.10,2110805.80,96,2022-11-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-11,煤炭,32313174.80,262415598.30,4340962.70,38234737.90,97,2022-11-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-10,无烟煤,715705.70,9262094.80,144308.70,1944925.70,98,2022-10-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-10,其他煤,5156832.70,27560258.10,616067.00,3542389.80,99,2022-10-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-10,煤炭,29182126.70,230102423.50,3708852.30,33893775.20,100,2022-10-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-10,炼焦煤,6207862.20,51641392.60,1190094.00,12563996.00,101,2022-10-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-10,褐煤,12206729.80,102930238.70,1053021.70,9773176.00,102,2022-10-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-10,其他烟煤,4894996.30,38708439.30,705360.90,6069287.60,103,2022-10-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-09,其他煤,4506300.40,22403425.50,514892.40,2926322.80,104,2022-09-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-09,其他烟煤,4958631.80,33813443.00,680016.90,5363926.60,105,2022-09-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-09,炼焦煤,6844788.20,45433530.40,1269704.30,11373902.00,106,2022-09-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-09,褐煤,15903080.50,90723508.80,1346216.80,8720154.30,107,2022-09-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-09,煤炭,33047771.70,200920296.80,3970677.70,30184922.80,108,2022-09-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-09,无烟煤,834970.80,8546389.20,159847.30,1800617.10,109,2022-09-30 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-08,其他煤,2197291.70,17897125.00,279958.60,2411430.40,110,2022-08-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-08,煤炭,29456264.40,167872525.20,4110887.40,26214245.10,111,2022-08-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-08,无烟煤,1280537.50,7711418.40,245481.20,1640769.80,112,2022-08-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-08,褐煤,13919495.10,74820428.40,1309835.00,7373937.50,113,2022-08-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-08,炼焦煤,6406036.30,38588742.10,1446194.40,10104197.70,114,2022-08-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-08,其他烟煤,5652903.80,28854811.20,829418.30,4683909.70,115,2022-08-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-07,其他煤,1415578.50,15699833.30,189073.90,2131471.80,116,2022-07-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-07,其他烟煤,3862151.50,23201907.40,650707.80,3854491.40,117,2022-07-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-07,无烟煤,1647403.50,6430880.80,359812.30,1395288.60,118,2022-07-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-07,炼焦煤,6118019.10,32182705.90,1565965.90,8658003.30,119,2022-07-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-07,煤炭,23523386.00,138416260.80,3783605.10,22103357.70,120,2022-07-31 00:00:00,1,0,2024-07-20 14:19:23,0,2024-07-20 14:19:23,,,
2022-07,褐煤,10480233.50,60900933.30,1018045.30,6064102.60,121,2022-07-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-06,无烟煤,1345994.00,4783477.40,306027.80,1035476.30,122,2022-06-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-06,炼焦煤,4983082.80,26064686.80,1291254.20,7092037.50,123,2022-06-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-06,褐煤,8754246.60,50420699.80,880034.00,5046057.30,124,2022-06-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-06,煤炭,18982267.30,114892874.70,3042481.70,18319752.60,125,2022-06-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-06,其他烟煤,2731259.70,19339756.00,397820.60,3203783.60,126,2022-06-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-06,其他煤,1167684.20,14284254.80,167345.10,1942398.00,127,2022-06-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-05,煤炭,20548536.30,95910607.40,3399546.30,15277270.90,128,2022-05-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-05,炼焦煤,4565214.10,21081604.00,1259910.70,5800783.30,129,2022-05-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-05,无烟煤,903299.90,3437483.40,224800.30,729448.60,130,2022-05-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-05,其他烟煤,3174500.50,16608496.30,520525.10,2805962.90,131,2022-05-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-05,其他煤,1914997.20,13116570.60,297758.80,1775052.90,132,2022-05-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-05,褐煤,9990524.60,41666453.20,1096551.50,4166023.20,133,2022-05-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-04,其他烟煤,3249390.80,13433995.80,620764.50,2285437.90,134,2022-04-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-04,煤炭,23548614.90,75362071.10,3702222.10,11877724.70,135,2022-04-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-04,褐煤,11872943.50,31675928.60,1295243.70,3069471.80,136,2022-04-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-04,其他煤,3574669.70,11201573.40,524812.80,1477294.10,137,2022-04-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-04,无烟煤,595164.80,2534183.50,106426.90,504648.30,138,2022-04-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-04,炼焦煤,4256446.20,16516389.80,1154974.20,4540872.60,139,2022-04-30 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-03,无烟煤,726755.70,1939018.70,156470.60,398221.40,140,2022-03-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
2022-03,炼焦煤,3762210.40,12259943.60,915897.30,3385898.40,141,2022-03-31 00:00:00,1,0,2024-07-20 14:19:25,0,2024-07-20 14:19:25,,,
