时间,项目名称,累计值(万吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2018-01,供热耗用原煤,,,65,2018-01-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-12,供热耗用原煤,,,66,2017-12-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-11,供热耗用原煤,20284.00,5.60,67,2017-11-30 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-10,供热耗用原煤,17420.00,5.90,68,2017-10-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-09,供热耗用原煤,15927.00,6.20,69,2017-09-30 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-08,供热耗用原煤,14461.00,4.40,70,2017-08-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-07,供热耗用原煤,13829.00,7.20,71,2017-07-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-06,供热耗用原煤,12733.00,7.00,72,2017-06-30 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-05,供热耗用原煤,11740.00,6.90,73,2017-05-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-04,供热耗用原煤,10653.00,7.60,74,2017-04-30 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-03,供热耗用原煤,9191.00,12.40,75,2017-03-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-02,供热耗用原煤,6563.00,5.40,76,2017-02-28 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2017-01,供热耗用原煤,,,77,2017-01-31 00:00:00,1,0,2024-07-20 16:08:01,0,2024-07-20 16:08:01,,,
2024-06,供热耗用原煤,20454.00,9.50,168,2024-06-30 00:00:00,1,0,2024-08-01 10:44:24,0,2024-08-01 10:44:24,,,
2024-09,供热耗用原煤,24643.00,7.30,169,2024-09-30 00:00:00,1,0,2024-11-07 01:52:43,0,2024-11-07 01:52:43,,,
2024-08,供热耗用原煤,23389.00,8.60,170,2024-08-31 00:00:00,1,0,2024-11-07 01:52:43,0,2024-11-07 01:52:43,,,
2024-07,供热耗用原煤,21915.00,9.20,171,2024-07-31 00:00:00,1,0,2024-11-07 01:52:43,0,2024-11-07 01:52:43,,,
2024-10,供热耗用原煤,26998.00,7.30,172,2024-10-31 00:00:00,1,0,2024-11-25 23:17:39,0,2024-11-25 23:17:39,,,
2024-11,供热耗用原煤,31157.00,6.20,173,2024-11-30 00:00:00,1,0,2024-12-23 23:17:02,0,2024-12-23 23:17:02,,,
2025-02,供热耗用原煤,11077.00,0.00,174,2025-02-28 00:00:00,1,0,2025-03-21 23:18:22,0,2025-03-21 23:18:22,,,
2025-03,供热耗用原煤,15129.00,-1.20,175,2025-03-31 00:00:00,1,0,2025-04-21 23:19:29,0,2025-04-21 23:19:29,,,
2025-04,供热耗用原煤,17063.00,-0.80,176,2025-04-30 00:00:00,1,0,2025-05-23 23:18:02,0,2025-05-23 23:18:02,,,
2025-05,供热耗用原煤,18560.00,-2.10,177,2025-05-31 00:00:00,1,0,2025-06-24 23:17:11,0,2025-06-24 23:17:11,,,
2025-06,供热耗用原煤,20076.00,-1.90,178,2025-06-30 00:00:00,1,0,2025-07-31 23:16:53,0,2025-07-31 23:16:53,,,
2025-07,供热耗用原煤,21594.00,-1.60,179,2025-07-31 00:00:00,1,0,2025-08-25 23:18:22,0,2025-08-25 23:18:22,,,
