时间,所属行业,当月值(亿吨),同比增长(%),累计值(亿吨),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2022-11,钢铁行业,0.50,9.70,6.20,1.20,80,2022-11-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-10,电力行业,1.80,3.20,20.40,1.80,81,2022-10-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-10,化工行业,0.30,8.80,2.70,5.10,82,2022-10-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-10,建材行业,0.50,0.20,4.40,-6.00,83,2022-10-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-10,钢铁行业,0.60,9.80,5.70,0.40,84,2022-10-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-09,电力行业,2.00,6.00,18.50,1.60,85,2022-09-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-09,化工行业,0.30,5.00,2.40,4.70,86,2022-09-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-09,建材行业,0.50,1.00,3.90,-6.80,87,2022-09-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-09,钢铁行业,0.60,12.00,5.10,-0.60,88,2022-09-30 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-08,电力行业,2.40,14.60,16.50,1.10,89,2022-08-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-08,化工行业,0.20,-3.20,2.10,4.70,90,2022-08-31 00:00:00,1,0,2024-07-20 14:08:49,0,2024-07-20 14:08:49,,,
2022-08,建材行业,0.40,-10.00,3.40,-7.80,91,2022-08-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-08,钢铁行业,0.50,-0.50,4.40,-2.10,92,2022-08-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-07,电力行业,2.30,5.50,14.20,-0.80,93,2022-07-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-07,化工行业,0.30,5.80,1.90,5.80,94,2022-07-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-07,建材行业,0.50,-5.90,2.90,-7.40,95,2022-07-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-07,钢铁行业,0.50,-2.50,3.90,-2.40,96,2022-07-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-06,电力行业,1.80,-5.50,11.90,-1.90,97,2022-06-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-06,化工行业,0.30,6.50,1.60,5.80,98,2022-06-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-06,建材行业,0.50,-10.50,2.40,-7.70,99,2022-06-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-06,钢铁行业,0.60,2.80,3.30,-2.40,100,2022-06-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-05,电力行业,1.70,-9.50,10.10,-1.30,101,2022-05-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-05,化工行业,0.30,3.80,1.30,5.70,102,2022-05-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-05,建材行业,0.50,-9.80,2.00,-7.10,103,2022-05-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-05,钢铁行业,0.60,3.80,2.80,-3.40,104,2022-05-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-04,电力行业,1.70,-10.00,8.40,0.60,105,2022-04-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-04,化工行业,0.30,5.50,1.00,6.20,106,2022-04-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-04,建材行业,0.50,-6.00,1.50,-6.10,107,2022-04-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-04,钢铁行业,0.60,0.80,2.20,-5.20,108,2022-04-30 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-03,电力行业,2.10,-3.00,6.70,3.60,109,2022-03-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-03,化工行业,0.30,5.20,0.80,6.50,110,2022-03-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-03,建材行业,0.40,-4.80,1.00,-6.20,111,2022-03-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-03,钢铁行业,0.60,-5.50,1.60,-7.20,112,2022-03-31 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-02,电力行业,2.20,18.20,4.60,6.90,113,2022-02-28 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-02,化工行业,0.20,9.30,0.50,7.10,114,2022-02-28 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
2022-02,建材行业,0.20,-10.50,0.50,-7.30,115,2022-02-28 00:00:00,1,0,2024-07-20 14:08:53,0,2024-07-20 14:08:53,,,
