时间,报价点,产品名称,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),价格类型,_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2024-05-25,黄骅港,疆煤5号,,,,,,790.00,平仓价,97,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神优2号,,,,,,949.00,平仓价,98,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,特低灰,,,,,,1001.00,平仓价,99,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神优3号,,,,,,942.00,平仓价,100,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-25,黄骅港,神块1号,,,,,,971.00,平仓价,101,2024-05-25 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-24,巴图塔,神优3号,,,,,,747.00,车板价,102,2024-05-24 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-24,巴图塔,神优2号,,,,,,746.00,车板价,103,2024-05-24 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,疆煤5号,,,,,,790.00,平仓价,104,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神优1号,,,,,,951.00,平仓价,105,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,特低灰,,,,,,977.00,平仓价,106,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,特低灰,,,,,,977.00,平仓价,107,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神优2号,,,,,,926.00,平仓价,108,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神优3号,,,,,,919.00,平仓价,109,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神优1号,,,,,,951.00,平仓价,110,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神冶2号,,,,,,929.00,平仓价,111,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神块3号,,,,,,937.00,平仓价,112,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神优2号,,,,,,926.00,平仓价,113,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神块1号,,,,,,947.00,平仓价,114,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,疆煤5号,,,,,,790.00,平仓价,115,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,建优1号,,,,,,874.00,平仓价,116,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神块2号,,,,,,923.00,平仓价,117,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,神块1号,,,,,,947.00,平仓价,118,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
2024-05-22,黄骅港,建优1号,,,,,,874.00,平仓价,119,2024-05-22 00:00:00,1,0,2024-07-17 09:04:27,0,2024-07-17 09:04:27,,,
