时间,项目名称,累计值(万平方米),累计增长(%),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2020-08,房地产业土地成交价款,7087.77,11.20,54,2020-08-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-07,房地产业土地购置面积,9659.30,-1.00,55,2020-07-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-07,房地产业土地成交价款,5382.02,12.20,56,2020-07-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-06,房地产业土地成交价款,4036.13,5.90,57,2020-06-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-06,房地产业土地购置面积,7964.61,-0.90,58,2020-06-30 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-05,房地产业土地成交价款,2429.48,7.10,59,2020-05-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-05,房地产业土地购置面积,4752.05,-8.10,60,2020-05-31 00:00:00,1,0,2024-07-21 04:35:52,0,2024-07-21 04:35:52,,,
2020-04,房地产业土地成交价款,1699.37,6.90,61,2020-04-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2020-04,房地产业土地购置面积,3150.96,-12.00,62,2020-04-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2020-03,房地产业土地购置面积,1968.62,-22.60,63,2020-03-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2020-03,房地产业土地成交价款,977.49,-18.10,64,2020-03-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2020-02,房地产业土地成交价款,440.42,-36.20,65,2020-02-29 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2020-02,房地产业土地购置面积,1092.00,-29.30,66,2020-02-29 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-12,房地产业土地购置面积,25822.29,-11.40,67,2019-12-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-12,房地产业土地成交价款,14709.28,-8.70,68,2019-12-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-11,房地产业土地成交价款,11960.37,-13.00,69,2019-11-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-11,房地产业土地购置面积,21719.67,-14.20,70,2019-11-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-10,房地产业土地成交价款,9921.17,-15.20,71,2019-10-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-10,房地产业土地购置面积,18382.77,-16.30,72,2019-10-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-09,房地产业土地购置面积,15454.03,-20.20,73,2019-09-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-09,房地产业土地成交价款,8185.84,-18.20,74,2019-09-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-08,房地产业土地成交价款,6373.97,-22.00,75,2019-08-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-08,房地产业土地购置面积,12236.06,-25.60,76,2019-08-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-07,房地产业土地购置面积,9761.17,-29.40,77,2019-07-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-07,房地产业土地成交价款,4794.82,-27.60,78,2019-07-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-06,房地产业土地成交价款,3811.20,-27.60,79,2019-06-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-06,房地产业土地购置面积,8035.29,-27.50,80,2019-06-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-05,房地产业土地成交价款,2269.45,-35.60,81,2019-05-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-05,房地产业土地购置面积,5169.79,-33.20,82,2019-05-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-04,房地产业土地购置面积,3582.28,-33.80,83,2019-04-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-04,房地产业土地成交价款,1589.57,-33.50,84,2019-04-30 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-03,房地产业土地成交价款,1193.54,-27.00,85,2019-03-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-03,房地产业土地购置面积,2543.33,-33.10,86,2019-03-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-02,房地产业土地成交价款,690.20,-13.10,87,2019-02-28 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2019-02,房地产业土地购置面积,1545.19,-34.10,88,2019-02-28 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2018-12,房地产业土地成交价款,16102.16,18.00,89,2018-12-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2018-12,房地产业土地购置面积,29141.57,14.20,90,2018-12-31 00:00:00,1,0,2024-07-21 04:35:55,0,2024-07-21 04:35:55,,,
2018-11,房地产业土地购置面积,25325.63,14.30,91,2018-11-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-11,房地产业土地成交价款,13746.36,20.20,92,2018-11-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-10,房地产业土地购置面积,21962.57,15.30,93,2018-10-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-10,房地产业土地成交价款,11695.01,20.60,94,2018-10-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-09,房地产业土地购置面积,19366.18,15.70,95,2018-09-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-09,房地产业土地成交价款,10002.20,22.70,96,2018-09-30 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-08,房地产业土地购置面积,16451.29,15.60,97,2018-08-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-08,房地产业土地成交价款,8176.91,23.70,98,2018-08-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
2018-07,房地产业土地购置面积,13817.61,11.30,99,2018-07-31 00:00:00,1,0,2024-07-21 04:35:58,0,2024-07-21 04:35:58,,,
