时间,港口,月末库存(万吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2019-11,黄骅港,249.70,59,2019-11-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-11,秦皇岛港,629.00,60,2019-11-30 00:00:00,1,0,2024-07-20 11:28:43,0,2024-07-20 11:28:43,,,
2019-11,秦皇岛港,629.00,61,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-11,北方七港,3452.80,62,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-11,全国主要港口,4575.20,63,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-11,天津港,208.90,64,2019-11-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,黄骅港,275.50,65,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,秦皇岛港,650.00,66,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,港口外贸,1396.60,67,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,北方七港,3679.10,68,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,天津港,195.20,69,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-10,全国主要港口,5315.20,70,2019-10-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,秦皇岛港,590.50,71,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,北方七港,3183.20,72,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,港口外贸,1364.30,73,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,全国主要港口,4856.40,74,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,天津港,165.40,75,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-09,黄骅港,224.60,76,2019-09-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,黄骅港,240.40,77,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,秦皇岛港,565.00,78,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,全国主要港口,5080.30,79,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,北方七港,3395.40,80,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,天津港,192.80,81,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-08,港口外贸,1451.10,82,2019-08-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,港口外贸,1289.40,83,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,天津港,202.70,84,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,黄骅港,226.30,85,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,北方七港,3347.40,86,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,秦皇岛港,604.50,87,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-07,全国主要港口,4882.00,88,2019-07-31 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-06,全国主要港口,4458.00,89,2019-06-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-06,天津港,169.00,90,2019-06-30 00:00:00,1,0,2024-07-20 11:28:46,0,2024-07-20 11:28:46,,,
2019-06,港口外贸,1289.00,91,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-06,北方七港,2857.00,92,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-06,全国主要港口,4458.00,93,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-06,天津港,169.00,94,2019-06-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-05,全国主要港口,4633.00,95,2019-05-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-05,港口外贸,1137.00,96,2019-05-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-05,黄骅港,232.00,97,2019-05-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-05,天津港,173.00,98,2019-05-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-05,秦皇岛港,646.00,99,2019-05-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-05,北方七港,3184.00,100,2019-05-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-04,黄骅港,250.00,101,2019-04-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-04,全国主要港口,4408.00,102,2019-04-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-04,北方七港,2949.00,103,2019-04-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-04,港口外贸,970.00,104,2019-04-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-04,天津港,165.00,105,2019-04-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-04,秦皇岛港,635.00,106,2019-04-30 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-03,黄骅港,248.00,107,2019-03-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-03,全国主要港口,4359.00,108,2019-03-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-03,秦皇岛港,640.00,109,2019-03-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-03,天津港,147.00,110,2019-03-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-03,北方七港,2168.00,111,2019-03-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-03,港口外贸,991.00,112,2019-03-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-02,全国主要港口,,113,2019-02-28 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-02,秦皇岛港,545.50,114,2019-02-28 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-02,黄骅港,,115,2019-02-28 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-02,天津港,,116,2019-02-28 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-02,港口外贸,,117,2019-02-28 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-02,北方七港,,118,2019-02-28 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-01,北方七港,,119,2019-01-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-01,黄骅港,,120,2019-01-31 00:00:00,1,0,2024-07-20 11:28:50,0,2024-07-20 11:28:50,,,
2019-01,港口外贸,,121,2019-01-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2019-01,北方七港,,122,2019-01-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2019-01,秦皇岛港,537.50,123,2019-01-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2019-01,全国主要港口,,124,2019-01-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-12,全国主要港口,4243.30,125,2018-12-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-12,秦皇岛港,586.00,126,2018-12-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-12,天津港,207.40,127,2018-12-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-12,港口外贸,981.80,128,2018-12-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-12,北方七港,2751.50,129,2018-12-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-12,黄骅港,262.10,130,2018-12-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-11,黄骅港,220.00,131,2018-11-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-11,港口外贸,1051.00,132,2018-11-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-11,秦皇岛港,559.00,133,2018-11-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-11,天津港,175.00,134,2018-11-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-11,全国主要港口,4139.00,135,2018-11-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-11,北方七港,2748.00,136,2018-11-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-10,秦皇岛港,486.00,137,2018-10-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-10,天津港,231.00,138,2018-10-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-10,黄骅港,209.00,139,2018-10-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-10,全国主要港口,4178.00,140,2018-10-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-10,北方七港,2532.00,141,2018-10-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-10,港口外贸,1066.00,142,2018-10-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-09,天津港,226.00,143,2018-09-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-09,全国主要港口,4513.00,144,2018-09-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-09,秦皇岛港,633.00,145,2018-09-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-09,港口外贸,1102.00,146,2018-09-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-09,黄骅港,244.00,147,2018-09-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-09,北方七港,2779.00,148,2018-09-30 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-08,黄骅港,244.00,149,2018-08-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-08,天津港,252.00,150,2018-08-31 00:00:00,1,0,2024-07-20 11:28:54,0,2024-07-20 11:28:54,,,
2018-08,港口外贸,1149.00,151,2018-08-31 00:00:00,1,0,2024-07-20 11:28:57,0,2024-07-20 11:28:57,,,
