时间,交易品种,成交量(吨),成交额（元）,收盘价(元/吨),_ID,_DATA_TIME,_ACTIVE,_CREATE_ID,_CREATE_TIME,_UPDATE_ID,_UPDATE_TIME,_REMARK,_CHANGE_LOG,_RESERVE
2023-12-07,BEA,800.00,85600.00,107.00,50,2023-12-07 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-06,BEA,200.00,20400.00,102.00,51,2023-12-06 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-05,BEA,5532.00,470560.00,85.06,52,2023-12-05 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-12-04,BEA,10.00,950.00,95.00,53,2023-12-04 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-24,BEA,6029.00,689335.00,114.34,54,2023-11-24 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-21,BEA,1000.00,110000.00,110.00,55,2023-11-21 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-20,BEA,825.00,89925.00,109.00,56,2023-11-20 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-16,BEA,10.00,1100.00,110.00,57,2023-11-16 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-10,BEA,1500.00,150000.00,100.00,58,2023-11-10 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-07,BEA,31500.00,3254532.00,103.32,59,2023-11-07 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-11-01,BEA,2878.00,333848.00,116.00,60,2023-11-01 00:00:00,1,0,2024-07-21 05:07:49,0,2024-07-21 05:07:49,,,
2023-10-31,BEA,23449.00,2854282.00,121.72,61,2023-10-31 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-30,BEA,6724.00,727236.00,108.16,62,2023-10-30 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-27,BEA,23766.00,2816021.00,118.49,63,2023-10-27 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-26,BEA,50466.00,5547088.80,109.92,64,2023-10-26 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-25,BEA,75051.00,8481754.30,113.01,65,2023-10-25 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
2023-10-24,BEA,17612.00,2112776.40,119.96,66,2023-10-24 00:00:00,1,0,2024-07-21 05:07:52,0,2024-07-21 05:07:52,,,
