CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
640.8541624445875,737.1521697955476,828.2452199733947,567.6160301921453,712.6990137773093,861.0965340052363
641.3894144229931,737.7678514597877,828.9369840572929,568.5452944220312,713.3381643595008,861.6121036194382
641.8733482640764,738.5244832429752,829.7624633459941,569.1286328212245,713.7070939214997,862.7206713623912
643.4509383734448,740.2785367551063,831.6839829959889,570.6201216086284,715.2945715640449,864.4737122795289
645.2837982905828,742.1263832916195,833.9354901471647,571.4525466017152,716.9174700077051,868.4710969710351
644.964724094745,741.7895352468918,833.5817869755548,570.9513452516339,716.4526594315851,869.1965509700292
645.6261804472049,742.7506025348405,834.6369321013583,571.5115832551628,717.1118333753802,870.8875047920517
645.2453121765632,742.1122463891172,833.9444317930282,571.0448653956413,716.5974030422224,870.297014578256
645.9448814536593,742.8866801690069,834.7898440191955,571.77007487365,717.3423598116381,870.8120544933419
646.321608413583,743.520193231796,835.2767088417863,572.4971108296038,718.0979725609549,870.6926660455667
647.4343069791092,744.9699104031001,836.8562980400382,573.994538198297,719.5020084473006,871.3224133672556
648.898638192105,746.5935853598558,838.631350816443,575.4046879602295,720.9243428934717,872.8267187645515
649.0933801462868,747.0174908869346,838.8830337426875,575.7616513255139,721.2187417391299,872.9112061885722
650.8519247314873,749.2103685964719,841.2973865663031,577.5276413067616,722.7616682078443,876.2256333445475
651.5258980592534,749.7552874115764,842.1096417006383,578.1164524556725,722.9658383604813,877.4751535307562
652.683238440052,751.2562574632293,843.7469294948914,578.7621069677168,724.0284654190827,880.0389418154242
653.7371802775959,752.2384127788768,844.8500025457076,579.6458896344525,724.8768507811508,881.9793057144616
654.2095804679248,752.9820929896579,845.6609923391467,580.1981205365704,725.4973657900015,882.7742518707014
653.6973614604956,752.6235470804576,845.2583157121771,580.3047768566669,725.2707041011708,881.3123587927884
653.1586022994788,752.2344990694594,844.6210931223052,580.1104765887557,724.9889363684808,880.2417706743834
650.5883939515584,749.3694437137126,841.4760139398844,578.2215331664636,722.5997541861972,876.0674101691795
650.3161486740871,748.856007661633,840.9235267853867,578.2196976049743,722.3309399778168,875.0217472128306
649.0172613426331,747.4234116974299,839.563475597675,577.2957624162805,721.1305347199684,873.3493974043887
649.9481243456387,748.2322628450747,840.2471940173556,577.5246783574592,721.6245124108858,875.0728478234912
648.7535500332564,746.9195763537369,838.8213743592323,576.5285126244449,720.6716822379562,873.735851630035
649.7736174275313,748.0626353108072,840.2815007359463,576.9883278044263,721.6115848912441,876.0360966966051
650.7711891697717,749.3799986614222,841.7124426758095,578.3276519292667,722.9094422058477,876.4542738789925
652.5410225625434,751.5866851417253,844.1423027707083,579.8895445688116,724.9184304998943,879.5748139210041
653.1054621946489,752.0048408839118,844.6119531225631,579.7077999870955,725.296420797948,881.2281700227948
654.9070215061839,754.0162689851527,846.8224572753592,581.0646503821009,727.2424964119164,883.8801216403322
657.5192051839688,757.1613512087539,850.4825457365216,583.6462722396934,730.1614104928362,887.5898318938578
660.3917925258265,760.3744699302434,854.0184235468937,586.1317558358821,733.0346242495772,891.8006193801833
661.3152718797778,761.4063052168079,855.1530038028793,586.978314566743,733.9210311122574,893.0911603801776
663.2211872976809,763.3063427524429,857.2383806796307,587.7923292722828,735.1299911495674,896.9786370697769
664.2098437779453,764.4132312334829,858.6579537974138,588.9406064091552,735.7527878789572,898.4616227320256
664.9434992779095,765.226657380383,859.5472189605732,589.1921873357308,735.8809435366053,900.6247997729645
664.8333283521315,765.0998710754336,859.404805187124,588.8096069617081,735.5430341692417,901.0639326619114
664.1132812630684,764.3021011972384,858.3324368563841,588.0181645208589,734.687262259785,900.684961385936
666.6035132218246,767.3065733698421,861.6339021918712,590.2888787677157,737.5732431449608,904.290003681434
668.1886748003662,769.3004932224964,863.824690629396,591.745734614549,739.5488971779823,906.677236745122
669.2372039016946,770.6765850369195,865.3217673152028,592.5295786706315,740.3906195856365,908.7559054217832
669.7650978921091,771.052738163254,865.7441150215956,592.415700332998,740.5779393533895,910.3650076107592
671.5864137087727,773.0869487390174,868.180964065481,593.765189543713,742.0057863237544,913.7700036754386
673.0274603125431,774.4831880628093,869.9255205921288,594.4214525642706,742.975498180251,916.8684111429251
673.9473797553501,775.5109771965184,871.0555627804305,594.9990424082064,743.7157489192347,918.7375392252895
675.978852631498,777.5561252139842,873.303919490711,596.8618077415155,745.551441117191,920.8989386427268
678.7757004039746,780.6822706699288,876.7420368207727,598.4981456819955,748.4701281953943,925.984952505292
679.6705572460486,781.681279414943,877.8397313219191,599.0164856234285,749.6264016701301,927.304639022866
679.301022282698,781.4869447569438,877.621490603538,599.0783140527856,749.6053028089829,926.3708754357657
678.9211473451742,781.0499259764955,876.92990366309,599.0221109081348,749.4331384686191,924.7288388195856
679.2886118863591,781.4726674889876,877.605457018755,599.4410002651833,749.755231645689,925.5618355929512
677.6293872531537,779.6248423055931,875.5787301043129,598.2996747818656,748.1151383571025,922.9219364976949
677.4333535371658,779.6304406003137,875.3841029849232,598.1674135787057,747.8166217566327,923.5193696834433
677.8051166947012,780.2587137710841,876.0655226229273,598.8704212035336,748.157371799456,923.9140115494732
677.6738809631286,779.8763610090614,875.6362213330143,597.8863714617567,747.6554879331993,924.35528979326
678.2448982934329,780.5334955543649,876.5749555346359,598.1107685967513,748.3381486880403,926.0859811999204
679.972333828273,782.2592403836582,878.4887901069409,599.0945964772445,750.233575178988,929.0046718507132
