window,col,group,short,latest,prev,delta,pct,z,corr,down_pressure
1,00000259_动力煤2#_价格(元/吨),国内/其它价格,00000259_动力煤2#,690.0,690.0,0.0,0.0,0.0,0.6587781937915074,-0.0
1,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--大混1#--广州港--价格(元/吨),国内/其它价格,动力煤_4800～5500大卡--大混1#--广州港,770.0,770.0,0.0,0.0,0.0,0.6292987940878255,-0.0
1,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--动力煤--防城港--价格(元/吨),国内/其它价格,动力煤_4800～5500大卡--动力煤--防城港,765.0,765.0,0.0,0.0,0.0,0.49598663791580266,-0.0
1,输入00000311--煤炭价格_分煤种价格_动力煤_4800～5500大卡--印尼煤1#--广州港--价格(元/吨),国际/进口相关,动力煤_4800～5500大卡--印尼煤1#--广州港,710.0,710.0,0.0,0.0,0.0,0.6205545484767926,-0.0
1,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--大混2#--广州港--价格(元/吨),国内/其它价格,动力煤_4800大卡以下--大混2#--广州港,690.0,690.0,0.0,0.0,0.0,0.629021567491666,-0.0
1,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤2#--广州港--价格(元/吨),国际/进口相关,动力煤_4800大卡以下--印尼煤2#--广州港,675.0,675.0,0.0,0.0,0.0,0.6258857638760064,-0.0
1,输入00000312--煤炭价格_分煤种价格_动力煤_4800大卡以下--印尼煤3#--广州港--价格(元/吨),国际/进口相关,动力煤_4800大卡以下--印尼煤3#--广州港,580.0,580.0,0.0,0.0,0.0,0.6310218435154575,-0.0
1,输入00000299--煤炭价格_国际煤价_到岸价格_印尼--气煤-天津港--价格(元/吨),国际/进口相关,00000299--煤炭价格_国际煤价_到岸价格_印尼--气煤-天津港,1220.0,1220.0,0.0,0.0,0.0,-0.0022381865440271494,0.0
1,输入00000301--煤炭价格_国际煤价_到岸价格_南非--动力煤-防城港--价格(元/吨),国际/进口相关,00000301--煤炭价格_国际煤价_到岸价格_南非--动力煤-防城港,870.0,870.0,0.0,0.0,0.0,0.5478857864901773,-0.0
1,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤1#--本期价格(美元/吨),国际/进口相关,00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤1#,60.0,60.0,0.0,0.0,0.0,0.5122288490460447,-0.0
1,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤2#--本期价格(美元/吨),国际/进口相关,00000307--煤炭价格_国际煤价_国际港口_卡里曼丹--动力煤2#,48.2,48.2,0.0,0.0,0.0,0.5307524408335361,-0.0
1,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤1#--本期价格(美元/吨),国际/进口相关,00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤1#,103.35,103.35,0.0,0.0,0.0,0.40260984250399673,-0.0
1,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤2#--本期价格(美元/吨),国际/进口相关,00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤2#,88.35,88.35,0.0,0.0,0.0,0.44814867126760877,-0.0
1,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤3#--本期价格(美元/吨),国际/进口相关,00000308--煤炭价格_国际煤价_国际港口_印度东海岸--动力煤3#,72.85,72.85,0.0,0.0,0.0,0.5541006761109313,-0.0
1,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤1#--本期价格(美元/吨),国际/进口相关,00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤1#,104.6,104.6,0.0,0.0,0.0,0.400256059733929,-0.0
1,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤3#--本期价格(美元/吨),国际/进口相关,00000309--煤炭价格_国际煤价_国际港口_印度西海岸--动力煤3#,74.1,74.1,0.0,0.0,0.0,0.5528607461836966,-0.0
1,输入00000004-易煤北方港指数_处理后_Q5000S0.8,指数,00000004-易煤北方港指数_处理后_Q5000S0.8,732.0,732.0,0.0,0.0,0.0,0.08673811845855404,-0.0
1,输入00000004-易煤北方港指数_处理后_Q5500S0.8,指数,00000004-易煤北方港指数_处理后_Q5500S0.8,827.0,827.0,0.0,0.0,0.0,0.040806310118259026,-0.0
1,输入00000005-易煤长江口指数_处理后_Q5000S0.8,指数,00000005-易煤长江口指数_处理后_Q5000S0.8,766.0,766.0,0.0,0.0,0.0,0.27095234028703497,-0.0
1,输入00000005-易煤长江口指数_处理后_Q5500S0.8,指数,00000005-易煤长江口指数_处理后_Q5500S0.8,856.0,856.0,0.0,0.0,0.0,0.6274944625818937,-0.0
1,输入00000010-API指数_处理后_API4(6000NAR),国际/进口相关,API API4(6000NAR),118.27,118.27,0.0,0.0,0.0,0.17941261216885357,-0.0
1,输入00000010-API指数_处理后_API5(5500NAR),国际/进口相关,API API5(5500NAR),104.12,104.12,0.0,0.0,0.0,0.27977400608729863,-0.0
1,输入00000010-API指数_处理后_API8(5800GAR),国际/进口相关,API API8(5800GAR),120.13,120.13,0.0,0.0,0.0,0.3426281900291387,-0.0
1,输入00000011-ICI指数_处理后_ICI1,国际/进口相关,ICI ICI1,129.46,129.46,0.0,0.0,0.0,0.3367182657853934,-0.0
1,输入00000011-ICI指数_处理后_ICI2,国际/进口相关,ICI ICI2,108.3,108.3,0.0,0.0,0.0,0.3715503354237243,-0.0
1,输入00000011-ICI指数_处理后_ICI3,国际/进口相关,ICI ICI3,86.81,86.81,0.0,0.0,0.0,0.3865608286264861,-0.0
1,输入00000011-ICI指数_处理后_ICI4,国际/进口相关,ICI ICI4,67.79,67.79,0.0,0.0,0.0,0.38017060229238475,-0.0
1,输入00000019-CCI指数_处理后_内蒙古鄂尔多斯5500,指数,CCI 内蒙古鄂尔多斯5500,622.0,626.0,-4.0,-0.6389776357827476,-0.3542001444425735,0.523170576415869,0.18530709373460522
1,输入00000019-CCI指数_处理后_山西大同5500,指数,CCI 山西大同5500,718.0,720.0,-2.0,-0.2777777777777778,-0.1722559733341392,0.5416871689936519,0.09330885053761585
1,输入00000019-CCI指数_处理后_陕西榆林5800,指数,CCI 陕西榆林5800,705.0,709.0,-4.0,-0.5641748942172073,-0.3356864035740359,0.4549092467778181,0.15270684900341933
1,输入00000268-CCTD-煤炭价格_鄂尔多斯市_伊金霍洛旗_动力煤1#_价格(元/吨),国内/其它价格,00000268-鄂尔多斯市_伊金霍洛旗_动力煤1#,550.0,550.0,0.0,0.0,0.0,0.06435496008271002,-0.0
1,输入00000269-CCTD-煤炭价格_榆林市_神木县_动力煤_价格(元/吨),国内/其它价格,00000269-榆林市_神木县_动力煤,605.0,605.0,0.0,0.0,0.0,0.36055776017273183,-0.0
1,输入00000269-CCTD-煤炭价格_榆林市_神木县_混煤_价格(元/吨),国内/其它价格,00000269-榆林市_神木县_混煤,555.0,555.0,0.0,0.0,0.0,0.1971993952268157,-0.0
1,输入00000270-CCTD-煤炭价格_朔州_朔州市_动力混煤_价格(元/吨),国内/其它价格,00000270-朔州_朔州市_动力混煤,545.0,545.0,0.0,0.0,0.0,0.542708130423771,-0.0
1,输入00000270-CCTD-煤炭价格_朔州_朔州市_动力煤_价格(元/吨),国内/其它价格,00000270-朔州_朔州市_动力煤,500.0,500.0,0.0,0.0,0.0,0.5430445795679614,-0.0
1,输入00000270-CCTD-煤炭价格_朔州_朔州市_块煤_价格(元/吨),国内/其它价格,00000270-朔州_朔州市_块煤,655.0,655.0,0.0,0.0,0.0,0.37151458947018634,-0.0
1,输入00000270-CCTD-煤炭价格_朔州_朔州市_气煤_价格(元/吨),国内/其它价格,00000270-朔州_朔州市_气煤,465.0,465.0,0.0,0.0,0.0,0.5327522595645676,-0.0
1,输入00000271-CCTD-煤炭价格_朔州_右玉县_动力煤_价格(元/吨),国内/其它价格,00000271-朔州_右玉县_动力煤,570.0,570.0,0.0,0.0,0.0,0.5517087841051012,-0.0
1,输入00000271-CCTD-煤炭价格_朔州_右玉县_气煤_价格(元/吨),国内/其它价格,00000271-朔州_右玉县_气煤,540.0,540.0,0.0,0.0,0.0,0.5495149741794275,-0.0
1,输入00000273-CCTD-煤炭价格_到岸价格_印尼_气煤_价格(元/吨),国际/进口相关,00000273-到岸价格_印尼_气煤,1220.0,1220.0,0.0,0.0,0.0,-0.0022381865440271494,0.0
1,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_喷吹煤_价格(元/吨),国际/进口相关,00000275-到岸价格_俄罗斯_喷吹煤,1080.0,1080.0,0.0,0.0,0.0,0.06505126588462962,-0.0
1,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_气肥煤_价格(元/吨),国际/进口相关,00000275-到岸价格_俄罗斯_气肥煤,1100.0,1100.0,0.0,0.0,0.0,0.055033404713776546,-0.0
1,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦焦煤_价格(元/吨),国际/进口相关,00000275-到岸价格_俄罗斯_瘦焦煤,1200.0,1200.0,0.0,0.0,0.0,0.0618667090432002,-0.0
1,输入00000275-CCTD-煤炭价格_到岸价格_俄罗斯_瘦煤_价格(元/吨),国际/进口相关,00000275-到岸价格_俄罗斯_瘦煤,1180.0,1180.0,0.0,0.0,0.0,0.058441232474814316,-0.0
1,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_印尼塔巴尼奥-中国广州_当期值(美元/吨),运费,进口煤炭运费_印尼塔巴尼奥-中国广州,12.39,12.39,0.0,0.0,0.0,0.4510773789289385,-0.0
1,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_印尼萨马林达-中国广州_当期值(美元/吨),运费,进口煤炭运费_印尼萨马林达-中国广州,9.99,9.99,0.0,0.0,0.0,0.4050156899929931,-0.0
1,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_澳大利亚海波因特-中国舟山_当期值(美元/吨),运费,进口煤炭运费_澳大利亚海波因特-中国舟山,19.16,19.16,0.0,0.0,0.0,0.30773131167744433,-0.0
1,输入00000278-CCTD-煤炭运费_水运价格_进口煤炭运费_澳大利亚纽卡斯尔-中国舟山_当期值(美元/吨),运费,进口煤炭运费_澳大利亚纽卡斯尔-中国舟山,18.96,18.96,0.0,0.0,0.0,0.17190791030510638,-0.0
