source,table,file,rows,latest,earliest,columns
500plus,输入00000366-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_京唐36-40码头,输入00000366--港口煤炭数据_港口库存及调度_港口库存及调度(日)_京唐36-40码头.csv,467,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),预到船舶(艘)"
500plus,输入00000356-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_环渤海四港货船比,输入00000356--港口煤炭数据_港口库存及调度_港口库存及调度(日)_环渤海四港货船比.csv,465,2026-04-13,2025-01-01,"时间,数值"
500plus,输入00000363-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_黄骅港,输入00000363--港口煤炭数据_港口库存及调度_港口库存及调度(日)_黄骅港.csv,465,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量(万吨),吞吐量(万吨),锚地船舶(艘),一期库存(万吨),二期库存(万吨),三期库存(万吨),港口卸车(车)"
500plus,输入00000367-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_环渤海港,输入00000367--港口煤炭数据_港口库存及调度_港口库存及调度(日)_环渤海港.csv,464,2026-04-13,2025-01-01,"时间,库存合计(万吨),调入量（万吨）,调出量(万吨),锚地船舶(艘),预到船舶(艘)"
500plus,输入00000301-A-煤炭价格_国际煤价_到岸价格_南非,输入00000301--煤炭价格_国际煤价_到岸价格_南非.csv,315,2026-04-13,2025-01-02,"时间,产品名称,到岸港口,灰份,挥发份,硫份,粘结指数,发热量,价格(元/吨),较上期,价格类型"
500plus,输入00000352-A-煤炭运费_水运指数_中国沿海煤炭运价综合指数,输入00000352--煤炭运费_水运指数_中国沿海煤炭运价综合指数.csv,307,2026-04-13,2025-01-02,"时间,本期(点),上期(点),环比增减(点),环比增幅(%)"
500plus,输入00000362-A-港口煤炭数据_港口库存及调度_港口库存及调度(日)_广州港,输入00000362--港口煤炭数据_港口库存及调度_港口库存及调度(日)_广州港.csv,302,2026-04-13,2025-01-02,"时间,库存合计(万吨),新沙港库存(万吨),潮州亚太(万吨),新港库存(万吨)"
500plus,输入00000354-A-煤炭运费_水运指数_国际航运指数,输入00000354--煤炭运费_水运指数_国际航运指数.csv,1615,2026-04-10,2025-01-02,"时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%)"
500plus,输入00000384-A-金融期货及能源类指数_能源化工指数_进口现货LNG到岸价格,输入00000384--金融期货及能源类指数_能源化工指数_进口现货LNG到岸价格.csv,302,2026-04-10,2025-01-02,"时间,价格1(美元/百万英热),价格2(美元/百万英热),价格3(美元/百万英热)"
500plus,输入00000355-A-煤炭运费_水运指数_海运煤炭价格指数,输入00000355--煤炭运费_水运指数_海运煤炭价格指数.csv,123,2026-04-10,2025-01-03,"时间,数据名称,本期(点),上期(点),环比增减(点),环比增幅(%)"
500plus,输入00000333-A-煤炭价格_煤价指数_国内煤炭价格指数_CECI沿海指数,输入00000333--煤炭价格_煤价指数_国内煤炭价格指数_CECI沿海指数.csv,61,2026-04-10,2025-01-03,"时间,5500K综合价,5500K成交价,5000K成交价,5500K离岸价,5000K离岸价"
500plus,输入00000372-A-港口煤炭数据_港口库存及调度_港口库存(周)_京唐港,输入00000372--港口煤炭数据_港口库存及调度_港口库存(周)_京唐港.csv,60,2026-04-10,2025-01-02,"时间,库存总量(万吨),精煤库存(万吨),动力煤库存(万吨)"
500plus,输入00000308-A-煤炭价格_国际煤价_国际港口_印度东海岸,输入00000308--煤炭价格_国际煤价_国际港口_印度东海岸.csv,984,2026-04-09,2025-01-01,"时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型"
500plus,输入00000309-A-煤炭价格_国际煤价_国际港口_印度西海岸,输入00000309--煤炭价格_国际煤价_国际港口_印度西海岸.csv,984,2026-04-09,2025-01-01,"时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型"
500plus,输入00000307-A-煤炭价格_国际煤价_国际港口_卡里曼丹,输入00000307--煤炭价格_国际煤价_国际港口_卡里曼丹.csv,656,2026-04-09,2025-01-01,"时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型"
500plus,输入00000305-A-煤炭价格_国际煤价_国际港口_欧洲三港,输入00000305--煤炭价格_国际煤价_国际港口_欧洲三港.csv,332,2026-04-09,2025-01-01,"时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型"
500plus,输入00000306-A-煤炭价格_国际煤价_国际港口_理查兹港,输入00000306--煤炭价格_国际煤价_国际港口_理查兹港.csv,332,2026-04-09,2025-01-01,"时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型"
500plus,输入00000304-A-煤炭价格_国际煤价_国际港口_纽卡斯尔港,输入00000304--煤炭价格_国际煤价_国际港口_纽卡斯尔港.csv,328,2026-04-09,2025-01-01,"时间,地区/港口,产品名称,灰份,发热量,本期价格(美元/吨),较上期,价格类型"
500plus,输入00000371-A-港口煤炭数据_港口库存及调度_港口库存(周)_华东港口,输入00000371--港口煤炭数据_港口库存及调度_港口库存(周)_华东港口.csv,64,2026-04-09,2025-01-02,"时间,单位,如皋港,长宏2号,扬子江港,太和港,张家港,太仓华能,镇江东港"
500plus,输入00000368-A-港口煤炭数据_港口库存及调度_港口库存(周)_锦州港,输入00000368--港口煤炭数据_港口库存及调度_港口库存(周)_锦州港.csv,62,2026-04-09,2025-01-02,"时间,库存合计(万吨)"
500plus,输入00000369-A-港口煤炭数据_港口库存及调度_港口库存(周)_北部湾,输入00000369--港口煤炭数据_港口库存及调度_港口库存(周)_北部湾.csv,62,2026-04-09,2025-01-02,"时间,钦州港(万吨),防城港(万吨)"
500plus,输入00000349-A-煤炭运费_水运价格_国际煤炭海运费,输入00000349--煤炭运费_水运价格_国际煤炭海运费.csv,660,2026-04-06,2025-01-06,"时间,航线名称,本期(美元/吨),上期(美元/吨),环比增减(美元/吨),环比增幅(%)"
