window,category,feature,name,prev,event_value,delta,pct,z,lead_corr,down_signal
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--榆神煤--徐州市--价格(元/吨),动力煤_5500大卡以上--榆神煤--徐州市,890.0,890.0,0.0,0.0,-0.007398578451993661,0.18996088163786595,0.0014054404856076333
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--黄陵煤--徐州市--价格(元/吨),动力煤_5500大卡以上--黄陵煤--徐州市,845.0,845.0,0.0,0.0,-0.0076230844023067205,0.19199291884318803,0.0014635782249868467
5,国内其它煤价,输入00000310--煤炭价格_分煤种价格_动力煤_5500大卡以上--优混--广州港--价格(元/吨),动力煤_5500大卡以上--优混--广州港,840.0,840.0,0.0,0.0,-0.004497623026284768,0.4105580742725164,0.0018465354484752017
5,国内其它煤价,00000232_优混_价格(元/吨),00000232_优混,1030.0,1030.0,0.0,0.0,-0.004293783681029045,0.12800393977280017,0.000549621227703874
5,国内其它煤价,00000232_动力煤_价格(元/吨),00000232_动力煤,825.0,825.0,0.0,0.0,-0.0030114558312969025,0.26243253206337613,0.0007903039790042654
5,国内其它煤价,00000232_混煤_价格(元/吨),00000232_混煤,1000.0,1000.0,0.0,0.0,-0.005012504280602029,0.22006623162110694,0.0011030829280167561
5,国内其它煤价,00000232_电煤_价格(元/吨),00000232_电煤,915.0,915.0,0.0,0.0,-0.003815242548838867,0.22898600467495978,0.0008736371481245222
5,国内其它煤价,00000233_动力煤_价格(元/吨),00000233_动力煤,755.0,755.0,0.0,0.0,-0.0037674288467640987,0.2637248531435893,0.000993564619341784
5,国内其它煤价,00000233_混煤_价格(元/吨),00000233_混煤,930.0,930.0,0.0,0.0,-0.0056728662944787525,0.2215812723187285,0.0012570009312246329
5,国内其它煤价,00000234_动力煤_价格(元/吨),00000234_动力煤,830.0,830.0,0.0,0.0,-0.003951884906276572,0.2633856388436342,0.0010408697306761704
5,国内其它煤价,00000234_混煤_价格(元/吨),00000234_混煤,1010.0,1010.0,0.0,0.0,-0.00601577557558679,0.2208390993330595,0.0013285184599024045
5,国内其它煤价,00000235_动力煤_价格(元/吨),00000235_动力煤,805.0,805.0,0.0,0.0,-0.003585701698973317,0.2654235051173952,0.0009517295132468969
5,国内其它煤价,00000235_混煤_价格(元/吨),00000235_混煤,980.0,980.0,0.0,0.0,-0.005512525396576431,0.22086187325262358,0.0012175066854405324
5,国内其它煤价,00000236_混煤_价格(元/吨),00000236_混煤,940.0,940.0,0.0,0.0,-0.005696441085760628,0.22056053628251437,0.0012564101007771125
5,国内其它煤价,00000238_动力煤2#_价格(元/吨),00000238_动力煤2#,745.0,745.0,0.0,0.0,-0.005248825652124714,0.30607507303365067,0.001606534694814971
5,国内其它煤价,00000238_混煤_价格(元/吨),00000238_混煤,920.0,920.0,0.0,0.0,-0.006269010085622154,0.2001975957610038,0.0012550407469430398
5,国内其它煤价,00000257_动力末煤1#_价格(元/吨),00000257_动力末煤1#,620.0,620.0,0.0,0.0,-0.003444242475414955,0.4212480782034051,0.0014508805236350885
5,国内其它煤价,00000257_动力末煤2#_价格(元/吨),00000257_动力末煤2#,705.0,705.0,0.0,0.0,-0.005024409863894704,0.4150721575754799,0.002085492642750298
5,国内其它煤价,00000258_动力煤1#_价格(元/吨),00000258_动力煤1#,755.0,755.0,0.0,0.0,-0.008613220177993411,0.4009206715973457,0.0034532180183769277
5,国内其它煤价,00000258_动力煤2#_价格(元/吨),00000258_动力煤2#,845.0,845.0,0.0,0.0,-0.009414902874187697,0.34999716981142626,0.0032951893600151566
5,国内其它煤价,00000258_动力煤3#_价格(元/吨),00000258_动力煤3#,930.0,930.0,0.0,0.0,-0.009620806720719358,0.3428089483113446,0.0032980986338365195
