CCI4500,CCI5000,CCI5500,CCI3800out,CCI4700out,CCI5500out
654.5964693953988,752.4241586017063,845.7596976458722,576.0716415839738,724.6126964696414,892.158925112608
660.2605772574816,759.2492555827738,853.1032733031491,582.8574426460705,729.8303996635614,901.1072715238124
658.7291711160445,757.5184010890159,851.1833439538065,581.8319998358417,728.5074123279612,897.5220125358658
655.2870590516325,753.2179550325219,846.4507611148908,578.5353537241613,724.726299257726,891.7394572315302
653.7210384182504,751.477234305449,844.7458681944852,576.5480310186967,723.4888450563936,890.386403372481
654.9304954847221,752.8377843225805,846.2499242634847,577.729613613272,724.5473553782629,892.4092015289029
659.4730449658143,757.9700131050321,852.1445478274017,581.9753672143381,727.9998315196198,901.7348999213516
665.5333004898741,765.0190935240225,859.9413364175292,587.8698528663936,733.7756085005424,912.3930568557691
669.5188149418041,769.713531891415,864.9136057303537,590.8532391578462,737.1791291383255,920.9071379662416
675.5808933232425,776.5321776784526,872.4497019413845,596.1589972981528,742.3095531910511,932.2800853931216
671.5372510562104,771.7708899780426,867.2002721193688,592.2653978826997,738.4639635246622,925.425007231112
670.7320639445834,771.0782639067141,866.4220029136591,591.4240343821411,737.6445870386963,924.6524426979989
668.0178674033771,767.8152607952039,862.8307851844717,588.9397618109274,735.3906410557372,919.4275353684583
667.6436536831546,767.6178946407458,862.6089953833111,589.352839499225,735.6309335537633,917.5979454275549
668.0810376177285,768.1207732843983,863.1741042019424,590.4440323448073,735.7613604602719,917.9914939951196
670.508531112197,770.8513608994757,866.3951621966144,592.9048132852502,738.3743851228674,921.3244559596804
675.6371514526179,776.8302649938462,872.784609105496,597.1300912064718,743.0129361174982,931.2221119279751
677.6389591614015,779.0713365221698,875.252416799144,598.3719155237497,744.4853160526085,935.6885159152747
679.3012595685774,781.1557675450168,877.5442178409666,599.3538266050182,745.5351431133404,940.393162374682
676.3877849272593,777.8662635511101,873.6952434447643,597.0549901764738,742.9200029390122,934.2888507046293
676.8094367895451,778.3207049753748,874.1809886426892,597.6944102921839,743.4306538689212,933.7790456622008
678.6934442374222,780.4568163141071,876.5555027209697,598.905959970562,745.5020357968555,937.9842050714752
678.0087436467751,779.4663068873413,875.6711887857992,598.2832833548754,744.3783696159626,936.8251306422777
678.8980172736336,780.6920630545917,877.0232958798598,599.3427721030514,745.8825309785493,937.8818012787071
680.637332124225,782.6617013216454,879.2110343669956,600.6582520956186,747.8086879476978,941.3599494489195
